frequency,raw
20.00,106.067
20.30,105.995
20.60,105.922
20.90,105.849
21.20,105.775
21.40,105.725
21.80,105.624
22.00,105.574
22.40,105.471
22.70,105.395
23.00,105.317
23.30,105.239
23.60,105.161
24.00,105.056
24.30,104.977
24.70,104.872
25.00,104.791
25.40,104.684
25.80,104.577
26.20,104.469
26.50,104.389
26.90,104.283
27.20,104.205
27.60,104.102
28.00,104.000
28.50,103.876
29.00,103.754
29.50,103.637
30.00,103.529
30.40,103.450
30.70,103.392
31.10,103.317
31.50,103.242
32.00,103.149
32.50,103.054
33.00,102.957
33.50,102.860
34.00,102.763
34.50,102.670
35.00,102.583
35.50,102.504
36.00,102.433
36.50,102.364
37.00,102.295
37.50,102.227
38.20,102.131
38.70,102.063
39.50,101.951
40.00,101.874
40.60,101.770
41.20,101.651
41.80,101.520
42.50,101.356
43.10,101.202
43.70,101.033
44.40,100.824
45.00,100.643
45.50,100.492
46.20,100.281
46.80,100.100
47.50,99.891
48.20,99.692
48.70,99.563
49.40,99.405
50.00,99.292
50.80,99.176
51.50,99.114
52.20,99.086
53.00,99.083
53.80,99.099
54.50,99.126
55.20,99.166
56.00,99.231
57.00,99.345
58.00,99.503
59.00,99.706
60.00,99.959
60.80,100.195
61.50,100.431
62.20,100.695
63.00,101.024
64.00,101.446
65.00,101.855
66.00,102.244
67.00,102.613
68.00,102.959
69.00,103.281
70.00,103.583
71.00,103.865
72.00,104.125
73.00,104.353
74.00,104.546
75.00,104.703
76.20,104.848
77.50,104.954
78.80,105.014
80.00,105.033
81.20,105.017
82.50,104.967
83.80,104.888
85.00,104.794
86.20,104.688
87.50,104.559
88.50,104.451
90.00,104.275
91.20,104.124
92.50,103.955
93.80,103.781
95.00,103.617
96.20,103.452
97.50,103.272
98.80,103.093
100.00,102.928
101.50,102.722
103.00,102.517
104.40,102.329
106.00,102.119
107.50,101.927
109.00,101.738
110.60,101.541
112.00,101.370
113.80,101.154
115.00,101.012
117.20,100.758
118.00,100.669
120.60,100.382
122.00,100.230
124.10,100.003
125.00,99.906
126.50,99.744
128.00,99.584
131.50,99.215
132.00,99.162
134.00,98.952
136.00,98.741
138.00,98.534
140.00,98.330
143.00,98.017
145.00,97.817
147.50,97.580
150.00,97.344
152.50,97.105
155.00,96.867
157.50,96.629
160.00,96.395
162.50,96.168
165.00,95.949
167.50,95.739
170.00,95.532
172.50,95.324
175.00,95.128
177.50,94.951
180.00,94.786
182.50,94.622
185.00,94.456
187.50,94.288
190.00,94.122
192.50,93.952
195.00,93.765
197.50,93.573
200.00,93.405
203.00,93.224
206.00,93.033
209.00,92.838
212.00,92.650
214.00,92.524
218.00,92.268
220.00,92.146
224.00,91.921
227.00,91.762
230.00,91.610
233.00,91.464
236.00,91.324
240.00,91.145
243.00,91.019
247.00,90.862
250.00,90.751
254.00,90.608
258.00,90.474
262.00,90.351
265.00,90.264
269.00,90.160
272.00,90.096
276.00,90.029
280.00,89.980
285.00,89.920
290.00,89.862
295.00,89.833
300.00,89.826
304.00,89.825
307.00,89.834
311.00,89.864
315.00,89.900
320.00,89.942
325.00,89.991
330.00,90.061
335.00,90.147
340.00,90.250
345.00,90.356
350.00,90.453
355.00,90.551
360.00,90.656
365.00,90.766
370.00,90.881
375.00,91.000
382.00,91.157
387.00,91.274
395.00,91.495
400.00,91.643
406.00,91.820
412.00,91.994
418.00,92.179
425.00,92.395
431.00,92.566
437.00,92.761
444.00,93.002
450.00,93.177
455.00,93.295
462.00,93.431
468.00,93.532
475.00,93.635
482.00,93.717
487.00,93.758
494.00,93.802
500.00,93.834
508.00,93.877
515.00,93.911
522.00,93.935
530.00,93.948
538.00,93.960
545.00,93.976
552.00,93.994
560.00,94.016
570.00,94.037
580.00,94.056
590.00,94.075
600.00,94.088
608.00,94.100
615.00,94.115
622.00,94.130
630.00,94.145
640.00,94.161
650.00,94.181
660.00,94.204
670.00,94.222
680.00,94.238
690.00,94.255
700.00,94.273
710.00,94.293
720.00,94.310
730.00,94.323
740.00,94.342
750.00,94.366
762.00,94.395
775.00,94.428
788.00,94.461
800.00,94.491
812.00,94.524
825.00,94.563
838.00,94.603
850.00,94.643
862.00,94.686
875.00,94.733
885.00,94.770
900.00,94.827
912.00,94.875
925.00,94.928
938.00,94.981
950.00,95.027
962.00,95.069
975.00,95.115
988.00,95.161
1000.00,95.200
1015.00,95.246
1030.00,95.293
1044.00,95.333
1060.00,95.377
1075.00,95.417
1090.00,95.457
1106.00,95.495
1120.00,95.526
1138.00,95.564
1150.00,95.589
1172.00,95.637
1180.00,95.656
1206.00,95.715
1220.00,95.750
1241.00,95.816
1250.00,95.850
1265.00,95.909
1280.00,95.967
1315.00,96.077
1320.00,96.090
1340.00,96.136
1360.00,96.176
1380.00,96.208
1400.00,96.230
1430.00,96.232
1450.00,96.225
1475.00,96.228
1500.00,96.229
1525.00,96.225
1550.00,96.233
1575.00,96.249
1600.00,96.263
1625.00,96.285
1650.00,96.318
1675.00,96.351
1700.00,96.377
1725.00,96.412
1750.00,96.475
1775.00,96.562
1800.00,96.648
1825.00,96.717
1850.00,96.768
1875.00,96.815
1900.00,96.877
