frequency,raw
20.00,102.30
20.29,102.17
20.59,102.05
20.88,101.93
21.19,101.81
21.50,101.69
21.81,101.58
22.12,101.47
22.45,101.36
22.77,101.25
23.10,101.13
23.44,101.01
23.78,100.89
24.12,100.78
24.47,100.66
24.83,100.54
25.19,100.42
25.56,100.30
25.93,100.18
26.30,100.06
26.69,99.95
27.07,99.83
27.47,99.72
27.87,99.60
28.27,99.46
28.68,99.33
29.10,99.20
29.52,99.08
29.95,98.97
30.38,98.87
30.83,98.76
31.27,98.65
31.73,98.53
32.19,98.42
32.66,98.31
33.13,98.19
33.61,98.08
34.10,97.97
34.60,97.85
35.10,97.73
35.61,97.61
36.13,97.50
36.65,97.38
37.18,97.27
37.72,97.15
38.27,97.02
38.83,96.91
39.39,96.79
39.96,96.68
40.54,96.57
41.13,96.46
41.73,96.35
42.34,96.24
42.95,96.14
43.57,96.04
44.21,95.94
44.85,95.83
45.50,95.73
46.16,95.62
46.83,95.52
47.51,95.42
48.20,95.33
48.90,95.24
49.61,95.15
50.33,95.07
51.07,94.98
51.81,94.89
52.56,94.80
53.32,94.72
54.10,94.64
54.88,94.57
55.68,94.50
56.49,94.44
57.31,94.37
58.14,94.31
58.99,94.26
59.84,94.20
60.71,94.13
61.60,94.07
62.49,94.02
63.40,93.97
64.32,93.93
65.25,93.89
66.20,93.85
67.16,93.82
68.14,93.78
69.13,93.76
70.13,93.73
71.15,93.71
72.18,93.69
73.23,93.66
74.30,93.64
75.38,93.63
76.47,93.62
77.58,93.62
78.71,93.62
79.85,93.62
81.01,93.61
82.19,93.61
83.38,93.62
84.59,93.64
85.82,93.66
87.07,93.67
88.33,93.69
89.62,93.71
90.92,93.74
92.24,93.76
93.58,93.77
94.94,93.78
96.32,93.80
97.72,93.82
99.14,93.84
100.58,93.86
102.04,93.88
103.52,93.90
105.02,93.92
106.55,93.95
108.10,93.98
109.67,94.01
111.26,94.04
112.87,94.08
114.51,94.12
116.18,94.16
117.87,94.21
119.58,94.27
121.31,94.32
123.08,94.39
124.86,94.45
126.68,94.52
128.52,94.59
130.38,94.66
132.28,94.73
134.20,94.81
136.15,94.88
138.13,94.96
140.13,95.04
142.17,95.12
144.23,95.21
146.33,95.28
148.45,95.36
150.61,95.42
152.80,95.48
155.02,95.53
157.27,95.57
159.55,95.59
161.87,95.60
164.22,95.60
166.61,95.58
169.03,95.55
171.48,95.51
173.98,95.46
176.50,95.39
179.07,95.32
181.67,95.24
184.31,95.15
186.98,95.06
189.70,94.95
192.45,94.83
195.25,94.71
198.09,94.57
200.96,94.43
203.88,94.28
206.84,94.13
209.85,93.97
212.90,93.82
215.99,93.66
219.13,93.51
222.31,93.37
225.54,93.23
228.82,93.09
232.14,92.97
235.51,92.86
238.93,92.76
242.40,92.67
245.92,92.60
249.50,92.54
253.12,92.51
256.80,92.48
260.53,92.45
264.31,92.41
268.15,92.33
272.05,92.21
276.00,92.04
280.01,91.85
284.07,91.65
288.20,91.46
292.39,91.29
296.63,91.12
300.94,90.97
305.31,90.82
309.75,90.68
314.25,90.56
318.81,90.47
323.44,90.41
328.14,90.38
332.91,90.38
337.74,90.41
342.65,90.43
347.63,90.46
352.68,90.47
357.80,90.47
363.00,90.46
368.27,90.43
373.62,90.40
379.05,90.37
384.55,90.33
390.14,90.29
395.80,90.26
401.55,90.22
407.39,90.19
413.30,90.17
419.31,90.15
425.40,90.13
431.58,90.12
437.85,90.10
444.21,90.07
450.66,90.04
457.21,90.01
463.85,89.99
470.58,89.98
477.42,89.99
484.35,90.01
491.39,90.04
498.53,90.06
505.77,90.09
513.12,90.11
520.57,90.14
528.13,90.16
535.80,90.20
543.59,90.23
551.48,90.27
559.49,90.31
567.62,90.35
575.86,90.40
584.23,90.45
592.72,90.51
601.33,90.57
610.06,90.63
618.92,90.70
627.91,90.77
637.03,90.84
646.29,90.91
655.67,90.99
665.20,91.07
674.86,91.15
684.66,91.23
694.61,91.32
704.70,91.41
714.93,91.51
725.32,91.60
735.85,91.71
746.54,91.81
757.39,91.92
768.39,92.03
779.55,92.15
790.87,92.26
802.36,92.38
814.02,92.51
825.84,92.64
837.84,92.78
850.01,92.92
862.35,93.07
874.88,93.22
887.59,93.38
900.48,93.54
913.56,93.71
926.83,93.88
940.29,94.06
953.95,94.25
967.81,94.44
981.87,94.65
996.13,94.85
1010.60,95.06
1025.28,95.27
1040.17,95.48
1055.28,95.68
1070.61,95.87
1086.16,96.05
1101.94,96.23
1117.94,96.41
1134.18,96.58
1150.66,96.74
1167.37,96.88
1184.33,97.00
1201.53,97.10
1218.99,97.21
1236.69,97.33
1254.66,97.43
1272.88,97.49
1291.37,97.51
1310.13,97.51
1329.16,97.48
1348.47,97.45
1368.05,97.39
1387.93,97.31
1408.09,97.18
1428.54,97.04
1449.29,96.91
1470.34,96.77
1491.70,96.58
1513.37,96.35
1535.35,96.10
1557.65,95.83
1580.28,95.56
1603.23,95.28
1626.52,94.99
1650.15,94.71
1674.12,94.41
1698.43,94.10
1723.11,93.79
1748.13,93.47
1773.53,93.16
1799.29,92.89
1825.43,92.63
1851.94,92.35
1878.84,92.07
1906.13,91.80
1933.82,91.52
1961.91,91.24
1990.41,90.97
2019.32,90.70
2048.65,90.43
2078.41,90.15
2108.60,89.85
2139.23,89.53
2170.30,89.15
2201.83,88.70
2233.81,88.13
2266.26,87.43
2299.18,86.63
2332.58,85.88
2366.46,85.47
2400.83,85.44
2435.71,85.88
2471.09,86.60
2506.98,87.51
2543.40,88.51
2580.34,89.60
2617.82,90.69
2655.85,91.65
