frequency,raw
20.00,102.425
20.30,102.341
20.60,102.255
20.90,102.167
21.20,102.079
21.40,102.019
21.80,101.901
22.00,101.842
22.40,101.724
22.70,101.635
23.00,101.549
23.30,101.464
23.60,101.382
24.00,101.276
24.30,101.199
24.70,101.096
25.00,101.020
25.40,100.920
25.80,100.821
26.20,100.722
26.50,100.650
26.90,100.554
27.20,100.483
27.60,100.390
28.00,100.297
28.50,100.181
29.00,100.065
29.50,99.948
30.00,99.831
30.40,99.737
30.70,99.667
31.10,99.574
31.50,99.483
32.00,99.373
32.50,99.269
33.00,99.171
33.50,99.078
34.00,98.988
34.50,98.902
35.00,98.821
35.50,98.746
36.00,98.678
36.50,98.612
37.00,98.548
37.50,98.487
38.20,98.406
38.70,98.347
39.50,98.260
40.00,98.209
40.60,98.153
41.20,98.112
41.80,98.089
42.50,98.077
43.10,98.067
43.70,98.049
44.40,98.011
45.00,97.965
45.50,97.919
46.20,97.844
46.80,97.766
47.50,97.654
48.20,97.520
48.70,97.417
49.40,97.270
50.00,97.142
50.80,96.967
51.50,96.815
52.20,96.691
53.00,96.637
53.80,96.695
54.50,96.787
55.20,96.862
56.00,96.897
57.00,96.879
58.00,96.825
59.00,96.727
60.00,96.582
60.80,96.464
61.50,96.403
62.20,96.404
63.00,96.462
64.00,96.522
65.00,96.484
66.00,96.364
67.00,96.237
68.00,96.144
69.00,96.089
70.00,96.065
71.00,96.071
72.00,96.106
73.00,96.166
74.00,96.249
75.00,96.347
76.20,96.476
77.50,96.625
78.80,96.780
80.00,96.929
81.20,97.090
82.50,97.289
83.80,97.511
85.00,97.730
86.20,97.953
87.50,98.193
88.50,98.367
90.00,98.607
91.20,98.788
92.50,98.977
93.80,99.160
95.00,99.320
96.20,99.470
97.50,99.617
98.80,99.740
100.00,99.832
101.50,99.917
103.00,99.976
104.40,100.011
106.00,100.030
107.50,100.028
109.00,100.004
110.60,99.956
112.00,99.897
113.80,99.801
115.00,99.726
117.20,99.573
118.00,99.517
120.60,99.324
122.00,99.207
124.10,99.026
125.00,98.950
126.50,98.820
128.00,98.684
131.50,98.362
132.00,98.318
134.00,98.138
136.00,97.954
138.00,97.770
140.00,97.589
143.00,97.309
145.00,97.123
147.50,96.903
150.00,96.701
152.50,96.515
155.00,96.342
157.50,96.173
160.00,96.007
162.50,95.849
165.00,95.698
167.50,95.553
170.00,95.412
172.50,95.275
175.00,95.139
177.50,95.005
180.00,94.875
182.50,94.751
185.00,94.631
187.50,94.515
190.00,94.401
192.50,94.292
195.00,94.186
197.50,94.082
200.00,93.984
203.00,93.880
206.00,93.787
209.00,93.698
212.00,93.611
214.00,93.555
218.00,93.456
220.00,93.411
224.00,93.332
227.00,93.280
230.00,93.232
233.00,93.187
236.00,93.141
240.00,93.075
243.00,93.024
247.00,92.951
250.00,92.896
254.00,92.822
258.00,92.741
262.00,92.658
265.00,92.597
269.00,92.520
272.00,92.468
276.00,92.400
280.00,92.335
285.00,92.255
290.00,92.172
295.00,92.092
300.00,92.022
304.00,91.966
307.00,91.926
311.00,91.874
315.00,91.826
320.00,91.766
325.00,91.708
330.00,91.652
335.00,91.603
340.00,91.563
345.00,91.530
350.00,91.507
355.00,91.495
360.00,91.490
365.00,91.496
370.00,91.517
375.00,91.552
382.00,91.619
387.00,91.676
395.00,91.791
400.00,91.878
406.00,91.987
412.00,92.096
418.00,92.203
425.00,92.325
431.00,92.431
437.00,92.541
444.00,92.681
450.00,92.809
455.00,92.916
462.00,93.071
468.00,93.212
475.00,93.398
482.00,93.605
487.00,93.748
494.00,93.931
500.00,94.077
508.00,94.260
515.00,94.418
522.00,94.567
530.00,94.708
538.00,94.830
545.00,94.930
552.00,95.014
560.00,95.094
570.00,95.184
580.00,95.258
590.00,95.329
600.00,95.400
608.00,95.458
615.00,95.512
622.00,95.570
630.00,95.638
640.00,95.722
650.00,95.806
660.00,95.891
670.00,95.973
680.00,96.052
690.00,96.127
700.00,96.203
710.00,96.281
720.00,96.359
730.00,96.441
740.00,96.526
750.00,96.617
762.00,96.730
775.00,96.852
788.00,96.978
800.00,97.099
812.00,97.217
825.00,97.344
838.00,97.468
850.00,97.580
862.00,97.688
875.00,97.802
885.00,97.890
900.00,98.016
912.00,98.112
925.00,98.215
938.00,98.314
950.00,98.398
962.00,98.477
975.00,98.557
988.00,98.632
