frequency,raw
20.02,100.827
20.27,100.842
20.52,100.874
20.78,100.927
21.04,101.000
21.31,101.093
21.58,101.199
21.85,101.314
22.12,101.433
22.40,101.550
22.68,101.659
22.97,101.754
23.26,101.824
23.55,101.858
23.85,101.857
24.15,101.827
24.45,101.778
24.76,101.719
25.07,101.655
25.39,101.595
25.71,101.547
26.03,101.520
26.36,101.524
26.69,101.557
27.03,101.612
27.37,101.679
27.71,101.753
28.06,101.830
28.41,101.904
28.77,101.970
29.13,102.024
29.50,102.067
29.87,102.103
30.25,102.135
30.63,102.163
31.02,102.187
31.41,102.206
31.80,102.220
32.20,102.227
32.61,102.227
33.02,102.223
33.43,102.218
33.85,102.212
34.28,102.205
34.71,102.198
35.15,102.190
35.59,102.183
36.04,102.175
36.49,102.166
36.95,102.157
37.42,102.146
37.89,102.122
38.37,102.062
38.85,101.953
39.34,101.807
39.83,101.650
40.34,101.504
40.84,101.397
41.36,101.342
41.88,101.326
42.41,101.330
42.94,101.351
43.48,101.387
44.03,101.437
44.58,101.504
45.14,101.590
45.71,101.685
46.29,101.769
46.87,101.813
47.46,101.803
48.06,101.748
48.66,101.662
49.27,101.541
49.90,101.377
50.52,101.174
51.16,100.949
51.80,100.720
52.46,100.486
53.12,100.249
53.79,100.008
54.46,99.764
55.15,99.516
55.84,99.263
56.55,99.004
57.26,98.740
57.98,98.476
58.71,98.226
59.45,97.999
60.20,97.790
60.95,97.591
61.72,97.400
62.50,97.213
63.29,97.034
64.08,96.861
64.89,96.695
65.71,96.541
66.53,96.407
67.37,96.353
68.22,96.432
69.08,96.634
69.95,96.925
70.83,97.298
71.72,97.725
72.62,98.165
73.54,98.601
74.47,99.030
75.40,99.448
76.35,99.838
77.31,100.191
78.29,100.506
79.27,100.791
80.27,101.047
81.28,101.270
82.31,101.454
83.34,101.603
84.39,101.730
85.45,101.848
86.53,101.955
87.62,102.029
88.72,102.048
89.84,102.029
90.97,102.019
92.12,102.035
93.28,102.055
94.45,102.055
95.64,102.039
96.84,102.018
98.06,101.997
99.30,101.957
100.55,101.873
101.81,101.760
103.10,101.664
104.39,101.592
105.71,101.510
107.04,101.397
108.39,101.257
109.75,101.103
111.13,100.948
112.53,100.799
113.95,100.634
115.39,100.423
116.84,100.186
118.31,99.968
119.80,99.767
121.31,99.556
122.83,99.339
124.38,99.131
125.95,98.907
127.53,98.648
129.14,98.388
130.76,98.157
132.41,97.900
134.08,97.605
135.77,97.336
137.48,97.114
139.21,96.900
140.96,96.678
142.73,96.439
144.53,96.156
146.35,95.865
148.19,95.606
150.06,95.350
151.95,95.036
153.86,94.681
155.80,94.311
157.76,93.943
159.75,93.592
161.76,93.241
163.80,92.893
165.86,92.546
167.95,92.146
170.06,91.664
172.20,91.210
174.37,90.859
176.57,90.548
178.79,90.183
181.04,89.762
183.32,89.339
185.63,88.954
187.97,88.634
190.33,88.337
192.73,88.022
195.16,87.736
197.61,87.551
200.10,87.393
202.62,87.197
205.17,87.031
207.75,87.012
210.37,87.102
213.02,87.213
215.70,87.358
218.42,87.567
221.17,87.812
223.95,88.093
226.77,88.379
229.63,88.686
232.52,89.061
235.45,89.449
238.41,89.766
241.41,90.045
244.45,90.327
247.53,90.605
250.65,90.852
253.80,91.072
257.00,91.284
260.24,91.500
263.51,91.707
266.83,91.901
270.19,92.074
273.59,92.227
277.04,92.362
280.52,92.513
284.06,92.673
287.63,92.823
291.25,92.938
294.92,93.068
298.63,93.184
302.39,93.267
306.20,93.309
310.06,93.352
313.96,93.397
317.92,93.446
321.92,93.481
325.97,93.504
330.07,93.524
334.23,93.550
338.44,93.585
342.70,93.617
347.02,93.648
351.38,93.674
355.81,93.693
360.29,93.698
364.83,93.708
369.42,93.729
374.07,93.752
378.78,93.773
383.55,93.799
388.38,93.839
393.27,93.886
398.22,93.951
403.24,94.028
408.31,94.114
413.45,94.203
418.66,94.298
423.93,94.394
429.27,94.504
434.67,94.641
440.15,94.791
445.69,94.943
451.30,95.095
456.98,95.247
462.74,95.383
468.56,95.505
474.46,95.617
480.44,95.714
486.49,95.791
492.61,95.849
498.81,95.889
505.09,95.911
511.45,95.925
517.89,95.941
524.41,95.959
531.02,95.976
537.70,96.002
544.47,96.034
551.33,96.066
558.27,96.091
565.30,96.114
572.42,96.140
579.63,96.161
586.92,96.171
594.31,96.173
601.80,96.172
609.37,96.166
617.05,96.153
624.82,96.134
632.68,96.118
640.65,96.100
648.72,96.070
656.88,96.031
665.15,95.992
673.53,95.955
682.01,95.915
690.60,95.871
699.29,95.823
708.10,95.778
717.01,95.734
726.04,95.684
735.18,95.627
744.44,95.572
753.81,95.521
763.30,95.469
772.91,95.417
782.65,95.372
792.50,95.338
802.48,95.309
812.58,95.288
822.82,95.275
833.18,95.277
843.67,95.289
854.29,95.308
865.04,95.332
875.94,95.365
886.97,95.406
898.13,95.452
909.44,95.497
920.89,95.539
932.49,95.585
944.23,95.642
956.12,95.709
968.16,95.784
980.35,95.861
992.69,95.941
1005.19,96.021
1017.85,96.104
1030.66,96.181
1043.64,96.246
1056.78,96.294
1070.09,96.336
1083.56,96.373
1097.20,96.406
1111.02,96.435
1125.01,96.463
1139.17,96.491
1153.52,96.521
1168.04,96.554
1182.75,96.586
1197.64,96.621
1212.72,96.659
1227.99,96.703
1243.45,96.747
1259.11,96.793
1274.96,96.844
1291.01,96.906
1307.27,96.975
1323.73,97.051
1340.39,97.138
1357.27,97.239
1374.36,97.356
1391.66,97.479
1409.19,97.600
1426.93,97.723
1444.90,97.853
1463.09,97.995
1481.51,98.144
1500.17,98.290
1519.05,98.435
1538.18,98.584
1557.55,98.742
1577.16,98.912
1597.02,99.091
1617.13,99.268
1637.49,99.451
1658.11,99.642
1678.98,99.833
1700.12,100.015
1721.53,100.190
1743.20,100.371
1765.15,100.542
1787.38,100.695
1809.88,100.831
1832.67,100.959
1855.75,101.076
1879.11,101.188
1902.77,101.293
1926.73,101.392
1950.99,101.482
1975.56,101.564
2000.43,101.634
2025.62,101.698
2051.12,101.750
2076.95,101.785
2103.10,101.800
2129.58,101.808
2156.39,101.799
2183.55,101.764
2211.04,101.706
2238.88,101.628
2267.07,101.523
2295.61,101.394
2324.52,101.237
2353.78,101.043
2383.42,100.799
2413.43,100.535
2443.82,100.308
2474.59,100.198
2505.75,100.255
2537.30,100.473
2569.24,100.823
2601.59,101.252
2634.35,101.695
2667.52,102.093
2701.11,102.463
2735.12,102.821
2769.56,103.157
2804.43,103.433
2839.74,103.632
2875.49,103.769
2911.70,103.873
2948.36,103.940
2985.48,103.977
3023.07,104.002
3061.14,104.039
3099.68,104.105
3138.71,104.218
3178.23,104.371
3218.25,104.556
3258.77,104.765
3299.80,104.959
3341.35,105.096
3383.42,105.166
3426.02,105.158
3469.16,105.077
3512.84,104.939
3557.07,104.753
3601.86,104.510
3647.21,104.203
3693.13,103.835
3739.63,103.424
3786.72,102.995
3834.39,102.562
3882.67,102.139
3931.56,101.703
3981.06,101.199
4031.19,100.536
4081.95,99.684
4133.34,98.689
4185.39,97.504
4238.08,95.867
4291.45,93.592
4345.48,91.141
4400.19,90.530
4455.60,92.612
4511.70,95.202
4568.51,97.320
4626.03,98.927
4684.27,100.180
4743.26,101.203
4802.98,102.034
4863.45,102.688
4924.69,103.219
4986.70,103.695
5049.48,104.135
5113.06,104.517
5177.44,104.807
5242.63,104.989
5308.64,105.074
5375.48,105.095
5443.17,105.102
5511.70,105.153
5581.10,105.300
5651.37,105.535
5722.53,105.791
5794.58,105.996
5867.54,106.116
5941.42,106.141
6016.23,106.092
6091.98,105.968
6168.69,105.693
6246.36,105.187
6325.01,104.446
6404.64,103.552
6485.28,102.638
6566.94,101.867
6649.63,101.273
6733.35,100.724
6818.13,100.080
6903.98,99.291
6990.91,98.410
7078.93,97.734
7168.06,97.946
7258.32,99.433
7349.71,101.687
7442.25,104.052
7535.95,106.237
7630.84,107.988
7726.92,109.215
7824.21,109.879
7922.73,110.008
8022.48,109.667
8123.49,109.019
8225.78,108.256
8329.35,107.500
8434.23,106.716
8540.42,105.777
8647.95,104.602
8756.84,103.181
8867.10,101.550
8978.75,99.860
9091.80,98.477
