frequency,raw
20.02,99.216
20.27,99.266
20.52,99.313
20.78,99.353
21.04,99.387
21.31,99.419
21.58,99.449
21.85,99.477
22.12,99.506
22.40,99.535
22.68,99.566
22.97,99.600
23.26,99.638
23.55,99.678
23.85,99.719
24.15,99.761
24.45,99.804
24.76,99.848
25.07,99.892
25.39,99.937
25.71,99.982
26.03,100.027
26.36,100.072
26.69,100.118
27.03,100.165
27.37,100.215
27.71,100.264
28.06,100.312
28.41,100.357
28.77,100.398
29.13,100.426
29.50,100.437
29.87,100.430
30.25,100.414
30.63,100.395
31.02,100.371
31.41,100.344
31.80,100.312
32.20,100.278
32.61,100.241
33.02,100.201
33.43,100.157
33.85,100.109
34.28,100.061
34.71,100.013
35.15,99.970
35.59,99.935
36.04,99.909
36.49,99.888
36.95,99.869
37.42,99.846
37.89,99.812
38.37,99.763
38.85,99.696
39.34,99.613
39.83,99.512
40.34,99.393
40.84,99.255
41.36,99.086
41.88,98.876
42.41,98.631
42.94,98.377
43.48,98.154
44.03,98.021
44.58,97.988
45.14,98.008
45.71,98.033
46.29,98.063
46.87,98.079
47.46,98.069
48.06,98.032
48.66,97.979
49.27,97.891
49.90,97.712
50.52,97.398
51.16,96.973
51.80,96.524
52.46,96.178
53.12,96.036
53.79,96.073
54.46,96.192
55.15,96.352
55.84,96.546
56.55,96.774
57.26,97.033
57.98,97.307
58.71,97.580
59.45,97.858
60.20,98.136
60.95,98.370
61.72,98.507
62.50,98.546
63.29,98.520
64.08,98.455
64.89,98.350
65.71,98.203
66.53,98.046
67.37,97.994
68.22,98.112
69.08,98.344
69.95,98.601
70.83,98.868
71.72,99.138
72.62,99.388
73.54,99.588
74.47,99.735
75.40,99.859
76.35,99.981
77.31,100.106
78.29,100.230
79.27,100.345
80.27,100.448
81.28,100.540
82.31,100.619
83.34,100.683
84.39,100.733
85.45,100.773
86.53,100.800
87.62,100.820
88.72,100.834
89.84,100.841
90.97,100.830
92.12,100.796
93.28,100.747
94.45,100.700
95.64,100.666
96.84,100.667
98.06,100.709
99.30,100.739
100.55,100.704
101.81,100.623
103.10,100.544
104.39,100.482
105.71,100.435
107.04,100.398
108.39,100.356
109.75,100.292
111.13,100.202
112.53,100.088
113.95,99.959
115.39,99.825
116.84,99.696
118.31,99.578
119.80,99.462
121.31,99.335
122.83,99.177
124.38,98.977
125.95,98.757
127.53,98.549
129.14,98.346
130.76,98.128
132.41,97.879
134.08,97.600
135.77,97.301
137.48,97.022
139.21,96.794
140.96,96.614
142.73,96.451
144.53,96.294
146.35,96.120
148.19,95.904
150.06,95.633
151.95,95.355
153.86,95.108
155.80,94.859
157.76,94.555
159.75,94.210
161.76,93.845
163.80,93.448
165.86,93.039
167.95,92.666
170.06,92.281
172.20,91.836
174.37,91.377
176.57,90.983
178.79,90.574
181.04,90.087
183.32,89.530
