frequency,raw
20.02,83.693
20.16,83.725
20.31,83.746
20.46,83.761
20.60,83.767
20.75,83.769
20.90,83.765
21.06,83.759
21.21,83.751
21.36,83.745
21.52,83.740
21.67,83.741
21.83,83.746
21.99,83.760
22.15,83.779
22.31,83.803
22.47,83.832
22.63,83.862
22.80,83.891
22.96,83.916
23.13,83.936
23.30,83.949
23.46,83.954
23.63,83.951
23.81,83.942
23.98,83.928
24.15,83.912
24.33,83.897
24.50,83.884
24.68,83.876
24.86,83.875
25.04,83.881
25.22,83.892
25.40,83.907
25.59,83.926
25.77,83.946
25.96,83.965
26.15,83.981
26.34,83.995
26.53,84.005
26.72,84.013
26.91,84.017
27.11,84.022
27.31,84.025
27.50,84.030
27.70,84.035
27.90,84.042
28.11,84.050
28.31,84.059
28.51,84.068
28.72,84.077
28.93,84.086
29.14,84.094
29.35,84.102
29.56,84.108
29.78,84.114
29.99,84.117
30.21,84.120
30.43,84.120
30.65,84.120
30.87,84.118
31.10,84.115
31.32,84.112
31.55,84.107
31.78,84.102
32.01,84.099
32.24,84.094
32.47,84.090
32.71,84.085
32.94,84.082
33.18,84.077
33.42,84.072
33.67,84.069
33.91,84.064
34.16,84.060
34.40,84.056
34.65,84.053
34.90,84.049
35.16,84.044
35.41,84.038
35.67,84.032
35.93,84.025
36.19,84.018
36.45,84.009
36.71,84.000
36.98,83.989
37.25,83.976
37.52,83.962
37.79,83.947
38.06,83.930
38.34,83.913
38.62,83.898
38.90,83.883
39.18,83.869
39.46,83.857
39.75,83.847
40.04,83.839
40.33,83.832
40.62,83.827
40.91,83.822
41.21,83.817
41.51,83.809
41.81,83.797
42.11,83.779
42.42,83.757
42.72,83.734
43.03,83.709
43.34,83.685
43.66,83.661
43.98,83.633
44.29,83.600
44.62,83.556
44.94,83.504
45.26,83.441
45.59,83.372
45.92,83.297
46.26,83.219
46.59,83.136
46.93,83.049
47.27,82.958
47.61,82.866
47.96,82.778
48.30,82.701
48.65,82.638
49.01,82.596
49.36,82.576
49.72,82.577
50.08,82.598
50.44,82.634
50.81,82.679
51.18,82.727
51.55,82.770
51.92,82.803
52.30,82.822
52.67,82.824
53.06,82.807
53.44,82.772
53.83,82.717
54.22,82.646
54.61,82.559
55.01,82.460
55.41,82.350
55.81,82.232
56.21,82.106
56.62,81.977
57.03,81.847
57.44,81.721
57.86,81.602
58.28,81.496
58.70,81.407
59.13,81.340
59.55,81.297
59.99,81.279
60.42,81.286
60.86,81.312
61.30,81.352
61.74,81.401
62.19,81.453
62.64,81.505
63.10,81.553
63.55,81.594
64.01,81.622
64.48,81.635
64.94,81.630
65.41,81.606
65.89,81.567
66.37,81.513
66.85,81.451
67.33,81.381
67.82,81.306
68.31,81.233
68.81,81.163
69.30,81.106
69.81,81.064
70.31,81.045
70.82,81.049
71.34,81.077
71.85,81.124
72.37,81.186
72.90,81.258
73.43,81.338
73.96,81.425
74.49,81.527
75.03,81.648
75.58,81.788
76.12,81.945
76.68,82.108
77.23,82.269
77.79,82.424
78.36,82.568
78.92,82.702
79.50,82.825
80.07,82.937
80.65,83.040
81.24,83.133
81.82,83.219
82.42,83.297
83.01,83.365
83.62,83.425
84.22,83.476
84.83,83.517
85.45,83.550
86.07,83.581
86.69,83.612
87.32,83.644
87.95,83.678
88.59,83.710
89.23,83.739
89.88,83.761
90.53,83.774
91.18,83.777
91.84,83.766
92.51,83.735
93.18,83.680
93.86,83.599
94.54,83.487
95.22,83.353
95.91,83.203
96.61,83.053
97.31,82.915
98.01,82.802
98.72,82.728
99.44,82.700
100.16,82.714
100.88,82.766
101.61,82.841
102.35,82.934
103.09,83.031
103.84,83.130
104.59,83.228
105.35,83.323
106.11,83.415
106.88,83.501
107.66,83.581
108.44,83.653
109.22,83.715
110.01,83.767
110.81,83.810
111.61,83.844
112.42,83.872
113.24,83.894
114.06,83.912
114.88,83.928
115.72,83.942
116.56,83.954
117.40,83.967
118.25,83.978
119.11,83.986
119.97,83.990
120.84,83.989
121.72,83.981
122.60,83.967
123.49,83.945
124.38,83.916
125.28,83.882
126.19,83.842
127.10,83.799
128.03,83.756
128.95,83.716
129.89,83.679
130.83,83.650
131.78,83.631
132.73,83.622
133.69,83.621
134.66,83.624
135.64,83.627
136.62,83.630
137.61,83.631
138.61,83.629
139.61,83.620
140.62,83.606
141.64,83.584
142.67,83.553
143.70,83.514
144.75,83.469
145.79,83.418
146.85,83.363
147.92,83.303
148.99,83.239
150.07,83.172
151.15,83.102
152.25,83.029
153.35,82.952
154.46,82.871
155.58,82.786
156.71,82.696
157.85,82.599
158.99,82.493
160.14,82.379
161.30,82.255
162.47,82.120
163.65,81.977
164.83,81.820
166.03,81.653
167.23,81.473
168.44,81.282
169.66,81.083
170.89,80.879
172.13,80.674
173.38,80.476
174.64,80.282
175.90,80.096
177.18,79.916
178.46,79.739
179.75,79.566
181.06,79.400
182.37,79.238
183.69,79.077
185.02,78.911
186.36,78.736
187.71,78.547
189.07,78.345
190.44,78.129
191.82,77.899
193.21,77.660
194.61,77.412
196.02,77.159
197.44,76.901
198.87,76.640
200.31,76.376
201.77,76.112
203.23,75.846
204.70,75.578
206.18,75.313
207.68,75.049
209.18,74.788
210.70,74.535
212.23,74.290
213.76,74.055
215.31,73.831
216.87,73.618
218.44,73.419
220.03,73.233
221.62,73.063
223.23,72.909
224.85,72.770
226.48,72.650
228.12,72.545
229.77,72.456
231.43,72.380
233.11,72.316
234.80,72.267
236.50,72.231
238.22,72.208
239.94,72.196
241.68,72.195
243.43,72.202
245.20,72.217
246.97,72.239
248.76,72.266
250.57,72.299
252.38,72.337
254.21,72.379
256.05,72.425
257.91,72.475
259.78,72.528
261.66,72.583
263.55,72.641
265.46,72.702
267.39,72.768
269.33,72.838
271.28,72.914
273.24,72.995
275.22,73.082
277.22,73.172
279.23,73.268
281.25,73.368
283.29,73.469
285.34,73.570
287.41,73.671
289.49,73.772
291.59,73.873
293.70,73.975
295.83,74.075
297.97,74.172
300.13,74.265
302.31,74.352
304.50,74.434
306.71,74.509
308.93,74.578
311.17,74.644
313.42,74.705
315.69,74.763
317.98,74.816
320.28,74.867
322.61,74.916
324.94,74.965
327.30,75.011
329.67,75.057
332.06,75.100
334.46,75.138
336.89,75.173
339.33,75.204
341.79,75.231
344.27,75.254
346.76,75.274
349.27,75.293
351.80,75.311
354.35,75.329
356.92,75.346
359.51,75.365
362.11,75.384
364.74,75.403
367.38,75.422
370.04,75.441
372.72,75.459
375.42,75.477
378.14,75.494
380.88,75.511
383.64,75.528
386.42,75.544
389.22,75.561
392.05,75.578
394.89,75.594
397.75,75.609
400.63,75.623
403.53,75.635
406.46,75.645
409.40,75.656
412.37,75.666
415.36,75.678
418.37,75.686
421.40,75.694
424.45,75.702
427.53,75.707
430.63,75.713
433.75,75.718
436.89,75.722
440.06,75.726
443.24,75.731
446.46,75.737
449.69,75.744
452.95,75.755
456.23,75.768
459.54,75.784
462.87,75.800
466.22,75.820
469.60,75.840
473.00,75.861
476.43,75.880
479.88,75.898
483.36,75.912
486.86,75.923
490.39,75.931
493.95,75.936
497.53,75.938
501.13,75.938
504.76,75.934
508.42,75.930
512.10,75.927
515.81,75.922
519.55,75.918
523.32,75.914
527.11,75.910
530.93,75.904
534.78,75.899
538.65,75.894
542.56,75.888
546.49,75.882
550.45,75.874
554.44,75.868
558.45,75.862
562.50,75.856
566.58,75.850
570.68,75.844
574.82,75.840
578.98,75.836
583.18,75.833
587.40,75.829
591.66,75.826
595.95,75.823
600.27,75.820
604.62,75.817
609.00,75.815
613.41,75.812
617.86,75.811
622.33,75.809
626.84,75.809
631.38,75.809
635.96,75.811
640.57,75.811
645.21,75.812
649.89,75.811
654.60,75.809
659.34,75.805
664.12,75.800
668.93,75.794
673.78,75.787
678.66,75.780
683.58,75.773
688.53,75.767
693.52,75.760
698.55,75.754
703.61,75.748
708.71,75.743
713.84,75.739
719.01,75.737
724.22,75.737
729.47,75.738
734.76,75.739
740.08,75.743
745.45,75.745
750.85,75.749
756.29,75.751
761.77,75.755
767.29,75.757
772.85,75.757
778.45,75.757
784.09,75.755
789.77,75.751
795.50,75.744
801.26,75.734
807.07,75.720
812.91,75.703
818.80,75.681
824.74,75.657
830.71,75.629
836.73,75.599
842.80,75.566
848.90,75.534
855.06,75.501
861.25,75.470
867.49,75.442
873.78,75.416
880.11,75.390
886.49,75.365
892.91,75.341
899.38,75.319
905.90,75.299
912.47,75.284
919.08,75.273
925.74,75.269
932.45,75.270
939.20,75.279
946.01,75.292
952.86,75.309
959.77,75.327
966.72,75.346
973.73,75.366
980.78,75.386
987.89,75.407
995.05,75.428
1002.26,75.447
1009.52,75.468
1016.84,75.487
1024.21,75.507
1031.63,75.527
1039.11,75.547
1046.63,75.569
1054.22,75.591
1061.86,75.617
1069.55,75.644
1077.30,75.674
1085.11,75.708
1092.97,75.744
1100.89,75.783
1108.87,75.825
1116.91,75.869
1125.00,75.916
1133.15,75.966
1141.36,76.016
1149.63,76.066
1157.97,76.118
1166.36,76.171
1174.81,76.225
1183.32,76.279
1191.90,76.334
1200.53,76.386
1209.23,76.436
1218.00,76.482
1226.82,76.525
1235.71,76.564
1244.67,76.600
1253.69,76.632
1262.77,76.663
1271.92,76.691
1281.14,76.715
1290.42,76.738
1299.77,76.760
1309.19,76.781
1318.68,76.803
1328.23,76.825
1337.86,76.847
1347.55,76.869
1357.32,76.891
1367.15,76.914
1377.06,76.939
1387.04,76.965
1397.09,76.995
1407.21,77.029
1417.41,77.066
1427.68,77.111
1438.03,77.162
1448.45,77.220
1458.94,77.284
1469.52,77.352
1480.17,77.424
1490.89,77.501
1501.69,77.584
1512.58,77.672
1523.54,77.767
1534.58,77.870
1545.70,77.983
1556.90,78.102
1568.18,78.230
1579.54,78.363
1590.99,78.504
1602.52,78.648
1614.13,78.797
1625.83,78.949
1637.61,79.102
1649.48,79.257
1661.43,79.412
1673.47,79.567
1685.60,79.721
1697.81,79.872
1710.11,80.022
1722.51,80.167
1734.99,80.311
1747.56,80.450
1760.22,80.584
1772.98,80.714
1785.83,80.840
1798.77,80.961
1811.80,81.078
1824.93,81.192
1838.15,81.303
1851.47,81.409
1864.89,81.512
1878.41,81.612
1892.02,81.707
1905.73,81.801
1919.54,81.893
1933.45,81.984
1947.46,82.073
1961.57,82.163
1975.78,82.252
1990.10,82.342
2004.52,82.433
2019.05,82.525
2033.68,82.618
2048.42,82.713
2063.26,82.811
2078.21,82.909
2093.27,83.007
2108.44,83.105
2123.72,83.201
2139.11,83.294
2154.61,83.382
2170.22,83.464
2185.95,83.538
2201.79,83.603
2217.74,83.656
2233.81,83.697
2250.00,83.721
2266.30,83.731
2282.73,83.722
2299.27,83.698
2315.93,83.656
2332.71,83.597
2349.62,83.523
2366.64,83.433
2383.79,83.327
2401.07,83.206
2418.47,83.071
2435.99,82.923
2453.64,82.763
2471.42,82.590
2489.33,82.405
2507.37,82.209
2525.54,82.004
2543.84,81.788
2562.27,81.564
2580.84,81.334
2599.54,81.100
2618.38,80.867
2637.35,80.642
2656.47,80.429
2675.72,80.235
2695.11,80.065
2714.64,79.922
2734.31,79.808
2754.12,79.721
2774.08,79.663
2794.18,79.633
2814.43,79.630
2834.82,79.649
2855.36,79.686
2876.06,79.737
2896.90,79.797
2917.89,79.863
2939.03,79.931
2960.33,80.002
2981.78,80.075
3003.39,80.149
3025.15,80.225
3047.07,80.297
3069.16,80.368
3091.40,80.435
3113.80,80.503
3136.36,80.570
3159.09,80.638
3181.98,80.707
3205.04,80.777
3228.26,80.847
3251.66,80.917
3275.22,80.986
3298.95,81.052
3322.86,81.114
3346.94,81.174
3371.19,81.230
3395.62,81.280
3420.23,81.324
3445.01,81.361
3469.97,81.390
3495.12,81.409
3520.45,81.416
3545.96,81.410
3571.65,81.391
3597.53,81.357
3623.60,81.310
3649.86,81.251
3676.31,81.178
3702.95,81.094
3729.78,81.001
3756.81,80.903
3784.03,80.805
3811.45,80.712
3839.07,80.627
3866.89,80.556
3894.91,80.499
3923.14,80.458
3951.57,80.430
3980.20,80.415
4009.04,80.410
4038.10,80.416
4067.36,80.430
4096.83,80.448
4126.52,80.466
4156.42,80.475
4186.54,80.458
4216.88,80.399
4247.43,80.282
4278.21,80.090
4309.21,79.803
4340.44,79.400
4371.89,78.857
4403.57,78.149
4435.48,77.260
