frequency,raw
20.30,79.90
20.60,79.92
20.90,79.94
21.20,79.96
21.40,79.97
21.80,80.00
22.00,80.02
22.40,80.05
22.70,80.08
23.00,80.10
23.30,80.13
23.60,80.16
24.00,80.19
24.30,80.20
24.70,80.22
25.00,80.24
25.40,80.26
25.80,80.28
26.20,80.30
26.50,80.33
26.90,80.35
27.20,80.37
27.60,80.39
28.00,80.41
28.50,80.42
29.00,80.43
29.50,80.44
30.00,80.43
30.40,80.43
30.70,80.42
31.10,80.41
31.50,80.39
32.00,80.37
32.50,80.34
33.00,80.31
33.50,80.27
34.00,80.24
34.50,80.20
35.00,80.15
35.50,80.10
36.00,80.04
36.50,79.97
37.00,79.91
37.50,79.83
38.20,79.73
38.70,79.64
39.50,79.51
40.00,79.43
40.60,79.32
41.20,79.22
41.80,79.12
42.50,79.01
43.10,78.90
43.70,78.77
44.40,78.61
45.00,78.47
45.50,78.34
46.20,78.16
46.80,77.99
47.50,77.79
48.20,77.56
48.70,77.39
49.40,77.14
50.00,76.94
50.80,76.67
51.50,76.45
52.20,76.22
53.00,75.93
53.80,75.63
54.50,75.37
55.20,75.16
56.00,74.98
57.00,74.85
58.00,74.78
59.00,74.74
60.00,74.73
60.80,74.75
61.50,74.78
62.20,74.83
63.00,74.88
64.00,74.98
65.00,75.12
66.00,75.32
67.00,75.57
68.00,75.86
69.00,76.18
70.00,76.53
71.00,76.88
72.00,77.23
73.00,77.55
74.00,77.85
75.00,78.13
76.20,78.43
77.50,78.72
78.80,78.96
80.00,79.15
81.20,79.31
82.50,79.45
83.80,79.55
85.00,79.61
86.20,79.64
87.50,79.63
88.50,79.59
90.00,79.51
91.20,79.46
92.50,79.46
93.80,79.50
95.00,79.53
96.20,79.54
97.50,79.54
98.80,79.55
100.00,79.57
101.50,79.60
103.00,79.64
104.40,79.66
106.00,79.66
107.50,79.65
109.00,79.64
110.60,79.62
112.00,79.58
113.80,79.53
115.00,79.48
117.20,79.39
118.00,79.35
120.60,79.22
122.00,79.14
124.10,79.01
125.00,78.96
126.50,78.85
128.00,78.74
131.50,78.49
132.00,78.45
134.00,78.32
136.00,78.19
138.00,78.06
140.00,77.91
143.00,77.68
145.00,77.51
147.50,77.28
150.00,77.04
152.50,76.79
155.00,76.49
157.50,76.15
160.00,75.81
162.50,75.53
165.00,75.57
167.50,75.52
170.00,75.34
172.50,75.12
175.00,74.90
177.50,74.63
180.00,74.34
182.50,74.06
185.00,73.78
187.50,73.55
190.00,73.33
192.50,73.12
195.00,72.91
197.50,72.70
200.00,72.48
203.00,72.23
206.00,71.98
209.00,71.73
212.00,71.46
214.00,71.28
218.00,70.96
220.00,70.80
224.00,70.51
227.00,70.29
230.00,70.09
233.00,69.95
236.00,69.82
240.00,69.68
243.00,69.61
247.00,69.59
250.00,69.62
254.00,69.69
258.00,69.79
262.00,69.91
265.00,70.01
269.00,70.16
272.00,70.27
276.00,70.42
280.00,70.56
285.00,70.73
290.00,70.89
295.00,71.05
300.00,71.22
304.00,71.35
307.00,71.45
311.00,71.58
315.00,71.71
320.00,71.86
325.00,72.02
330.00,72.15
335.00,72.26
340.00,72.36
345.00,72.44
350.00,72.51
355.00,72.57
360.00,72.62
365.00,72.66
370.00,72.70
375.00,72.73
382.00,72.75
387.00,72.77
395.00,72.87
400.00,72.98
406.00,73.14
412.00,73.24
418.00,73.27
425.00,73.30
431.00,73.31
437.00,73.33
444.00,73.36
450.00,73.38
455.00,73.40
462.00,73.42
468.00,73.43
475.00,73.46
482.00,73.48
487.00,73.49
494.00,73.51
500.00,73.52
508.00,73.53
515.00,73.53
522.00,73.53
530.00,73.52
538.00,73.51
545.00,73.49
552.00,73.48
560.00,73.46
570.00,73.44
580.00,73.41
590.00,73.38
600.00,73.35
608.00,73.32
615.00,73.29
622.00,73.26
630.00,73.23
640.00,73.19
650.00,73.15
660.00,73.11
670.00,73.07
680.00,73.04
690.00,73.01
700.00,72.99
710.00,72.98
720.00,72.98
730.00,73.00
740.00,73.03
750.00,73.08
762.00,73.16
775.00,73.26
