frequency,raw
20.02,81.72
20.16,81.74
20.31,81.76
20.46,81.77
20.60,81.77
20.75,81.78
20.90,81.78
21.06,81.79
21.21,81.79
21.36,81.80
21.52,81.80
21.67,81.81
21.83,81.82
21.99,81.82
22.15,81.83
22.31,81.84
22.47,81.84
22.63,81.85
22.80,81.84
22.96,81.84
23.13,81.83
23.30,81.81
23.46,81.79
23.63,81.77
23.81,81.75
23.98,81.72
24.15,81.71
24.33,81.69
24.50,81.68
24.68,81.69
24.86,81.70
25.04,81.72
25.22,81.75
25.40,81.79
25.59,81.83
25.77,81.87
25.96,81.91
26.15,81.95
26.34,81.99
26.53,82.02
26.72,82.05
26.91,82.08
27.11,82.10
27.31,82.13
27.50,82.14
27.70,82.16
27.90,82.17
28.11,82.19
28.31,82.19
28.51,82.20
28.72,82.21
28.93,82.22
29.14,82.23
29.35,82.24
29.56,82.25
29.78,82.26
29.99,82.27
30.21,82.28
30.43,82.29
30.65,82.30
30.87,82.30
31.10,82.30
31.32,82.30
31.55,82.30
31.78,82.30
32.01,82.30
32.24,82.31
32.47,82.31
32.71,82.32
32.94,82.32
33.18,82.33
33.42,82.33
33.67,82.33
33.91,82.33
34.16,82.33
34.40,82.32
34.65,82.32
34.90,82.32
35.16,82.32
35.41,82.32
35.67,82.32
35.93,82.31
36.19,82.31
36.45,82.31
36.71,82.31
36.98,82.31
37.25,82.30
37.52,82.29
37.79,82.28
38.06,82.27
38.34,82.26
38.62,82.24
38.90,82.22
39.18,82.20
39.46,82.17
39.75,82.15
40.04,82.12
40.33,82.09
40.62,82.06
40.91,82.02
41.21,81.99
41.51,81.96
41.81,81.92
42.11,81.89
42.42,81.85
42.72,81.82
43.03,81.79
43.34,81.75
43.66,81.72
43.98,81.68
44.29,81.63
44.62,81.57
44.94,81.51
45.26,81.43
45.59,81.35
45.92,81.26
46.26,81.17
46.59,81.08
46.93,80.99
47.27,80.90
47.61,80.81
47.96,80.72
48.30,80.62
48.65,80.52
49.01,80.41
49.36,80.28
49.72,80.15
50.08,80.02
50.44,79.88
50.81,79.74
51.18,79.61
51.55,79.48
51.92,79.37
52.30,79.28
52.67,79.19
53.06,79.12
53.44,79.05
53.83,78.98
54.22,78.91
54.61,78.84
55.01,78.77
55.41,78.70
55.81,78.65
56.21,78.61
56.62,78.59
57.03,78.58
57.44,78.60
57.86,78.63
58.28,78.69
58.70,78.77
59.13,78.86
59.55,78.97
59.99,79.08
60.42,79.20
60.86,79.31
61.30,79.41
61.74,79.50
62.19,79.56
62.64,79.60
63.10,79.62
63.55,79.61
64.01,79.56
64.48,79.49
64.94,79.39
65.41,79.27
65.89,79.12
66.37,78.97
66.85,78.81
67.33,78.66
67.82,78.52
68.31,78.41
68.81,78.34
69.30,78.31
69.81,78.32
70.31,78.37
70.82,78.47
71.34,78.59
71.85,78.73
72.37,78.89
72.90,79.05
73.43,79.20
73.96,79.36
74.49,79.51
75.03,79.66
75.58,79.82
76.12,79.99
76.68,80.15
77.23,80.30
77.79,80.43
78.36,80.54
78.92,80.64
79.50,80.73
80.07,80.80
80.65,80.87
81.24,80.92
81.82,80.97
82.42,81.01
83.01,81.05
83.62,81.08
84.22,81.10
84.83,81.11
85.45,81.12
86.07,81.13
86.69,81.14
87.32,81.15
87.95,81.16
88.59,81.17
89.23,81.17
89.88,81.16
90.53,81.14
91.18,81.12
91.84,81.08
92.51,81.04
93.18,80.97
93.86,80.89
94.54,80.79
95.22,80.67
95.91,80.54
96.61,80.39
97.31,80.23
98.01,80.06
98.72,79.90
99.44,79.76
100.16,79.66
100.88,79.61
101.61,79.61
102.35,79.65
103.09,79.72
103.84,79.81
104.59,79.90
105.35,79.99
106.11,80.07
106.88,80.14
107.66,80.20
108.44,80.25
109.22,80.29
110.01,80.32
110.81,80.34
111.61,80.35
112.42,80.35
113.24,80.34
114.06,80.32
114.88,80.30
115.72,80.27
116.56,80.25
117.40,80.22
118.25,80.19
119.11,80.16
119.97,80.13
120.84,80.10
121.72,80.07
122.60,80.03
123.49,79.99
124.38,79.95
125.28,79.90
126.19,79.86
127.10,79.81
128.03,79.76
128.95,79.70
129.89,79.65
130.83,79.60
131.78,79.54
132.73,79.48
133.69,79.42
134.66,79.35
135.64,79.28
136.62,79.21
137.61,79.13
138.61,79.06
139.61,78.98
140.62,78.91
141.64,78.84
142.67,78.76
143.70,78.69
144.75,78.62
145.79,78.55
146.85,78.47
147.92,78.40
148.99,78.32
150.07,78.23
151.15,78.14
152.25,78.04
153.35,77.93
154.46,77.83
155.58,77.71
156.71,77.59
157.85,77.46
158.99,77.33
160.14,77.20
161.30,77.06
162.47,76.91
163.65,76.76
164.83,76.60
166.03,76.44
167.23,76.26
168.44,76.08
169.66,75.89
170.89,75.70
172.13,75.50
173.38,75.31
174.64,75.14
175.90,74.98
177.18,74.83
178.46,74.69
179.75,74.55
181.06,74.42
182.37,74.28
183.69,74.14
185.02,73.99
186.36,73.84
187.71,73.68
189.07,73.51
190.44,73.34
191.82,73.16
193.21,72.98
194.61,72.80
196.02,72.62
197.44,72.43
198.87,72.25
200.31,72.06
201.77,71.88
203.23,71.70
204.70,71.53
206.18,71.36
207.68,71.19
209.18,71.02
210.70,70.86
212.23,70.70
213.76,70.55
215.31,70.41
216.87,70.28
218.44,70.16
220.03,70.06
221.62,69.97
223.23,69.89
224.85,69.83
226.48,69.79
228.12,69.77
229.77,69.77
231.43,69.78
233.11,69.80
234.80,69.85
236.50,69.90
238.22,69.96
239.94,70.04
241.68,70.12
243.43,70.20
245.20,70.29
246.97,70.38
248.76,70.48
250.57,70.58
252.38,70.68
254.21,70.78
256.05,70.89
257.91,71.00
259.78,71.11
261.66,71.22
263.55,71.33
265.46,71.44
267.39,71.56
269.33,71.68
271.28,71.80
273.24,71.93
275.22,72.06
277.22,72.20
279.23,72.33
281.25,72.47
283.29,72.60
285.34,72.72
287.41,72.84
289.49,72.95
291.59,73.06
293.70,73.15
295.83,73.24
297.97,73.33
300.13,73.40
302.31,73.48
304.50,73.55
306.71,73.61
308.93,73.67
311.17,73.73
313.42,73.79
315.69,73.84
317.98,73.90
320.28,73.95
322.61,74.00
324.94,74.05
327.30,74.09
329.67,74.14
332.06,74.18
334.46,74.22
336.89,74.26
339.33,74.31
341.79,74.35
344.27,74.39
346.76,74.44
349.27,74.48
351.80,74.52
354.35,74.56
356.92,74.61
359.51,74.64
362.11,74.68
364.74,74.72
367.38,74.75
370.04,74.79
372.72,74.82
375.42,74.84
378.14,74.87
380.88,74.89
383.64,74.92
386.42,74.94
389.22,74.96
392.05,74.98
394.89,75.00
397.75,75.02
400.63,75.03
403.53,75.05
406.46,75.07
409.40,75.08
412.37,75.10
415.36,75.13
418.37,75.15
421.40,75.18
424.45,75.20
427.53,75.23
430.63,75.25
433.75,75.28
436.89,75.31
440.06,75.33
443.24,75.36
446.46,75.39
449.69,75.41
452.95,75.44
456.23,75.46
459.54,75.49
462.87,75.51
466.22,75.53
469.60,75.55
473.00,75.56
476.43,75.58
479.88,75.59
483.36,75.59
486.86,75.60
490.39,75.60
493.95,75.60
497.53,75.59
501.13,75.59
504.76,75.58
508.42,75.57
512.10,75.56
515.81,75.54
519.55,75.53
523.32,75.51
527.11,75.50
530.93,75.48
534.78,75.47
538.65,75.46
542.56,75.45
546.49,75.43
550.45,75.42
554.44,75.41
558.45,75.40
562.50,75.38
566.58,75.37
570.68,75.35
574.82,75.34
578.98,75.32
583.18,75.31
587.40,75.30
591.66,75.29
595.95,75.28
600.27,75.27
604.62,75.26
609.00,75.25
613.41,75.24
617.86,75.23
622.33,75.22
626.84,75.21
631.38,75.21
635.96,75.20
640.57,75.20
645.21,75.20
649.89,75.20
654.60,75.20
659.34,75.20
664.12,75.19
668.93,75.19
673.78,75.19
678.66,75.18
683.58,75.19
688.53,75.19
693.52,75.20
698.55,75.21
703.61,75.22
708.71,75.24
713.84,75.27
719.01,75.30
724.22,75.33
729.47,75.36
734.76,75.40
740.08,75.44
745.45,75.48
750.85,75.53
756.29,75.57
761.77,75.62
767.29,75.66
772.85,75.70
778.45,75.74
784.09,75.78
789.77,75.82
795.50,75.85
801.26,75.89
807.07,75.92
812.91,75.94
818.80,75.96
824.74,75.98
830.71,75.99
836.73,76.00
842.80,76.00
848.90,76.01
855.06,76.01
861.25,76.01
867.49,76.02
873.78,76.02
880.11,76.02
886.49,76.02
892.91,76.01
899.38,76.00
905.90,75.99
912.47,75.98
919.08,75.97
925.74,75.95
932.45,75.93
939.20,75.91
946.01,75.89
952.86,75.87
959.77,75.85
966.72,75.84
973.73,75.82
980.78,75.80
987.89,75.78
995.05,75.76
1002.26,75.74
1009.52,75.73
1016.84,75.71
1024.21,75.70
1031.63,75.69
1039.11,75.68
1046.63,75.67
1054.22,75.66
1061.86,75.66
1069.55,75.66
1077.30,75.66
1085.11,75.66
1092.97,75.66
1100.89,75.67
1108.87,75.69
1116.91,75.71
1125.00,75.73
1133.15,75.76
1141.36,75.79
1149.63,75.83
1157.97,75.87
1166.36,75.92
1174.81,75.97
1183.32,76.02
1191.90,76.08
1200.53,76.14
1209.23,76.20
1218.00,76.27
1226.82,76.34
1235.71,76.41
1244.67,76.48
1253.69,76.55
1262.77,76.63
1271.92,76.70
1281.14,76.79
1290.42,76.87
1299.77,76.96
1309.19,77.05
1318.68,77.14
1328.23,77.23
1337.86,77.33
1347.55,77.43
1357.32,77.52
1367.15,77.62
1377.06,77.72
1387.04,77.81
1397.09,77.90
1407.21,77.99
1417.41,78.08
1427.68,78.17
1438.03,78.25
1448.45,78.33
1458.94,78.41
1469.52,78.49
1480.17,78.56
1490.89,78.63
1501.69,78.69
1512.58,78.76
1523.54,78.81
1534.58,78.87
1545.70,78.93
1556.90,78.99
1568.18,79.05
1579.54,79.11
1590.99,79.17
1602.52,79.23
1614.13,79.30
1625.83,79.37
1637.61,79.43
1649.48,79.50
1661.43,79.58
1673.47,79.65
1685.60,79.72
1697.81,79.79
1710.11,79.87
1722.51,79.94
1734.99,80.02
1747.56,80.09
1760.22,80.17
1772.98,80.25
1785.83,80.32
1798.77,80.40
1811.80,80.48
1824.93,80.57
1838.15,80.65
1851.47,80.74
1864.89,80.83
1878.41,80.91
1892.02,81.00
1905.73,81.09
1919.54,81.19
1933.45,81.28
1947.46,81.37
1961.57,81.46
1975.78,81.56
1990.10,81.65
2004.52,81.74
2019.05,81.84
2033.68,81.93
2048.42,82.01
2063.26,82.10
2078.21,82.17
2093.27,82.25
2108.44,82.31
2123.72,82.36
2139.11,82.40
2154.61,82.43
2170.22,82.45
2185.95,82.45
2201.79,82.43
2217.74,82.40
2233.81,82.35
2250.00,82.29
2266.30,82.22
2282.73,82.13
2299.27,82.03
2315.93,81.92
2332.71,81.81
2349.62,81.68
2366.64,81.55
2383.79,81.42
2401.07,81.29
2418.47,81.15
2435.99,81.01
