frequency,raw
20.00,-6.208
20.30,-6.102
20.60,-5.959
20.90,-5.808
21.20,-5.656
21.40,-5.555
21.80,-5.356
22.00,-5.260
22.40,-5.074
22.70,-4.942
23.00,-4.818
23.30,-4.698
23.60,-4.581
24.00,-4.427
24.30,-4.314
24.70,-4.166
25.00,-4.058
25.40,-3.915
25.80,-3.771
26.20,-3.625
26.50,-3.517
26.90,-3.380
27.20,-3.282
27.60,-3.157
28.00,-3.040
28.50,-2.898
29.00,-2.756
29.50,-2.610
30.00,-2.460
30.40,-2.339
30.70,-2.252
31.10,-2.140
31.50,-2.034
32.00,-1.911
32.50,-1.794
33.00,-1.680
33.50,-1.569
34.00,-1.460
34.50,-1.353
35.00,-1.248
35.50,-1.148
36.00,-1.052
36.50,-0.960
37.00,-0.869
37.50,-0.780
38.20,-0.661
38.70,-0.583
39.50,-0.469
40.00,-0.402
40.60,-0.324
41.20,-0.247
41.80,-0.172
42.50,-0.091
43.10,-0.026
43.70,0.036
44.40,0.105
45.00,0.158
45.50,0.197
46.20,0.241
46.80,0.270
47.50,0.300
48.20,0.327
48.70,0.347
49.40,0.377
50.00,0.406
50.80,0.452
51.50,0.497
52.20,0.545
53.00,0.601
53.80,0.653
54.50,0.694
55.20,0.732
56.00,0.770
57.00,0.812
58.00,0.849
59.00,0.878
60.00,0.892
60.80,0.889
61.50,0.871
62.20,0.838
63.00,0.778
64.00,0.664
65.00,0.499
66.00,0.285
67.00,0.033
68.00,-0.248
69.00,-0.544
70.00,-0.844
71.00,-1.136
72.00,-1.403
73.00,-1.633
74.00,-1.812
75.00,-1.931
76.20,-1.990
77.50,-1.958
78.80,-1.844
80.00,-1.683
81.20,-1.483
82.50,-1.238
83.80,-0.979
85.00,-0.738
86.20,-0.504
87.50,-0.264
88.50,-0.091
90.00,0.150
91.20,0.325
92.50,0.497
93.80,0.652
95.00,0.778
96.20,0.888
97.50,0.989
98.80,1.074
100.00,1.141
101.50,1.209
103.00,1.263
104.40,1.299
106.00,1.323
107.50,1.333
109.00,1.333
110.60,1.322
112.00,1.306
113.80,1.276
115.00,1.252
117.20,1.205
118.00,1.186
120.60,1.120
122.00,1.080
124.10,1.015
125.00,0.986
126.50,0.935
128.00,0.881
131.50,0.746
132.00,0.725
134.00,0.636
136.00,0.540
138.00,0.435
140.00,0.321
143.00,0.139
145.00,0.010
147.50,-0.156
150.00,-0.327
152.50,-0.504
155.00,-0.689
157.50,-0.883
160.00,-1.084
162.50,-1.291
165.00,-1.505
167.50,-1.721
170.00,-1.939
172.50,-2.156
175.00,-2.374
177.50,-2.591
180.00,-2.805
182.50,-3.015
185.00,-3.218
187.50,-3.412
190.00,-3.596
192.50,-3.766
195.00,-3.918
197.50,-4.049
200.00,-4.159
203.00,-4.262
206.00,-4.333
209.00,-4.372
212.00,-4.382
214.00,-4.373
218.00,-4.324
220.00,-4.286
224.00,-4.184
227.00,-4.094
230.00,-3.999
233.00,-3.904
236.00,-3.812
240.00,-3.694
243.00,-3.607
247.00,-3.491
250.00,-3.403
254.00,-3.285
258.00,-3.165
262.00,-3.043
265.00,-2.952
269.00,-2.830
272.00,-2.738
276.00,-2.619
280.00,-2.507
285.00,-2.383
290.00,-2.278
295.00,-2.189
