frequency,raw
20.02,99.01
20.27,99.01
20.52,99.00
20.78,99.00
21.04,98.99
21.31,98.99
21.58,98.98
21.85,98.98
22.12,98.97
22.40,98.97
22.68,98.96
22.97,98.95
23.26,98.95
23.55,98.94
23.85,98.94
24.15,98.93
24.45,98.92
24.76,98.92
25.07,98.91
25.39,98.90
25.71,98.90
26.03,98.89
26.36,98.89
26.69,98.89
27.03,98.89
27.37,98.89
27.71,98.89
28.06,98.89
28.41,98.90
28.77,98.90
29.13,98.91
29.50,98.91
29.87,98.92
30.25,98.92
30.63,98.93
31.02,98.94
31.41,98.95
31.80,98.96
32.20,98.96
32.61,98.96
33.02,98.96
33.43,98.95
33.85,98.94
34.28,98.93
34.71,98.91
35.15,98.89
35.59,98.86
36.04,98.83
36.49,98.79
36.95,98.75
37.42,98.71
37.89,98.68
38.37,98.66
38.85,98.65
39.34,98.65
39.83,98.65
40.34,98.67
40.84,98.68
41.36,98.71
41.88,98.74
42.41,98.79
42.94,98.83
43.48,98.86
44.03,98.86
44.58,98.83
45.14,98.77
45.71,98.71
46.29,98.65
46.87,98.60
47.46,98.54
48.06,98.49
48.66,98.43
49.27,98.38
49.90,98.33
50.52,98.29
51.16,98.26
51.80,98.23
52.46,98.19
53.12,98.15
53.79,98.10
54.46,98.04
55.15,97.99
55.84,97.94
56.55,97.90
57.26,97.87
57.98,97.84
58.71,97.82
59.45,97.82
60.20,97.83
60.95,97.85
61.72,97.88
62.50,97.93
63.29,97.98
64.08,98.05
64.89,98.11
65.71,98.19
66.53,98.27
67.37,98.33
68.22,98.38
69.08,98.42
69.95,98.46
70.83,98.48
71.72,98.49
72.62,98.49
73.54,98.47
74.47,98.44
75.40,98.41
76.35,98.40
77.31,98.41
78.29,98.44
79.27,98.46
80.27,98.48
81.28,98.50
82.31,98.52
83.34,98.55
84.39,98.56
85.45,98.56
86.53,98.54
87.62,98.52
88.72,98.51
89.84,98.51
90.97,98.50
92.12,98.48
93.28,98.43
94.45,98.35
95.64,98.26
96.84,98.19
98.06,98.17
99.30,98.15
100.55,98.10
101.81,98.01
103.10,97.92
104.39,97.83
105.71,97.76
107.04,97.69
108.39,97.60
109.75,97.47
111.13,97.28
112.53,97.06
113.95,96.81
115.39,96.55
116.84,96.28
118.31,95.98
119.80,95.74
121.31,95.65
122.83,95.65
124.38,95.64
125.95,95.59
127.53,95.51
129.14,95.43
130.76,95.34
132.41,95.23
134.08,95.09
135.77,94.94
137.48,94.78
139.21,94.59
140.96,94.38
142.73,94.14
144.53,93.88
146.35,93.60
148.19,93.33
150.06,93.12
151.95,93.01
153.86,92.92
155.80,92.78
157.76,92.60
159.75,92.44
161.76,92.28
163.80,92.09
165.86,91.94
167.95,91.85
170.06,91.77
172.20,91.68
174.37,91.59
176.57,91.50
178.79,91.40
181.04,91.33
183.32,91.27
185.63,91.22
187.97,91.18
190.33,91.16
192.73,91.15
195.16,91.13
197.61,91.13
200.10,91.17
202.62,91.24
205.17,91.31
207.75,91.37
210.37,91.43
213.02,91.49
215.70,91.56
218.42,91.61
221.17,91.66
223.95,91.71
226.77,91.77
229.63,91.83
232.52,91.88
235.45,91.92
238.41,91.95
241.41,91.99
244.45,92.03
247.53,92.06
250.65,92.11
253.80,92.18
257.00,92.24
260.24,92.26
263.51,92.27
266.83,92.31
270.19,92.34
273.59,92.36
277.04,92.37
280.52,92.40
284.06,92.42
287.63,92.42
291.25,92.42
294.92,92.42
298.63,92.42
302.39,92.41
306.20,92.39
310.06,92.37
313.96,92.35
317.92,92.35
321.92,92.37
325.97,92.37
330.07,92.35
334.23,92.33
338.44,92.32
342.70,92.31
347.02,92.29
351.38,92.27
355.81,92.25
360.29,92.25
364.83,92.25
369.42,92.24
374.07,92.21
378.78,92.21
383.55,92.24
388.38,92.30
393.27,92.37
398.22,92.43
403.24,92.49
408.31,92.57
413.45,92.64
418.66,92.69
423.93,92.76
429.27,92.83
434.67,92.92
440.15,92.99
445.69,93.06
451.30,93.13
456.98,93.21
462.74,93.29
468.56,93.36
474.46,93.45
480.44,93.53
486.49,93.60
492.61,93.66
498.81,93.70
505.09,93.72
511.45,93.73
517.89,93.73
524.41,93.71
531.02,93.70
537.70,93.69
544.47,93.69
551.33,93.67
558.27,93.64
565.30,93.62
572.42,93.62
579.63,93.62
586.92,93.62
594.31,93.62
601.80,93.62
609.37,93.61
617.05,93.58
624.82,93.53
632.68,93.47
640.65,93.40
648.72,93.32
656.88,93.23
665.15,93.15
673.53,93.10
682.01,93.05
690.60,93.01
699.29,92.99
708.10,92.99
717.01,93.01
726.04,93.02
735.18,93.02
744.44,93.03
753.81,93.04
763.30,93.05
772.91,93.07
782.65,93.10
792.50,93.16
802.48,93.22
812.58,93.27
822.82,93.31
833.18,93.35
843.67,93.39
854.29,93.42
865.04,93.44
875.94,93.45
886.97,93.44
898.13,93.43
909.44,93.41
920.89,93.38
932.49,93.34
944.23,93.29
956.12,93.23
968.16,93.17
980.35,93.11
992.69,93.09
1005.19,93.13
1017.85,93.23
1030.66,93.34
1043.64,93.43
1056.78,93.52
1070.09,93.61
1083.56,93.69
1097.20,93.72
1111.02,93.72
1125.01,93.70
1139.17,93.69
1153.52,93.67
1168.04,93.65
1182.75,93.62
1197.64,93.59
1212.72,93.57
1227.99,93.55
1243.45,93.53
1259.11,93.52
1274.96,93.50
1291.01,93.47
1307.27,93.45
1323.73,93.43
1340.39,93.42
1357.27,93.40
1374.36,93.39
1391.66,93.39
1409.19,93.40
1426.93,93.42
1444.90,93.44
1463.09,93.47
1481.51,93.51
1500.17,93.55
1519.05,93.58
1538.18,93.62
1557.55,93.66
1577.16,93.72
1597.02,93.80
1617.13,93.89
1637.49,94.01
1658.11,94.18
1678.98,94.39
1700.12,94.61
1721.53,94.79
1743.20,94.95
1765.15,95.09
1787.38,95.24
1809.88,95.42
1832.67,95.66
1855.75,95.99
1879.11,96.39
1902.77,96.83
1926.73,97.22
1950.99,97.50
1975.56,97.69
2000.43,97.82
2025.62,97.97
2051.12,98.14
2076.95,98.33
2103.10,98.49
2129.58,98.64
2156.39,98.76
2183.55,98.88
2211.04,98.98
2238.88,99.08
2267.07,99.20
2295.61,99.32
2324.52,99.44
2353.78,99.54
2383.42,99.61
2413.43,99.67
2443.82,99.71
2474.59,99.73
2505.75,99.74
2537.30,99.76
2569.24,99.81
2601.59,99.86
2634.35,99.92
2667.52,100.02
2701.11,100.18
2735.12,100.37
2769.56,100.58
2804.43,100.79
2839.74,101.01
2875.49,101.21
2911.70,101.39
2948.36,101.53
2985.48,101.61
3023.07,101.59
3061.14,101.43
3099.68,101.12
3138.71,100.68
3178.23,100.16
3218.25,99.61
3258.77,99.18
3299.80,98.99
3341.35,98.96
3383.42,99.00
3426.02,99.04
3469.16,99.01
3512.84,98.90
3557.07,98.71
3601.86,98.47
3647.21,98.22
3693.13,97.95
3739.63,97.69
3786.72,97.43
3834.39,97.19
3882.67,96.99
3931.56,96.83
3981.06,96.70
4031.19,96.61
4081.95,96.59
4133.34,96.63
4185.39,96.72
4238.08,96.86
4291.45,97.04
4345.48,97.21
4400.19,97.33
4455.60,97.42
4511.70,97.52
4568.51,97.67
4626.03,97.92
4684.27,98.24
4743.26,98.53
4802.98,98.74
4863.45,98.85
4924.69,98.91
4986.70,98.96
5049.48,99.02
5113.06,99.09
5177.44,99.19
5242.63,99.31
5308.64,99.44
5375.48,99.60
5443.17,99.78
5511.70,100.01
5581.10,100.28
5651.37,100.57
5722.53,100.78
5794.58,100.84
5867.54,100.77
5941.42,100.68
6016.23,100.69
6091.98,100.89
6168.69,101.24
6246.36,101.50
6325.01,101.52
6404.64,101.28
6485.28,100.91
6566.94,100.53
6649.63,100.26
6733.35,100.10
6818.13,100.06
6903.98,100.12
6990.91,100.28
7078.93,100.54
7168.06,100.84
7258.32,101.12
7349.71,101.39
7442.25,101.61
7535.95,101.74
7630.84,101.73
7726.92,101.57
