frequency,raw
20.02,98.90
20.27,98.90
20.52,98.89
20.78,98.89
21.04,98.88
21.31,98.88
21.58,98.87
21.85,98.86
22.12,98.85
22.40,98.85
22.68,98.84
22.97,98.83
23.26,98.82
23.55,98.81
23.85,98.79
24.15,98.78
24.45,98.77
24.76,98.75
25.07,98.74
25.39,98.72
25.71,98.71
26.03,98.69
26.36,98.68
26.69,98.68
27.03,98.67
27.37,98.67
27.71,98.67
28.06,98.67
28.41,98.67
28.77,98.67
29.13,98.67
29.50,98.67
29.87,98.68
30.25,98.68
30.63,98.69
31.02,98.70
31.41,98.70
31.80,98.71
32.20,98.72
32.61,98.72
33.02,98.73
33.43,98.75
33.85,98.75
34.28,98.76
34.71,98.75
35.15,98.74
35.59,98.71
36.04,98.67
36.49,98.61
36.95,98.56
37.42,98.50
37.89,98.46
38.37,98.45
38.85,98.45
39.34,98.47
39.83,98.48
40.34,98.49
40.84,98.50
41.36,98.51
41.88,98.52
42.41,98.53
42.94,98.53
43.48,98.54
44.03,98.53
44.58,98.50
45.14,98.46
45.71,98.41
46.29,98.36
46.87,98.30
47.46,98.24
48.06,98.18
48.66,98.11
49.27,98.04
49.90,97.98
50.52,97.92
51.16,97.87
51.80,97.81
52.46,97.76
53.12,97.70
53.79,97.64
54.46,97.57
55.15,97.51
55.84,97.48
56.55,97.49
57.26,97.51
57.98,97.55
58.71,97.59
59.45,97.63
60.20,97.68
60.95,97.73
61.72,97.78
62.50,97.84
63.29,97.90
64.08,97.97
64.89,98.04
65.71,98.12
66.53,98.21
67.37,98.29
68.22,98.39
69.08,98.48
69.95,98.55
70.83,98.60
71.72,98.60
72.62,98.60
73.54,98.59
74.47,98.59
75.40,98.58
76.35,98.59
77.31,98.60
78.29,98.61
79.27,98.63
80.27,98.65
81.28,98.67
82.31,98.69
83.34,98.72
84.39,98.74
85.45,98.73
86.53,98.69
87.62,98.64
88.72,98.61
89.84,98.58
90.97,98.57
92.12,98.57
93.28,98.58
94.45,98.56
95.64,98.50
96.84,98.42
98.06,98.33
99.30,98.24
100.55,98.20
101.81,98.18
103.10,98.13
104.39,98.04
105.71,97.90
107.04,97.73
108.39,97.55
109.75,97.38
111.13,97.20
112.53,96.98
113.95,96.74
115.39,96.55
116.84,96.40
118.31,96.29
119.80,96.19
121.31,96.09
122.83,95.99
124.38,95.90
125.95,95.83
127.53,95.78
129.14,95.71
130.76,95.61
132.41,95.48
134.08,95.32
135.77,95.15
137.48,94.98
139.21,94.82
140.96,94.65
142.73,94.41
144.53,94.14
146.35,93.87
148.19,93.62
150.06,93.38
151.95,93.16
153.86,92.97
155.80,92.80
157.76,92.63
159.75,92.45
161.76,92.26
163.80,92.04
165.86,91.86
167.95,91.76
170.06,91.68
172.20,91.57
174.37,91.44
176.57,91.32
178.79,91.23
181.04,91.15
183.32,91.07
185.63,91.00
187.97,90.95
190.33,90.94
192.73,90.93
195.16,90.92
197.61,90.93
200.10,90.94
202.62,90.96
205.17,90.97
207.75,91.01
210.37,91.07
213.02,91.14
215.70,91.21
218.42,91.27
221.17,91.31
223.95,91.34
226.77,91.38
229.63,91.42
232.52,91.48
235.45,91.52
238.41,91.54
241.41,91.57
244.45,91.63
247.53,91.68
250.65,91.71
253.80,91.73
257.00,91.75
