frequency,raw
3,88.003
3.04,88.166
3.07,88.291
3.11,88.459
3.15,88.623
3.2,88.827
3.25,89.030
3.3,89.233
3.35,89.437
3.4,89.638
3.45,89.837
3.5,90.035
3.55,90.231
3.6,90.427
3.65,90.622
3.7,90.814
3.75,91.004
3.82,91.267
3.87,91.455
3.95,91.749
4,91.930
4.06,92.148
4.12,92.361
4.18,92.570
4.25,92.811
4.31,93.014
4.37,93.214
4.44,93.443
4.5,93.634
4.55,93.792
4.62,94.007
4.68,94.189
4.75,94.395
4.82,94.594
4.87,94.733
4.94,94.924
5,95.083
5.08,95.288
5.15,95.460
5.22,95.625
5.3,95.807
5.38,95.979
5.45,96.122
5.52,96.259
5.6,96.405
5.7,96.576
5.8,96.728
5.9,96.870
6,97.005
6.08,97.111
6.15,97.201
6.22,97.290
6.3,97.391
6.4,97.514
6.5,97.633
6.6,97.750
6.7,97.866
6.8,97.977
6.9,98.086
7,98.192
7.1,98.296
7.2,98.397
7.3,98.493
7.4,98.589
7.5,98.681
7.62,98.788
7.75,98.899
7.88,99.005
8,99.100
8.12,99.190
8.25,99.283
8.38,99.371
8.5,99.448
8.62,99.523
8.75,99.600
8.85,99.659
9,99.749
9.12,99.820
9.25,99.895
9.38,99.969
9.5,100.034
9.62,100.098
9.75,100.166
9.88,100.231
10,100.290
10.15,100.361
10.3,100.429
10.44,100.490
10.6,100.557
10.75,100.618
10.9,100.675
11.06,100.733
11.2,100.782
11.38,100.841
11.5,100.879
11.72,100.941
11.8,100.961
12.06,101.022
12.2,101.053
12.41,101.099
12.5,101.118
12.65,101.149
12.8,101.179
13.15,101.248
13.2,101.257
13.4,101.293
13.6,101.328
13.8,101.362
14,101.394
14.3,101.440
14.5,101.469
14.75,101.503
15,101.536
15.25,101.569
15.5,101.602
15.75,101.633
16,101.663
16.25,101.694
16.5,101.724
16.75,101.752
17,101.781
17.25,101.809
17.5,101.836
17.75,101.862
18,101.886
18.25,101.910
18.5,101.932
18.75,101.953
19,101.975
19.25,101.994
19.5,102.013
19.75,102.030
20,102.047
20.3,102.065
20.6,102.073
20.9,102.071
21.2,102.062
21.4,102.056
21.8,102.042
22,102.035
22.4,102.020
22.7,102.010
23,102.001
23.3,101.995
23.6,101.989
24,101.984
24.3,101.983
24.7,101.982
25,101.982
25.4,101.982
25.8,101.981
26.2,101.974
26.5,101.964
26.9,101.941
27.2,101.920
27.6,101.888
28,101.853
28.5,101.812
29,101.777
29.5,101.748
30,101.723
30.4,101.707
30.7,101.697
31.1,101.682
31.5,101.666
32,101.641
32.5,101.606
33,101.566
33.5,101.525
34,101.485
34.5,101.446
35,101.407
35.5,101.373
36,101.340
36.5,101.310
37,101.281
37.5,101.255
38.2,101.220
38.7,101.198
39.5,101.167
40,101.147
40.6,101.124
41.2,101.102
41.8,101.080
42.5,101.055
43.1,101.034
43.7,101.011
44.4,100.974
45,100.937
45.5,100.902
46.2,100.848
46.8,100.794
47.5,100.721
48.2,100.644
48.7,100.584
49.4,100.500
50,100.423
50.8,100.316
51.5,100.219
52.2,100.124
53,100.031
53.8,99.959
54.5,99.906
55.2,99.866
56,99.852
57,99.886
58,99.928
59,99.912
60,99.840
60.8,99.765
61.5,99.694
62.2,99.618
63,99.527
64,99.416
65,99.320
66,99.239
67,99.165
68,99.099
69,99.043
70,98.999
71,98.974
72,98.962
73,98.955
74,98.947
75,98.936
76.2,98.917
77.5,98.884
78.8,98.856
80,98.852
81.2,98.861
82.5,98.864
83.8,98.853
85,98.841
86.2,98.831
87.5,98.822
