frequency,raw
3,87.849
3.04,88.008
3.07,88.132
3.11,88.297
3.15,88.460
3.2,88.662
3.25,88.862
3.3,89.061
3.35,89.263
3.4,89.460
3.45,89.656
3.5,89.851
3.55,90.046
3.6,90.237
3.65,90.429
3.7,90.618
3.75,90.805
3.82,91.065
3.87,91.249
3.95,91.539
4,91.718
4.06,91.931
4.12,92.141
4.18,92.347
4.25,92.585
4.31,92.786
4.37,92.984
4.44,93.210
4.5,93.399
4.55,93.555
4.62,93.769
4.68,93.950
4.75,94.155
4.82,94.355
4.87,94.494
4.94,94.685
5,94.844
5.08,95.050
5.15,95.225
5.22,95.392
5.3,95.578
5.38,95.755
5.45,95.903
5.52,96.044
5.6,96.198
5.7,96.379
5.8,96.543
5.9,96.698
6,96.846
6.08,96.962
6.15,97.061
6.22,97.158
6.3,97.268
6.4,97.403
6.5,97.533
6.6,97.660
6.7,97.785
6.8,97.906
6.9,98.024
7,98.138
7.1,98.250
7.2,98.358
7.3,98.463
7.4,98.564
7.5,98.662
7.62,98.776
7.75,98.893
7.88,99.005
8,99.104
8.12,99.197
8.25,99.294
8.38,99.385
8.5,99.463
8.62,99.538
8.75,99.612
8.85,99.666
9,99.740
9.12,99.798
9.25,99.859
9.38,99.920
9.5,99.975
9.62,100.029
9.75,100.085
9.88,100.141
10,100.191
10.15,100.254
10.3,100.314
10.44,100.368
10.6,100.429
10.75,100.484
10.9,100.538
11.06,100.594
11.2,100.641
11.38,100.700
11.5,100.737
11.72,100.807
11.8,100.834
12.06,100.919
12.2,100.965
12.41,101.032
12.5,101.060
12.65,101.106
12.8,101.150
13.15,101.249
13.2,101.263
13.4,101.316
13.6,101.368
13.8,101.416
14,101.463
14.3,101.531
14.5,101.571
14.75,101.609
15,101.635
15.25,101.655
15.5,101.673
15.75,101.690
16,101.704
16.25,101.718
16.5,101.731
16.75,101.745
17,101.758
17.25,101.773
17.5,101.788
17.75,101.804
18,101.822
18.25,101.840
18.5,101.858
18.75,101.877
19,101.897
19.25,101.916
19.5,101.934
19.75,101.951
20,101.966
20.3,101.981
20.6,101.989
20.9,101.989
21.2,101.986
21.4,101.982
21.8,101.974
22,101.969
22.4,101.959
22.7,101.951
23,101.942
23.3,101.934
23.6,101.927
24,101.918
24.3,101.912
24.7,101.902
25,101.894
25.4,101.885
25.8,101.876
26.2,101.868
26.5,101.863
26.9,101.858
27.2,101.856
27.6,101.854
28,101.851
28.5,101.845
29,101.835
29.5,101.816
30,101.787
30.4,101.763
30.7,101.743
31.1,101.716
31.5,101.688
32,101.651
32.5,101.612
33,101.571
33.5,101.527
34,101.483
34.5,101.440
35,101.398
35.5,101.355
36,101.311
36.5,101.267
37,101.224
37.5,101.185
38.2,101.149
38.7,101.142
39.5,101.150
40,101.158
40.6,101.164
41.2,101.163
41.8,101.158
42.5,101.147
43.1,101.135
43.7,101.118
44.4,101.094
45,101.068
45.5,101.043
46.2,100.999
46.8,100.953
47.5,100.881
48.2,100.799
48.7,100.736
49.4,100.643
50,100.559
50.8,100.440
51.5,100.333
52.2,100.230
53,100.131
53.8,100.055
54.5,100.001
55.2,99.956
56,99.932
57,99.951
58,99.975
59,99.936
60,99.835
60.8,99.738
61.5,99.658
62.2,99.585
63,99.508
64,99.412
65,99.309
66,99.208
67,99.118
68,99.047
69,98.990
70,98.950
71,98.930
72,98.923
73,98.919
74,98.910
75,98.897
76.2,98.877
77.5,98.852
78.8,98.825
80,98.801
81.2,98.782
82.5,98.773
83.8,98.779
85,98.790
86.2,98.798
87.5,98.803
88.5,98.805
90,98.807
91.2,98.810
92.5,98.817
93.8,98.830
95,98.849
96.2,98.870
97.5,98.888
98.8,98.906
100,98.928
101.5,98.963
103,98.994
104.4,99.013
106,99.019
107.5,99.017
109,99.016
110.6,99.016
112,99.005
113.8,98.972
115,98.951
117.2,98.909
118,98.889
120.6,98.825
122,98.795
124.1,98.732
125,98.700
126.5,98.654
128,98.626
131.5,98.543
132,98.524
134,98.442
136,98.362
138,98.287
140,98.197
143,98.044
145,97.961
147.5,97.862
150,97.739
152.5,97.620
155,97.516
157.5,97.417
160,97.315
162.5,97.200
165,97.077
167.5,96.946
170,96.826
172.5,96.742
175,96.678
177.5,96.600
180,96.520
182.5,96.454
185,96.394
187.5,96.324
190,96.243
192.5,96.157
195,96.072
197.5,95.990
200,95.913
203,95.823
206,95.725
209,95.619
212,95.506
214,95.431
218,95.279
220,95.191
224,94.975
227,94.820
230,94.744
233,94.743
236,94.743
240,94.681
243,94.603
247,94.496
250,94.419
254,94.316
258,94.222
262,94.128
265,94.048
269,93.933
272,93.856
276,93.780
