frequency,raw
3,87.870
3.04,88.032
3.07,88.157
3.11,88.325
3.15,88.489
3.2,88.692
3.25,88.895
3.3,89.097
3.35,89.301
3.4,89.501
3.45,89.699
3.5,89.897
3.55,90.093
3.6,90.287
3.65,90.481
3.7,90.672
3.75,90.862
3.82,91.124
3.87,91.310
3.95,91.603
4,91.784
4.06,92.001
4.12,92.213
4.18,92.421
4.25,92.661
4.31,92.864
4.37,93.062
4.44,93.291
4.5,93.481
4.55,93.638
4.62,93.854
4.68,94.035
4.75,94.241
4.82,94.440
4.87,94.579
4.94,94.770
5,94.929
5.08,95.136
5.15,95.308
5.22,95.475
5.3,95.658
5.38,95.832
5.45,95.977
5.52,96.117
5.6,96.266
5.7,96.440
5.8,96.597
5.9,96.745
6,96.885
6.08,96.995
6.15,97.088
6.22,97.180
6.3,97.284
6.4,97.412
6.5,97.535
6.6,97.656
6.7,97.775
6.8,97.889
6.9,98.001
7,98.109
7.1,98.215
7.2,98.317
7.3,98.416
7.4,98.512
7.5,98.605
7.62,98.712
7.75,98.823
7.88,98.929
8,99.023
8.12,99.111
8.25,99.202
8.38,99.288
8.5,99.363
8.62,99.433
8.75,99.505
8.85,99.556
9,99.631
9.12,99.690
9.25,99.752
9.38,99.814
9.5,99.868
9.62,99.922
9.75,99.979
9.88,100.035
10,100.084
10.15,100.145
10.3,100.204
10.44,100.258
10.6,100.317
10.75,100.370
10.9,100.422
11.06,100.475
11.2,100.519
11.38,100.575
11.5,100.610
11.72,100.674
11.8,100.697
12.06,100.773
12.2,100.812
12.41,100.871
12.5,100.895
12.65,100.935
12.8,100.974
13.15,101.061
13.2,101.073
13.4,101.119
13.6,101.165
13.8,101.208
14,101.249
14.3,101.309
14.5,101.346
14.75,101.388
15,101.427
15.25,101.465
15.5,101.500
15.75,101.533
16,101.565
16.25,101.595
16.5,101.623
16.75,101.649
17,101.673
17.25,101.696
17.5,101.716
17.75,101.733
18,101.748
18.25,101.762
18.5,101.775
18.75,101.788
19,101.801
19.25,101.813
19.5,101.825
19.75,101.836
20,101.846
20.3,101.859
20.6,101.871
20.9,101.884
21.2,101.895
21.4,101.904
21.8,101.918
22,101.925
22.4,101.938
22.7,101.947
23,101.955
23.3,101.960
23.6,101.960
24,101.950
24.3,101.939
24.7,101.922
25,101.908
25.4,101.889
25.8,101.873
26.2,101.858
26.5,101.850
26.9,101.840
27.2,101.835
27.6,101.830
28,101.826
28.5,101.817
29,101.803
29.5,101.779
30,101.743
30.4,101.711
30.7,101.686
31.1,101.651
31.5,101.616
32,101.571
32.5,101.523
33,101.476
33.5,101.427
34,101.379
34.5,101.331
35,101.287
35.5,101.246
36,101.211
36.5,101.180
37,101.150
37.5,101.125
38.2,101.096
38.7,101.083
39.5,101.072
40,101.066
40.6,101.052
41.2,101.020
41.8,100.970
42.5,100.903
43.1,100.846
43.7,100.788
44.4,100.724
45,100.671
45.5,100.627
46.2,100.566
46.8,100.507
47.5,100.422
48.2,100.322
48.7,100.246
49.4,100.138
50,100.046
50.8,99.924
51.5,99.821
52.2,99.733
53,99.666
53.8,99.636
54.5,99.626
55.2,99.618
56,99.605
57,99.586
58,99.561
59,99.512
60,99.441
60.8,99.377
61.5,99.319
62.2,99.260
63,99.191
64,99.106
65,99.032
66,98.974
67,98.930
68,98.900
69,98.882
70,98.867
71,98.856
72,98.850
73,98.843
74,98.828
75,98.808
76.2,98.787
77.5,98.778
78.8,98.776
80,98.777
81.2,98.778
82.5,98.769
83.8,98.750
85,98.739
86.2,98.740
87.5,98.748
88.5,98.753
90,98.759
91.2,98.772
92.5,98.796
93.8,98.822
95,98.842
96.2,98.862
97.5,98.888
98.8,98.921
100,98.952
101.5,98.986
103,99.010
104.4,99.019
106,99.015
107.5,99.001
109,98.996
110.6,98.998
112,98.981
113.8,98.933
115,98.899
117.2,98.834
118,98.806
120.6,98.734
122,98.715
124.1,98.666
125,98.631
126.5,98.565
128,98.504
131.5,98.375
132,98.356
134,98.278
136,98.204
138,98.132
140,98.053
143,97.903
145,97.796
147.5,97.677
150,97.561
152.5,97.431
155,97.288
157.5,97.151
160,97.031
162.5,96.924
165,96.831
167.5,96.741
170,96.654
172.5,96.582
175,96.525
177.5,96.477
180,96.425
182.5,96.361
185,96.288
187.5,96.220
190,96.153
192.5,96.076
195,95.985
197.5,95.883
200,95.788
203,95.683
206,95.588
209,95.500
212,95.404
214,95.335
218,95.184
220,95.097
224,94.898
227,94.755
230,94.668
233,94.641
236,94.624
240,94.575
243,94.517
247,94.416
250,94.338
254,94.243
258,94.156
262,94.075
265,94.010
269,93.919
272,93.856
276,93.775
280,93.692
285,93.600
290,93.513
295,93.427
300,93.334
304,93.256
307,93.202
311,93.130
315,93.053
320,92.958
325,92.877
330,92.812
335,92.760
340,92.720
345,92.706
350,92.717
355,92.738
360,92.776
365,92.844
370,92.929
375,93.021
382,93.156
387,93.249
395,93.389
400,93.466
406,93.545
412,93.620
418,93.693
425,93.763
431,93.813
437,93.862
