frequency,raw
3,87.700
3.04,87.867
3.07,87.995
3.11,88.166
3.15,88.336
3.2,88.546
3.25,88.754
3.3,88.962
3.35,89.172
3.4,89.377
3.45,89.582
3.5,89.785
3.55,89.987
3.6,90.188
3.65,90.388
3.7,90.584
3.75,90.779
3.82,91.049
3.87,91.242
3.95,91.544
4,91.730
4.06,91.953
4.12,92.171
4.18,92.386
4.25,92.632
4.31,92.841
4.37,93.046
4.44,93.281
4.5,93.477
4.55,93.638
4.62,93.859
4.68,94.046
4.75,94.257
4.82,94.462
4.87,94.604
4.94,94.800
5,94.963
5.08,95.172
5.15,95.349
5.22,95.519
5.3,95.705
5.38,95.881
5.45,96.029
5.52,96.169
5.6,96.319
5.7,96.494
5.8,96.651
5.9,96.797
6,96.936
6.08,97.044
6.15,97.137
6.22,97.228
6.3,97.332
6.4,97.459
6.5,97.581
6.6,97.701
6.7,97.820
6.8,97.933
6.9,98.044
7,98.153
7.1,98.258
7.2,98.361
7.3,98.460
7.4,98.558
7.5,98.651
7.62,98.761
7.75,98.873
7.88,98.981
8,99.076
8.12,99.166
8.25,99.260
8.38,99.349
8.5,99.427
8.62,99.500
8.75,99.576
8.85,99.634
9,99.722
9.12,99.790
9.25,99.863
9.38,99.934
9.5,99.997
9.62,100.059
9.75,100.125
9.88,100.188
10,100.244
10.15,100.314
10.3,100.380
10.44,100.439
10.6,100.505
10.75,100.563
10.9,100.619
11.06,100.677
11.2,100.724
11.38,100.781
11.5,100.819
11.72,100.881
11.8,100.901
12.06,100.965
12.2,100.998
12.41,101.046
12.5,101.066
12.65,101.099
12.8,101.132
13.15,101.204
13.2,101.214
13.4,101.253
13.6,101.291
13.8,101.328
14,101.363
14.3,101.412
14.5,101.445
14.75,101.485
15,101.526
15.25,101.566
15.5,101.605
15.75,101.641
16,101.677
16.25,101.710
16.5,101.743
16.75,101.773
17,101.803
17.25,101.830
17.5,101.854
17.75,101.874
18,101.889
18.25,101.904
18.5,101.917
18.75,101.931
19,101.944
19.25,101.956
19.5,101.968
19.75,101.978
20,101.988
20.3,101.999
20.6,102.012
20.9,102.024
21.2,102.035
21.4,102.043
21.8,102.057
22,102.064
22.4,102.075
22.7,102.083
23,102.090
23.3,102.096
23.6,102.098
24,102.097
24.3,102.095
24.7,102.088
25,102.083
25.4,102.072
25.8,102.059
26.2,102.045
26.5,102.031
26.9,102.010
27.2,101.993
27.6,101.968
28,101.941
28.5,101.909
29,101.876
29.5,101.843
30,101.811
30.4,101.785
30.7,101.766
31.1,101.740
31.5,101.715
32,101.681
32.5,101.644
33,101.603
33.5,101.560
34,101.517
34.5,101.475
35,101.439
35.5,101.410
36,101.389
36.5,101.372
37,101.358
37.5,101.344
38.2,101.322
38.7,101.305
39.5,101.273
40,101.254
40.6,101.231
41.2,101.208
41.8,101.184
42.5,101.155
43.1,101.130
43.7,101.103
44.4,101.069
45,101.038
45.5,101.011
46.2,100.965
46.8,100.909
47.5,100.821
48.2,100.719
48.7,100.643
49.4,100.536
50,100.443
50.8,100.319
51.5,100.210
52.2,100.102
53,99.993
53.8,99.897
54.5,99.826
55.2,99.767
56,99.731
57,99.732
58,99.739
59,99.710
60,99.638
60.8,99.569
61.5,99.505
62.2,99.440
63,99.365
64,99.274
65,99.190
66,99.112
67,99.040
68,98.973
69,98.911
70,98.859
71,98.823
72,98.800
73,98.778
74,98.749
75,98.718
76.2,98.697
77.5,98.712
78.8,98.731
80,98.712
81.2,98.670
82.5,98.643
83.8,98.645
85,98.660
86.2,98.675
87.5,98.694
88.5,98.708
90,98.731
91.2,98.745
92.5,98.755
93.8,98.760
95,98.758
96.2,98.755
97.5,98.753
98.8,98.759
100,98.774
101.5,98.807
103,98.845
104.4,98.877
106,98.906
107.5,98.922
109,98.923
110.6,98.905
112,98.871
113.8,98.820
115,98.796
117.2,98.772
118,98.766
120.6,98.718
122,98.673
124.1,98.607
125,98.581
126.5,98.528
128,98.463
131.5,98.337
132,98.320
134,98.232
136,98.111
138,97.994
140,97.914
143,97.797
145,97.700
147.5,97.579
150,97.470
152.5,97.356
155,97.224
157.5,97.075
160,96.936
162.5,96.816
165,96.697
167.5,96.590
170,96.516
172.5,96.469
175,96.428
177.5,96.380
180,96.322
182.5,96.255
185,96.190
187.5,96.124
190,96.043
192.5,95.959
195,95.877
197.5,95.791
200,95.706
203,95.607
206,95.503
209,95.395
212,95.298
214,95.239
218,95.117
220,95.037
224,94.823
227,94.662
230,94.577
233,94.584
236,94.612
240,94.584
243,94.530
247,94.456
250,94.393
254,94.304
258,94.222
262,94.144
265,94.078
269,93.981
272,93.916
276,93.844
280,93.778
285,93.695
290,93.606
295,93.533
300,93.468
304,93.416
307,93.382
311,93.338
315,93.275
320,93.197
325,93.148
330,93.107
335,93.061
340,93.019
345,92.990
350,92.976
355,92.970
360,92.973
365,92.999
370,93.058
375,93.127
382,93.226
387,93.299
395,93.425
400,93.516
406,93.621
412,93.718
418,93.813
425,93.919
431,93.995
437,94.062
444,94.137
450,94.196
455,94.239
462,94.293
468,94.330
475,94.374
482,94.419
487,94.450
494,94.483
500,94.509
508,94.543
515,94.574
522,94.607
530,94.642
538,94.680
545,94.721
552,94.759
560,94.798
570,94.857
580,94.929
590,95.000
600,95.070
608,95.133
615,95.197
622,95.273
630,95.370
640,95.441
650,95.311
660,94.916
670,94.511
680,94.350
690,94.361
700,94.403
710,94.439
720,94.480
730,94.524
740,94.569
750,94.617
762,94.667
775,94.698
788,94.714
800,94.725
812,94.737
825,94.745
838,94.748
850,94.748
862,94.741
875,94.726
885,94.712
900,94.689
912,94.673
925,94.653
938,94.630
950,94.611
962,94.597
975,94.591
988,94.600
1000,94.626
1015,94.705
1030,94.865
1044,95.081
1060,95.380
1075,95.673
1090,95.933
1106,96.148
1120,96.285
1138,96.404
1150,96.467
1172,96.572
1180,96.608
1206,96.712
1220,96.764
1241,96.834
1250,96.852
1265,96.869
1280,96.876
1315,96.984
1320,97.011
1340,97.112
1360,97.200
1380,97.298
1400,97.412
1430,97.586
1450,97.705
1475,97.873
1500,98.075
1525,98.303
1550,98.507
1575,98.674
1600,98.829
1625,98.980
1650,99.124
1675,99.267
1700,99.412
1725,99.553
1750,99.691
1775,99.816
1800,99.922
1825,100.030
1850,100.161
1875,100.278
1900,100.349
1925,100.403
1950,100.486
1975,100.583
2000,100.651
2030,100.657
2060,100.592
2090,100.508
2120,100.477
2140,100.513
2180,100.727
2200,100.869
2240,101.142
2270,101.331
2300,101.528
2330,101.739
2360,101.954
2400,102.219
2430,102.395
2470,102.612
2500,102.780
2540,103.017
2580,103.242
2620,103.447
2650,103.596
2690,103.784
2720,103.912
2760,104.049
2800,104.148
2850,104.233
2900,104.296
2950,104.320
3000,104.299
3040,104.258
3070,104.218
3110,104.148
3150,104.060
3200,103.912
3250,103.706
3300,103.452
3350,103.171
3400,102.885
3450,102.589
3500,102.276
3550,101.953
3600,101.652
3650,101.403
3700,101.208
3750,101.050
3820,100.882
3870,100.806
3950,100.765
4000,100.761
4060,100.740
4120,100.695
4180,100.637
4250,100.562
4310,100.504
4370,100.475
4440,100.487
4500,100.523
4550,100.575
4620,100.689
4680,100.822
4750,101.013
4820,101.258
4870,101.476
4940,101.843
5000,102.207
5080,102.749
5150,103.260
5220,103.774
5300,104.308
5380,104.745
5450,105.034
5520,105.208
5600,105.216
5700,104.873
5800,104.171
5900,103.264
6000,102.333
6080,101.680
6150,101.234
6220,100.911
6300,100.656
6400,100.422
6500,100.219
6600,99.981
6700,99.606
6800,98.888
6900,97.640
7000,96.387
7100,96.463
7200,97.805
7300,99.214
7400,100.396
7500,101.431
7620,102.513
7750,103.441
7880,104.006
8000,104.078
8120,103.681
8250,102.811
8380,101.644
8500,100.448
8620,99.233
8750,97.906
8850,96.876
9000,95.498
9120,94.918
9250,95.062
9380,95.804
9500,96.709
9620,97.588
9750,98.302
9880,98.631
10000,98.594
10150,98.303
10300,98.091
10440,98.111
10600,98.310
10750,98.557
10900,98.809
11060,98.945
11200,98.713
11380,97.587
11500,96.191
11720,92.307
11800,90.642
12060,87.822
12200,87.766
12410,87.680
12500,87.844
12650,88.507
12800,89.484
13150,91.660
13200,91.916
13400,92.867
13600,93.338
13800,92.943
14000,92.364
14300,92.989
14500,95.841
14750,99.728
15000,101.273
15250,100.890
15500,99.175
15750,95.954
16000,91.809
16250,90.534
16500,91.943
16750,92.951
17000,92.418
17250,89.806
17500,85.280
17750,81.853
18000,82.139
18250,84.581
18500,87.677
18750,89.510
19000,89.588
19250,88.096
19500,86.059
19750,85.245
20000,84.917
20300,84.136
20600,82.286
20900,79.047
21200,75.553
21400,73.863
21800,70.222
22000,68.177
22400,67.800
22700,67.834
23000,67.354
23300,65.322
23600,61.790
