frequency,raw
3,88.076
3.04,88.239
3.07,88.364
3.11,88.531
3.15,88.696
3.2,88.900
3.25,89.103
3.3,89.306
3.35,89.511
3.4,89.712
3.45,89.911
3.5,90.109
3.55,90.306
3.6,90.501
3.65,90.697
3.7,90.889
3.75,91.079
3.82,91.343
3.87,91.529
3.95,91.825
4,92.005
4.06,92.223
4.12,92.436
4.18,92.645
4.25,92.886
4.31,93.090
4.37,93.289
4.44,93.517
4.5,93.709
4.55,93.866
4.62,94.082
4.68,94.263
4.75,94.468
4.82,94.667
4.87,94.806
4.94,94.997
5,95.155
5.08,95.359
5.15,95.531
5.22,95.696
5.3,95.876
5.38,96.048
5.45,96.191
5.52,96.327
5.6,96.472
5.7,96.641
5.8,96.793
5.9,96.933
6,97.066
6.08,97.171
6.15,97.261
6.22,97.349
6.3,97.448
6.4,97.570
6.5,97.688
6.6,97.804
6.7,97.918
6.8,98.028
6.9,98.135
7,98.239
7.1,98.341
7.2,98.440
7.3,98.536
7.4,98.630
7.5,98.721
7.62,98.826
7.75,98.934
7.88,99.038
8,99.131
8.12,99.219
8.25,99.309
8.38,99.395
8.5,99.471
8.62,99.542
8.75,99.615
8.85,99.671
9,99.755
9.12,99.820
9.25,99.890
9.38,99.957
9.5,100.019
9.62,100.078
9.75,100.141
9.88,100.203
10,100.258
10.15,100.326
10.3,100.391
10.44,100.450
10.6,100.514
10.75,100.573
10.9,100.630
11.06,100.688
11.2,100.736
11.38,100.797
11.5,100.834
11.72,100.901
11.8,100.925
12.06,101.002
12.2,101.043
12.41,101.101
12.5,101.126
12.65,101.166
12.8,101.204
13.15,101.291
13.2,101.303
13.4,101.349
13.6,101.394
13.8,101.437
14,101.477
14.3,101.536
14.5,101.572
14.75,101.613
15,101.648
15.25,101.683
15.5,101.715
15.75,101.748
16,101.779
16.25,101.809
16.5,101.838
16.75,101.867
17,101.895
17.25,101.922
17.5,101.946
17.75,101.966
18,101.982
18.25,101.996
18.5,102.009
18.75,102.022
19,102.034
19.25,102.047
19.5,102.060
19.75,102.073
20,102.087
20.3,102.102
20.6,102.117
20.9,102.126
21.2,102.136
21.4,102.142
21.8,102.153
22,102.158
22.4,102.169
22.7,102.178
23,102.187
23.3,102.194
23.6,102.198
24,102.201
24.3,102.201
24.7,102.203
25,102.204
25.4,102.203
25.8,102.201
26.2,102.191
26.5,102.178
26.9,102.150
27.2,102.126
27.6,102.090
28,102.053
28.5,102.008
29,101.969
29.5,101.936
30,101.906
30.4,101.884
30.7,101.868
31.1,101.847
31.5,101.828
32,101.806
32.5,101.784
33,101.766
33.5,101.750
34,101.735
34.5,101.719
35,101.694
35.5,101.653
36,101.595
36.5,101.530
37,101.465
37.5,101.402
38.2,101.328
38.7,101.288
39.5,101.239
40,101.209
40.6,101.167
41.2,101.112
41.8,101.043
42.5,100.952
43.1,100.871
43.7,100.792
44.4,100.704
45,100.629
45.5,100.566
46.2,100.477
46.8,100.408
47.5,100.337
48.2,100.272
48.7,100.224
49.4,100.156
50,100.096
50.8,100.012
51.5,99.938
52.2,99.862
53,99.777
53.8,99.693
54.5,99.621
55.2,99.559
56,99.515
57,99.502
58,99.499
59,99.468
60,99.406
60.8,99.356
61.5,99.329
62.2,99.322
63,99.332
64,99.347
65,99.360
66,99.369
67,99.374
68,99.373
69,99.369
70,99.371
71,99.397
72,99.441
73,99.478
74,99.488
75,99.480
76.2,99.481
77.5,99.517
78.8,99.561
80,99.584
81.2,99.594
82.5,99.608
83.8,99.625
85,99.629
86.2,99.611
87.5,99.575
88.5,99.544
90,99.499
91.2,99.458
92.5,99.406
93.8,99.349
95,99.295
96.2,99.243
97.5,99.196
98.8,99.153
100,99.106
101.5,99.035
103,98.959
104.4,98.892
106,98.813
107.5,98.743
109,98.701
110.6,98.681
112,98.652
113.8,98.588
115,98.549
117.2,98.486
118,98.460
120.6,98.358
122,98.303
124.1,98.236
125,98.215
126.5,98.184
128,98.148
131.5,98.008
132,97.995
134,97.965
136,97.920
138,97.855
140,97.816
143,97.779
145,97.742
147.5,97.650
150,97.534
152.5,97.451
155,97.382
157.5,97.303
160,97.221
162.5,97.142
165,97.071
167.5,96.991
170,96.901
172.5,96.808
175,96.704
177.5,96.598
180,96.501
182.5,96.409
185,96.323
187.5,96.236
190,96.149
192.5,96.059
195,95.965
197.5,95.870
200,95.778
203,95.667
206,95.566
209,95.466
212,95.352
214,95.266
218,95.066
220,94.947
224,94.734
227,94.684
230,94.709
233,94.719
236,94.684
240,94.602
243,94.531
247,94.439
250,94.368
254,94.261
258,94.169
262,94.085
265,94.011
269,93.911
272,93.847
276,93.770
280,93.694
285,93.591
290,93.475
295,93.382
300,93.305
304,93.228
307,93.160
311,93.077
315,93.007
320,92.935
325,92.880
330,92.830
335,92.786
340,92.762
345,92.745
350,92.731
355,92.743
360,92.783
365,92.835
370,92.894
375,92.960
382,93.054
387,93.108
395,93.206
400,93.281
406,93.368
412,93.454
418,93.537
425,93.629
431,93.698
437,93.763
444,93.839
450,93.904
455,93.958
462,94.023
468,94.072
475,94.135
482,94.200
487,94.240
494,94.293
500,94.344
508,94.419
515,94.485
522,94.550
530,94.624
538,94.701
545,94.767
552,94.828
560,94.896
570,94.977
580,95.046
590,95.112
600,95.179
608,95.233
615,95.284
622,95.345
630,95.410
640,95.428
650,95.299
660,95.068
670,94.878
680,94.753
690,94.666
700,94.632
710,94.650
720,94.697
730,94.753
740,94.811
750,94.861
762,94.904
775,94.938
788,94.957
800,94.969
812,94.971
825,94.972
838,94.968
850,94.958
862,94.948
875,94.936
885,94.922
900,94.894
912,94.873
925,94.850
938,94.827
950,94.815
962,94.808
975,94.799
988,94.795
1000,94.816
1015,94.899
1030,95.052
1044,95.255
1060,95.555
1075,95.861
1090,96.125
1106,96.345
1120,96.487
1138,96.610
1150,96.674
1172,96.767
1180,96.791
1206,96.867
1220,96.923
1241,97.004
1250,97.026
1265,97.044
1280,97.054
1315,97.162
1320,97.188
1340,97.281
1360,97.365
1380,97.462
1400,97.572
1430,97.737
1450,97.854
1475,98.025
1500,98.245
1525,98.509
1550,98.745
1575,98.920
1600,99.059
1625,99.192
1650,99.334
1675,99.483
1700,99.635
1725,99.784
1750,99.927
1775,100.055
1800,100.174
1825,100.309
1850,100.465
1875,100.599
1900,100.679
1925,100.762
1950,100.884
1975,101.011
2000,101.101
2030,101.130
2060,101.103
2090,101.072
2120,101.094
2140,101.163
2180,101.445
2200,101.625
2240,101.965
2270,102.188
2300,102.404
2330,102.625
2360,102.841
2400,103.094
2430,103.261
2470,103.472
2500,103.637
2540,103.856
2580,104.054
2620,104.236
2650,104.367
2690,104.532
2720,104.642
2760,104.760
2800,104.840
2850,104.891
2900,104.881
2950,104.816
3000,104.719
3040,104.623
3070,104.543
3110,104.428
3150,104.293
3200,104.075
3250,103.799
3300,103.492
3350,103.174
3400,102.847
3450,102.492
3500,102.111
3550,101.744
3600,101.451
3650,101.254
3700,101.136
3750,101.070
3820,101.045
3870,101.066
3950,101.143
4000,101.188
4060,101.203
4120,101.162
4180,101.079
4250,100.951
4310,100.840
4370,100.757
4440,100.716
4500,100.717
4550,100.739
4620,100.814
4680,100.919
4750,101.078
4820,101.266
4870,101.420
4940,101.672
5000,101.916
5080,102.262
5150,102.572
5220,102.882
5300,103.231
5380,103.583
5450,103.929
5520,104.326
5600,104.809
5700,105.327
5800,105.571
5900,105.463
6000,105.084
6080,104.721
6150,104.469
6220,104.323
6300,104.269
6400,104.270
6500,104.233
6600,104.058
6700,103.677
6800,102.994
6900,101.897
7000,100.572
7100,99.686
7200,99.673
7300,100.183
7400,100.861
7500,101.612
7620,102.546
7750,103.488
7880,104.209
8000,104.528
8120,104.448
8250,103.964
8380,103.193
8500,102.335
8620,101.376
8750,100.232
8850,99.296
9000,97.763
9120,96.310
9250,94.529
9380,93.025
9500,92.635
9620,93.484
9750,95.241
9880,97.084
10000,98.440
10150,99.413
10300,99.564
10440,99.082
10600,97.953
10750,96.514
10900,95.043
11060,93.472
11200,91.916
11380,91.197
11500,91.680
11720,92.518
11800,92.662
12060,92.703
12200,92.749
12410,93.276
12500,93.686
12650,94.615
12800,95.674
13150,96.992
13200,97.038
13400,97.049
13600,96.734
13800,95.870
14000,94.522
14300,92.514
14500,90.875
14750,89.281
15000,89.806
15250,92.910
15500,94.878
15750,94.210
16000,92.042
16250,90.659
16500,90.775
16750,91.427
17000,92.210
17250,92.582
17500,91.941
17750,90.304
18000,87.921
18250,85.311
18500,83.857
18750,84.636
19000,84.934
19250,84.285
19500,84.106
19750,84.120
20000,83.762
20300,82.873
20600,82.014
20900,81.752
21200,81.317
21400,80.650
21800,78.549
22000,77.483
22400,74.809
22700,70.642
23000,64.261
23300,57.913
23600,54.932
