frequency,raw
20.56,-0.60
21.13,-0.27
21.71,0.06
22.32,0.39
22.96,0.69
23.60,0.96
24.26,1.23
24.93,1.53
25.62,1.77
26.33,2.01
27.07,2.25
27.82,2.49
28.59,2.73
29.42,2.97
30.24,3.21
31.07,3.45
31.94,3.66
32.82,3.87
33.74,4.08
34.67,4.26
35.64,4.44
36.63,4.59
37.64,4.71
38.73,4.86
39.81,5.04
40.92,5.25
42.05,5.43
43.22,5.61
44.42,5.79
45.65,5.97
46.92,6.18
48.22,6.36
49.62,6.51
51.00,6.66
52.42,6.78
53.87,6.93
55.37,7.05
56.91,7.17
58.49,7.26
60.11,7.32
61.78,7.35
63.57,7.38
65.34,7.35
67.15,7.32
69.02,7.20
70.93,7.08
72.90,6.87
74.93,6.60
77.01,6.33
79.15,6.03
81.35,5.73
83.71,5.49
86.03,5.25
88.42,5.13
90.87,5.10
93.40,5.16
95.99,5.28
98.66,5.46
101.40,5.67
104.21,5.88
107.24,6.06
110.21,6.21
113.27,6.33
116.42,6.39
119.65,6.45
122.98,6.45
126.39,6.48
129.90,6.48
133.51,6.48
137.38,6.51
141.20,6.51
145.12,6.51
149.15,6.54
153.29,6.51
157.55,6.48
161.92,6.42
166.42,6.33
171.04,6.24
175.79,6.12
180.89,6.00
185.91,5.91
191.07,5.85
196.38,5.79
201.83,5.70
207.44,5.61
213.20,5.52
219.12,5.37
225.21,5.19
231.74,4.95
238.17,4.62
244.79,4.26
251.59,3.90
258.57,3.54
265.75,3.21
273.13,2.85
280.72,2.49
288.51,2.10
296.88,1.74
305.13,1.38
313.60,1.02
322.31,0.66
331.26,0.33
340.46,0.03
349.91,-0.24
359.63,-0.45
369.62,-0.66
380.34,-0.78
390.90,-0.90
401.75,-0.96
412.91,-1.02
424.38,-1.08
436.16,-1.08
448.28,-1.08
460.73,-1.05
473.52,-1.02
486.67,-0.96
500.78,-0.90
514.69,-0.84
528.99,-0.75
543.68,-0.69
558.77,-0.60
574.29,-0.54
590.24,-0.48
606.63,-0.39
623.48,-0.33
641.56,-0.27
659.38,-0.21
677.69,-0.15
696.51,-0.09
715.85,-0.06
735.73,-0.03
756.16,0.00
777.16,0.00
798.75,0.03
821.91,0.03
844.73,0.00
868.19,0.00
892.30,-0.03
917.08,-0.09
942.55,-0.12
968.73,-0.18
995.63,-0.27
1023.28,-0.36
1051.70,-0.48
1082.20,-0.57
1112.25,-0.72
1143.14,-0.87
1174.89,-1.05
1207.51,-1.26
1241.05,-1.47
1275.51,-1.71
1310.94,-1.98
1347.34,-2.22
1386.41,-2.49
1424.91,-2.76
1464.49,-3.03
1505.16,-3.27
1546.96,-3.51
1589.92,-3.72
1634.07,-3.93
1679.45,-4.14
1726.09,-4.29
1776.14,-4.38
1825.47,-4.44
1876.17,-4.41
1928.27,-4.38
1981.82,-4.26
2036.86,-4.11
2093.43,-3.93
2151.56,-3.72
2211.32,-3.45
2275.44,-3.12
2338.63,-2.76
2403.57,-2.40
2470.33,-2.04
2538.93,-1.71
2609.44,-1.50
2681.91,-1.38
2756.39,-1.35
2832.94,-1.38
2911.61,-1.47
2996.04,-1.62
3079.24,-1.80
3164.76,-2.07
3252.65,-2.34
3342.98,-2.64
3435.82,-2.94
3531.23,-3.30
3629.30,-3.78
3730.09,-4.44
3838.25,-5.22
3944.85,-6.12
4054.40,-7.11
4167.00,-8.22
4282.72,-9.33
4401.66,-10.05
4523.90,-9.39
4649.53,-7.08
4778.66,-4.59
4917.22,-2.73
5053.78,-1.38
5194.13,-0.39
5338.38,0.27
5486.63,0.60
5639.00,0.75
5795.61,0.93
5956.56,1.44
6121.98,2.49
6292.00,3.57
6474.44,4.26
6654.25,4.62
6839.05,4.68
7028.98,4.26
7224.18,4.02
7424.81,3.45
7631.00,2.28
7842.93,0.45
8060.74,-1.92
8294.47,-4.26
8524.82,-6.00
8761.57,-6.63
9004.89,-6.60
9254.97,-6.51
9511.99,-6.45
9776.15,-6.24
10047.65,-5.70
10326.69,-4.86
10626.12,-4.11
10921.23,-3.66
11224.52,-3.42
11536.25,-3.15
11856.62,-2.91
12185.90,-2.82
12524.32,-2.97
12872.14,-3.36
13229.62,-3.93
13597.02,-4.59
13991.28,-5.37
14379.84,-6.39
14779.19,-7.59
15189.63,-8.64
15611.47,-9.48
16045.02,-10.38
16490.62,-11.64
16948.58,-12.93
17419.27,-13.83
17924.37,-14.31
18422.15,-14.67
18933.76,-15.15
19459.58,-15.60
