frequency,raw
20.00,94.32
20.14,94.36
20.29,94.40
20.44,94.44
20.59,94.48
20.74,94.51
20.89,94.55
21.04,94.59
21.19,94.63
21.34,94.66
21.50,94.70
21.65,94.73
21.81,94.77
21.97,94.80
22.13,94.84
22.29,94.87
22.45,94.90
22.61,94.94
22.78,94.97
22.94,95.00
23.11,95.03
23.27,95.07
23.44,95.10
23.61,95.13
23.78,95.16
23.96,95.19
24.13,95.22
24.30,95.26
24.48,95.29
24.66,95.32
24.84,95.35
25.02,95.38
25.20,95.41
25.38,95.45
25.56,95.48
25.75,95.51
25.94,95.54
26.12,95.57
26.31,95.60
26.50,95.63
26.70,95.66
26.89,95.69
27.09,95.72
27.28,95.74
27.48,95.77
27.68,95.80
27.88,95.82
28.08,95.84
28.28,95.87
28.49,95.89
28.70,95.91
28.90,95.94
29.11,95.96
29.32,95.98
29.54,96.00
29.75,96.01
29.97,96.03
30.18,96.04
30.40,96.05
30.62,96.06
30.84,96.08
31.07,96.09
31.29,96.10
31.52,96.11
31.75,96.12
31.98,96.14
32.21,96.15
32.44,96.17
32.68,96.18
32.92,96.20
33.15,96.22
33.39,96.24
33.64,96.26
33.88,96.28
34.13,96.30
34.37,96.31
34.62,96.33
34.87,96.35
35.13,96.36
35.38,96.37
35.64,96.38
35.89,96.38
36.15,96.39
36.42,96.39
36.68,96.40
36.95,96.41
37.21,96.41
37.48,96.42
37.75,96.43
38.03,96.44
38.30,96.45
38.58,96.47
38.86,96.48
39.14,96.49
39.43,96.51
39.71,96.52
40.00,96.54
40.29,96.55
40.58,96.57
40.88,96.58
41.17,96.60
41.47,96.61
41.77,96.63
42.07,96.65
42.38,96.66
42.69,96.68
42.99,96.69
43.31,96.70
43.62,96.71
43.94,96.72
44.25,96.72
44.58,96.73
44.90,96.73
45.22,96.74
45.55,96.73
45.88,96.73
46.21,96.72
46.55,96.71
46.89,96.69
47.23,96.68
47.57,96.66
47.91,96.63
48.26,96.61
48.61,96.57
48.96,96.53
49.32,96.49
49.67,96.45
50.03,96.40
50.40,96.35
50.76,96.31
51.13,96.28
51.50,96.25
51.87,96.22
52.25,96.20
52.63,96.19
53.01,96.17
53.39,96.14
53.78,96.12
54.17,96.09
54.56,96.07
54.96,96.04
55.36,96.00
55.76,95.97
56.16,95.93
56.57,95.88
56.98,95.84
57.39,95.78
57.81,95.73
58.23,95.67
58.65,95.62
59.07,95.57
59.50,95.53
59.93,95.49
60.37,95.45
60.80,95.42
61.24,95.39
61.69,95.36
62.14,95.33
62.59,95.30
63.04,95.27
63.50,95.25
63.96,95.22
64.42,95.20
64.89,95.18
65.36,95.17
65.83,95.16
66.31,95.16
66.79,95.16
67.27,95.17
67.76,95.17
68.25,95.18
68.74,95.18
69.24,95.19
69.74,95.19
70.25,95.20
70.76,95.20
71.27,95.20
71.79,95.21
72.31,95.21
72.83,95.22
73.36,95.24
73.89,95.26
74.43,95.29
74.97,95.32
75.51,95.37
76.06,95.42
76.61,95.48
77.16,95.54
77.72,95.60
78.29,95.67
78.85,95.73
79.42,95.79
80.00,95.86
80.58,95.94
81.16,96.02
81.75,96.10
82.34,96.19
82.94,96.28
83.54,96.36
84.15,96.44
84.76,96.52
85.37,96.60
85.99,96.68
86.61,96.75
87.24,96.84
87.87,96.91
88.51,96.99
89.15,97.06
89.80,97.12
90.45,97.17
91.10,97.23
91.76,97.29
92.43,97.34
93.10,97.40
93.77,97.46
94.45,97.52
95.14,97.58
95.83,97.63
96.52,97.68
97.22,97.72
97.92,97.75
98.63,97.78
99.35,97.81
100.07,97.84
100.79,97.86
101.52,97.89
102.26,97.90
103.00,97.92
103.75,97.93
104.50,97.94
105.26,97.94
106.02,97.95
106.79,97.96
107.56,97.98
108.34,97.99
109.13,98.00
109.92,98.00
