frequency,raw
20,88.138
20.3,88.297
20.6,88.453
20.9,88.601
21.2,88.739
21.4,88.827
21.8,88.998
22,89.086
22.4,89.274
22.7,89.424
23,89.573
23.3,89.713
23.6,89.835
24,89.967
24.3,90.051
24.7,90.161
25,90.253
25.4,90.395
25.8,90.551
26.2,90.704
26.5,90.809
26.9,90.93
27.2,91.011
27.6,91.115
28,91.221
28.5,91.362
29,91.5
29.5,91.615
30,91.71
30.4,91.786
30.7,91.852
31.1,91.955
31.5,92.071
32,92.206
32.5,92.306
33,92.368
33.5,92.406
34,92.439
34.5,92.47
35,92.504
35.5,92.552
36,92.626
36.5,92.724
37,92.831
37.5,92.934
38.2,93.05
38.7,93.109
39.5,93.163
40,93.179
40.6,93.182
41.2,93.165
41.8,93.131
42.5,93.095
43.1,93.098
43.7,93.153
44.4,93.284
45,93.429
45.5,93.551
46.2,93.704
46.8,93.817
47.5,93.931
48.2,94.023
48.7,94.074
49.4,94.129
50,94.166
50.8,94.204
51.5,94.232
52.2,94.251
53,94.257
53.8,94.255
54.5,94.25
55.2,94.235
56,94.212
57,94.177
58,94.116
59,94.029
60,93.933
60.8,93.855
61.5,93.793
62.2,93.743
63,93.69
64,93.624
65,93.586
66,93.585
67,93.619
68,93.658
69,93.703
70,93.739
71,93.753
72,93.759
73,93.757
74,93.766
75,93.749
76.2,93.723
77.5,93.693
78.8,93.712
80,93.711
81.2,93.726
82.5,93.73
83.8,93.721
85,93.701
86.2,93.712
87.5,93.707
88.5,93.714
90,93.692
91.2,93.704
92.5,93.689
93.8,93.702
95,93.692
96.2,93.712
97.5,93.681
98.8,93.705
100,93.694
101.5,93.691
103,93.649
104.4,93.619
106,93.619
107.5,93.681
109,93.653
110.6,93.634
112,93.607
113.8,93.598
115,93.587
117.2,93.6
118,93.602
120.6,93.631
122,93.647
124.1,93.658
125,93.666
126.5,93.679
128,93.682
131.5,93.671
132,93.677
134,93.672
136,93.664
138,93.633
140,93.598
143,93.547
145,93.522
147.5,93.49
150,93.452
152.5,93.4
155,93.369
157.5,93.362
160,93.35
162.5,93.348
165,93.346
167.5,93.346
170,93.348
172.5,93.341
175,93.322
177.5,93.289
180,93.261
182.5,93.216
185,93.162
187.5,93.091
190,93.007
192.5,92.907
195,92.79
197.5,92.647
200,92.487
203,92.305
206,92.142
209,91.974
212,91.815
214,91.73
218,91.604
220,91.564
224,91.488
227,91.456
230,91.428
233,91.374
236,91.306
240,91.208
243,91.136
247,91.03
250,90.948
254,90.851
258,90.745
262,90.721
265,90.761
269,90.909
272,91.075
276,91.365
280,91.669
285,92.008
290,92.269
295,92.412
300,92.462
304,92.455
307,92.427
311,92.367
315,92.295
320,92.19
325,92.065
330,91.919
335,91.775
340,91.632
345,91.489
350,91.331
355,91.163
360,90.989
365,90.819
370,90.652
375,90.487
382,90.269
387,90.12
395,89.886
400,89.741
406,89.559
412,89.378
418,89.187
425,88.978
431,88.801
437,88.639
444,88.469
450,88.351
455,88.267
462,88.182
468,88.14
475,88.138
482,88.179
487,88.224
494,88.326
500,88.428
508,88.575
515,88.683
522,88.78
530,88.876
538,88.969
545,89.057
552,89.125
560,89.169
570,89.18
580,89.182
590,89.174
600,89.155
608,89.126
615,89.086
622,89.038
630,88.977
640,88.883
650,88.774
660,88.648
670,88.497
680,88.337
690,88.174
700,88.009
710,87.83
720,87.644
730,87.465
740,87.296
750,87.133
762,86.921
775,86.646
788,86.317
800,85.986
812,85.634
825,85.232
838,84.829
850,84.475
862,84.152
875,83.852
885,83.676
900,83.509
912,83.463
925,83.501
938,83.619
950,83.767
962,83.899
975,83.981
988,84.007
1000,84.005
1015,83.993
1030,84.002
1044,84.023
1060,84.051
1075,84.061
1090,84.047
1106,84.001
1120,83.942
1138,83.861
1150,83.807
1172,83.701
1180,83.659
1206,83.495
1220,83.381
1241,83.237
1250,83.215
1265,83.212
1280,83.2
1315,83.126
1320,83.114
1340,83.072
1360,83.047
1380,83.045
1400,83.066
1430,83.142
1450,83.214
1475,83.331
1500,83.46
1525,83.514
1550,83.465
1575,83.499
1600,83.66
1625,83.869
1650,84.076
1675,84.264
1700,84.441
1725,84.628
1750,84.846
1775,85.092
1800,85.357
1825,85.644
1850,85.956
1875,86.233
1900,86.471
1925,86.745
1950,87.047
1975,87.339
2000,87.611
2030,87.94
2060,88.283
2090,88.635
2120,88.996
2140,89.241
2180,89.736
2200,89.986
2240,90.491
2270,90.873
2300,91.251
2330,91.627
2360,92.002
2400,92.497
2430,92.859
2470,93.338
2500,93.687
2540,94.122
2580,94.513
2620,94.889
2650,95.182
2690,95.597
2720,95.919
2760,96.334
2800,96.716
2850,97.145
2900,97.519
2950,97.852
3000,98.129
3040,98.291
3070,98.385
3110,98.473
3150,98.488
3200,98.394
3250,98.294
3300,98.153
3350,97.918
3400,97.662
3450,97.355
3500,96.978
3550,96.568
3600,96.184
3650,95.751
3700,95.148
3750,94.353
3820,93.363
3870,92.771
3950,91.442
4000,90.512
4060,89.637
4120,88.838
4180,88.112
4250,87.343
4310,86.558
4370,85.606
4440,84.525
4500,83.965
4550,83.745
4620,83.775
4680,84.421
4750,85.858
4820,87.607
4870,88.997
4940,90.822
5000,92.367
5080,94.418
5150,95.536
5220,95.994
5300,96.235
5380,96.706
5450,97.256
5520,97.742
5600,98.304
5700,99.197
5800,100.317
5900,101.674
6000,102.957
6080,103.458
6150,103.279
6220,102.503
6300,101.076
6400,98.98
6500,97.037
6600,95.43
6700,94.159
6800,93.213
6900,92.524
7000,91.922
7100,91.273
7200,90.52
7300,89.681
7400,88.819
7500,87.942
7620,86.78
7750,85.147
7880,82.999
8000,80.673
8120,80.399
8250,81.554
8380,82.613
8500,84.228
8620,85.949
8750,86.87
8850,87.139
9000,87.456
9120,87.653
9250,87.984
9380,88.435
9500,88.647
9620,88.359
9750,87.621
9880,87.329
10000,87.647
10150,87.959
10300,87.839
10440,87.548
10600,87.34
10750,87.134
10900,86.594
11060,85.791
11200,86.061
11380,87.733
11500,88.131
11720,86.474
11800,85.503
12060,82.593
12200,81.505
12410,80.68
12500,80.575
12650,80.613
12800,80.896
13150,83.109
13200,83.301
13400,82.721
13600,80.338
13800,76.921
14000,73.479
14300,73.25
14500,73.623
14750,75.018
15000,76.997
15250,77.028
15500,75.456
15750,72.651
16000,69.829
16250,69.164
16500,70.896
16750,73.553
17000,75.067
17250,75.3
17500,75.091
17750,74.107
18000,71.604
18250,67.881
18500,65.966
18750,65.845
19000,66.006
19250,64.834
19500,63.509
19750,63.092
