frequency,raw
20,100.369
20.6,100.470
21.2,100.565
21.8,100.656
22.4,100.738
23,100.808
23.6,100.865
24.3,100.924
25,100.983
25.8,101.055
26.5,101.119
27.2,101.179
28,101.240
29,101.300
30,101.339
30.7,101.369
31.5,101.416
32.5,101.483
33.5,101.550
34.5,101.617
35.5,101.691
36.5,101.764
37.5,101.821
38.7,101.879
40,101.904
41.2,101.888
42.5,101.840
43.7,101.771
45,101.679
46.2,101.577
47.5,101.453
48.7,101.361
50,101.287
51.5,101.197
53,101.076
54.5,100.933
56,100.777
58,100.553
60,100.299
61.5,100.116
63,99.966
65,99.869
67,99.918
69,100.096
71,100.352
73,100.617
75,100.898
77.5,101.235
80,101.520
82.5,101.755
85,101.952
87.5,102.117
90,102.239
92.5,102.321
95,102.391
97.5,102.475
100,102.579
103,102.713
106,102.833
109,102.912
112,102.927
115,102.879
118,102.785
122,102.648
125,102.589
128,102.571
132,102.589
136,102.614
140,102.526
145,102.076
150,101.344
155,101.015
160,101.260
165,101.591
170,101.782
175,101.816
180,101.736
185,101.573
190,101.331
195,101.023
200,100.661
206,100.160
212,99.603
218,99.005
224,98.382
230,97.740
236,97.071
243,96.267
250,95.470
258,94.571
265,93.779
272,92.983
280,92.093
290,91.045
300,90.069
307,89.457
315,88.895
325,88.416
335,88.177
345,88.171
355,88.355
365,88.656
375,89.021
387,89.495
400,90.008
412,90.444
425,90.892
437,91.304
450,91.758
462,92.181
475,92.649
487,93.072
500,93.495
515,93.945
530,94.374
545,94.757
560,95.076
580,95.411
600,95.694
615,95.884
630,96.052
650,96.242
670,96.403
690,96.545
710,96.675
730,96.788
750,96.863
775,96.879
800,96.822
825,96.851
850,97.074
875,97.231
900,97.275
925,97.275
950,97.245
975,97.184
1000,97.123
1030,97.062
1060,97.004
1090,96.963
1120,96.948
1150,96.951
1180,96.965
1220,96.992
1250,97.018
1280,97.069
1320,97.098
1360,96.638
1400,96.173
1450,97.099
1500,98.484
1550,99.095
1600,99.302
1650,99.451
1700,99.664
1750,99.868
1800,100.048
1850,100.279
1900,100.610
1950,100.927
2000,101.183
2060,101.469
2120,101.820
2180,102.185
2240,102.515
2300,102.883
2360,103.368
2430,104.081
2500,104.757
2580,105.419
2650,106.037
2720,106.844
2800,107.940
2900,108.872
3000,109.343
3070,109.503
3150,109.526
3250,109.256
3350,108.575
3450,107.457
3550,106.144
3650,104.746
3750,102.885
3870,100.576
4000,100.159
4120,100.519
4250,100.669
4370,100.458
4500,100.489
4620,101.019
4750,101.943
4870,102.850
5000,103.625
5150,104.601
5300,105.488
5450,106.112
5600,106.450
5800,105.917
6000,104.175
6150,102.372
6300,100.466
6500,98.095
6700,95.739
6900,93.750
7100,92.598
7300,91.023
7500,88.005
7750,82.937
8000,79.573
8250,80.640
8500,82.445
8750,84.290
9000,89.112
9250,92.870
9500,93.626
9750,91.743
10000,88.219
10300,85.039
10600,87.672
10900,90.989
11200,91.436
11500,89.510
11800,89.412
12200,94.107
12500,97.334
12800,99.206
13200,99.308
13600,97.722
14000,94.313
14500,87.773
15000,81.613
15500,76.298
16000,74.679
16500,73.062
17000,74.770
17500,76.335
18000,77.483
18500,77.090
19000,75.541
19500,73.224
20000,71.192
