frequency,raw
20.6,94.386
21.2,94.292
21.8,94.260
22.4,94.277
23,94.301
23.6,94.306
24.3,94.314
25,94.367
25.8,94.423
26.5,94.393
27.2,94.319
28,94.266
29,94.221
30,94.154
30.7,94.191
31.5,94.269
32.5,94.225
33.5,94.115
34.5,94.088
35.5,94.088
36.5,94.028
37.5,93.968
38.7,93.946
40,93.928
41.2,93.924
42.5,93.839
43.7,93.810
45,93.668
46.2,93.557
47.5,93.523
48.7,93.523
50,93.489
51.5,93.459
53,93.308
54.5,93.204
56,93.086
58,92.998
60,92.868
61.5,92.808
63,92.697
65,92.481
67,92.367
69,92.212
71,92.090
73,91.909
75,91.692
77.5,91.462
80,91.333
82.5,91.357
85,91.400
87.5,91.544
90,91.770
92.5,92.140
95,92.421
97.5,92.673
100,92.866
103,93.008
106,93.143
109,93.262
112,93.322
115,93.373
118,93.423
122,93.445
125,93.469
128,93.430
132,93.396
136,93.328
140,93.267
145,93.243
150,93.296
155,93.314
160,93.201
165,93.105
170,93.029
175,92.903
180,92.821
185,92.666
190,92.498
195,92.236
200,91.971
206,91.617
212,91.300
218,90.970
224,90.594
230,90.118
236,89.876
243,89.376
250,88.862
258,88.249
265,87.722
272,87.186
280,86.525
290,85.689
300,84.943
307,84.415
315,83.969
325,83.407
335,83.007
345,83.118
355,83.049
365,83.090
375,83.239
387,83.469
400,83.877
412,84.149
425,84.486
437,84.741
450,85.078
462,85.440
475,85.844
487,86.132
500,86.477
515,86.746
530,87.046
545,87.313
560,87.540
580,87.741
600,88.002
615,88.173
630,88.304
650,88.386
670,88.573
690,88.803
710,89.061
730,89.198
750,89.310
775,89.464
800,89.582
825,89.762
850,89.853
875,89.990
900,90.222
925,90.494
950,90.691
975,90.779
1000,90.823
1030,90.828
1060,90.829
1090,90.859
1120,90.888
1150,90.871
1180,90.845
1220,90.847
1250,90.855
1280,90.861
1320,90.891
1360,90.941
1400,90.929
1450,90.838
1500,90.844
1550,91.512
1600,91.906
1650,92.111
1700,92.263
1750,92.382
1800,92.492
1850,92.603
1900,92.754
1950,92.895
2000,93.074
2060,93.328
2120,93.619
2180,93.984
2240,94.342
2300,94.654
2360,94.951
2430,95.355
2500,95.842
2580,96.244
2650,96.532
2720,96.819
2800,97.022
2900,97.078
3000,97.050
3070,97.136
3150,97.011
3250,96.393
3350,95.352
3450,94.094
3550,92.727
3650,91.263
3750,89.642
3870,87.717
4000,85.680
4120,83.916
4250,82.739
4370,83.766
4500,87.300
4620,90.320
4750,91.879
4870,91.800
5000,91.237
5150,90.597
5300,90.147
5450,89.764
5600,89.406
5800,88.352
6000,86.078
6150,83.619
6300,81.242
6500,78.368
6700,75.671
6900,72.138
7100,70.440
7300,68.692
7500,73.154
7750,80.299
8000,85.733
8250,88.317
8500,87.039
8750,86.012
9000,86.274
9250,86.530
9500,85.851
9750,84.507
10000,82.469
10300,79.612
10600,76.494
10900,74.258
11200,75.167
11500,74.838
11800,73.301
12200,72.556
12500,71.612
12800,71.828
13200,74.061
13600,74.002
14000,72.212
14500,70.297
15000,68.704
15500,64.992
16000,70.880
16500,71.596
17000,70.824
17500,68.902
18000,68.609
18500,70.224
19000,71.382
19500,70.007
