frequency,raw
20.00,86.901
20.29,87.378
20.59,87.722
20.88,87.846
21.19,87.741
21.50,87.476
21.81,87.182
22.12,87.028
22.45,86.991
22.77,87.111
23.10,87.272
23.44,87.389
23.78,87.434
24.12,87.448
24.47,87.491
24.83,87.607
25.19,87.834
25.56,88.087
25.93,88.277
26.30,88.340
26.69,88.261
27.07,88.140
27.47,88.089
27.87,88.177
28.27,88.396
28.68,88.636
29.10,88.826
29.52,88.917
29.95,88.930
30.38,88.956
30.83,89.073
31.27,89.259
31.73,89.446
32.19,89.569
32.66,89.610
33.13,89.610
33.61,89.644
34.10,89.750
34.60,89.896
35.10,90.026
35.61,90.129
36.13,90.228
36.65,90.338
37.18,90.440
37.72,90.506
38.27,90.547
38.83,90.583
39.39,90.631
39.96,90.687
40.54,90.773
41.13,90.910
41.73,91.059
42.34,91.149
42.95,91.199
43.57,91.280
44.21,91.418
44.85,91.525
45.50,91.564
46.16,91.617
46.83,91.752
47.51,91.874
48.20,91.892
48.90,91.905
49.61,91.988
50.33,92.098
51.07,92.178
51.81,92.229
52.56,92.277
53.32,92.334
54.10,92.399
54.88,92.465
55.68,92.539
56.49,92.633
57.31,92.726
58.14,92.799
58.99,92.856
59.84,92.911
60.71,92.957
61.60,92.994
62.49,93.014
63.40,93.044
64.32,93.099
65.25,93.162
66.20,93.205
67.16,93.245
68.14,93.291
69.13,93.341
70.13,93.378
71.15,93.413
72.18,93.469
73.23,93.503
74.30,93.501
75.38,93.482
76.47,93.474
77.58,93.499
78.71,93.530
79.85,93.554
81.01,93.566
82.19,93.558
83.38,93.534
84.59,93.499
85.82,93.460
87.07,93.448
88.33,93.452
89.62,93.435
90.92,93.395
92.24,93.353
93.58,93.329
94.94,93.315
96.32,93.278
97.72,93.224
99.14,93.192
100.58,93.190
102.04,93.189
103.52,93.163
105.02,93.120
106.55,93.086
108.10,93.065
109.67,93.042
111.26,93.008
112.87,92.978
114.51,92.960
116.18,92.943
117.87,92.918
119.58,92.869
121.31,92.816
123.08,92.762
