frequency,raw
20.30,72.531
20.60,72.597
20.90,72.656
21.20,72.715
21.40,72.754
21.80,72.831
22.00,72.870
22.40,72.946
22.70,73.004
23.00,73.061
23.30,73.118
23.60,73.171
24.00,73.231
24.30,73.268
24.70,73.316
25.00,73.355
25.40,73.417
25.80,73.493
26.20,73.570
26.50,73.620
26.90,73.675
27.20,73.707
27.60,73.744
28.00,73.787
28.50,73.850
29.00,73.916
29.50,73.970
30.00,74.009
30.40,74.036
30.70,74.058
31.10,74.088
31.50,74.120
32.00,74.154
32.50,74.181
33.00,74.202
33.50,74.218
34.00,74.236
34.50,74.257
35.00,74.276
35.50,74.291
36.00,74.298
36.50,74.297
37.00,74.296
37.50,74.295
38.20,74.297
38.70,74.298
39.50,74.296
40.00,74.290
40.60,74.281
41.20,74.271
41.80,74.265
42.50,74.261
43.10,74.254
43.70,74.240
44.40,74.225
45.00,74.221
45.50,74.222
46.20,74.231
46.80,74.243
47.50,74.260
48.20,74.268
48.70,74.266
49.40,74.255
50.00,74.242
50.80,74.215
51.50,74.183
52.20,74.147
53.00,74.094
53.80,74.038
54.50,73.995
55.20,73.944
56.00,73.872
57.00,73.796
58.00,73.739
59.00,73.677
60.00,73.636
60.80,73.620
61.50,73.611
62.20,73.617
63.00,73.644
64.00,73.684
65.00,73.723
66.00,73.763
67.00,73.803
68.00,73.842
69.00,73.882
70.00,73.921
71.00,73.961
72.00,74.011
73.00,74.070
74.00,74.136
75.00,74.207
76.20,74.295
77.50,74.389
78.80,74.475
80.00,74.549
81.20,74.614
82.50,74.677
83.80,74.731
85.00,74.772
86.20,74.806
87.50,74.837
88.50,74.851
90.00,74.876
91.20,74.890
92.50,74.904
93.80,74.920
95.00,74.936
96.20,74.951
97.50,74.962
98.80,74.969
100.00,74.971
101.50,74.981
103.00,74.992
104.40,75.006
106.00,75.027
107.50,75.044
109.00,75.061
110.60,75.074
112.00,75.081
113.80,75.083
115.00,75.076
117.20,75.060
118.00,75.052
120.60,75.014
122.00,74.992
124.10,74.954
125.00,74.938
126.50,74.909
128.00,74.879
131.50,74.802
132.00,74.789
134.00,74.741
136.00,74.689
138.00,74.636
140.00,74.581
143.00,74.491
145.00,74.433
147.50,74.361
150.00,74.294
152.50,74.229
155.00,74.161
157.50,74.090
160.00,74.019
162.50,73.942
165.00,73.864
167.50,73.775
170.00,73.680
172.50,73.608
175.00,73.567
177.50,73.511
180.00,73.451
182.50,73.391
185.00,73.334
187.50,73.276
190.00,73.219
192.50,73.162
195.00,73.109
197.50,73.055
200.00,73.005
203.00,72.944
206.00,72.889
209.00,72.835
212.00,72.788
214.00,72.757
218.00,72.697
220.00,72.669
224.00,72.620
227.00,72.581
230.00,72.547
233.00,72.519
236.00,72.490
240.00,72.459
243.00,72.435
247.00,72.409
250.00,72.398
254.00,72.405
258.00,72.417
262.00,72.433
265.00,72.451
269.00,72.482
272.00,72.504
276.00,72.538
280.00,72.573
285.00,72.624
290.00,72.688
295.00,72.751
300.00,72.827
304.00,72.878
307.00,72.922
311.00,72.982
315.00,73.036
320.00,73.107
325.00,73.181
330.00,73.243
335.00,73.305
340.00,73.365
345.00,73.417
350.00,73.459
355.00,73.485
360.00,73.489
365.00,73.507
370.00,73.619
375.00,73.763
382.00,73.900
387.00,73.963
395.00,74.035
400.00,74.066
406.00,74.099
412.00,74.137
418.00,74.181
425.00,74.229
431.00,74.266
437.00,74.291
444.00,74.311
450.00,74.321
455.00,74.326
462.00,74.328
468.00,74.327
475.00,74.332
482.00,74.345
487.00,74.356
494.00,74.364
500.00,74.373
508.00,74.389
515.00,74.408
522.00,74.431
530.00,74.459
538.00,74.493
545.00,74.529
552.00,74.561
560.00,74.596
570.00,74.638
580.00,74.673
590.00,74.704
600.00,74.721
608.00,74.736
615.00,74.750
622.00,74.755
630.00,74.763
