frequency,raw
20.0000,103.1875
20.3000,103.2980
20.6000,103.3560
20.9000,103.3755
21.2000,103.3590
21.4000,103.3235
21.8000,103.2020
22.0000,103.1055
22.4000,102.8300
22.7000,102.5370
23.0000,102.1710
23.3000,101.7645
23.6000,101.3920
24.0000,101.1310
24.3000,101.1815
24.7000,101.4970
25.0000,101.7670
25.4000,101.9715
25.8000,101.8740
26.2000,101.5240
26.5000,101.2470
26.9000,101.1565
27.2000,101.4170
27.6000,102.0755
28.0000,102.8090
28.5000,103.5260
29.0000,103.9865
29.5000,104.3095
30.0000,104.5815
30.4000,104.7555
30.7000,104.8465
31.1000,104.9160
31.5000,104.9555
32.0000,105.0195
32.5000,105.1190
33.0000,105.2060
33.5000,105.2305
34.0000,105.1925
34.5000,105.1280
35.0000,105.0630
35.5000,104.9795
36.0000,104.8385
36.5000,104.6305
37.0000,104.4190
37.5000,104.3185
38.2000,104.4790
38.7000,104.7255
39.5000,105.0465
40.0000,105.1405
40.6000,105.1875
41.2000,105.2050
41.8000,105.2095
42.5000,105.2240
43.1000,105.2450
43.7000,105.2255
44.4000,105.1240
45.0000,105.0450
45.5000,105.0350
46.2000,105.0655
46.8000,105.0645
47.5000,105.0345
48.2000,105.0155
48.7000,104.9980
49.4000,104.9550
50.0000,104.9345
50.8000,104.9520
51.5000,104.9530
52.2000,104.9235
53.0000,104.9055
53.8000,104.9020
54.5000,104.8815
55.2000,104.8615
56.0000,104.8295
57.0000,104.7140
58.0000,104.6150
59.0000,104.5115
60.0000,104.4015
60.8000,104.3770
61.5000,104.3140
62.2000,104.2280
63.0000,104.2070
64.0000,104.1985
65.0000,104.1540
66.0000,104.2040
67.0000,104.1565
68.0000,104.1050
69.0000,104.0425
70.0000,103.8460
71.0000,103.7600
72.0000,103.6625
73.0000,103.5405
74.0000,103.3735
75.0000,103.2805
76.2000,103.3415
77.5000,103.2070
78.8000,103.1715
80.0000,103.1020
81.2000,102.9400
82.5000,102.7950
83.8000,102.6160
85.0000,102.4910
86.2000,102.4290
87.5000,102.3915
88.5000,102.3205
90.0000,102.3385
91.2000,102.2840
92.5000,102.2490
93.8000,102.0635
95.0000,102.0060
96.2000,101.8435
97.5000,101.7590
98.8000,101.6035
100.0000,101.5090
101.5000,101.3810
103.0000,101.2415
104.4000,101.0960
106.0000,100.9320
107.5000,100.7575
109.0000,100.6355
110.6000,100.4945
112.0000,100.3900
113.8000,100.1920
115.0000,100.0290
117.2000,99.8670
118.0000,99.8085
120.6000,99.5860
122.0000,99.4045
124.1000,99.2335
125.0000,99.1390
126.5000,98.9990
128.0000,98.8665
131.5000,98.5675
132.0000,98.5390
134.0000,98.3830
136.0000,98.2205
138.0000,98.0685
140.0000,97.9095
143.0000,97.6440
145.0000,97.5305
147.5000,97.2270
150.0000,97.0005
152.5000,96.7355
155.0000,96.4935
157.5000,96.2220
160.0000,95.9675
162.5000,95.7145
165.0000,95.5040
167.5000,95.2575
170.0000,95.0225
172.5000,94.7805
175.0000,94.5530
177.5000,94.3180
180.0000,94.0520
182.5000,93.7600
185.0000,93.4715
187.5000,93.1675
190.0000,92.8975
192.5000,92.6215
195.0000,92.3060
197.5000,92.0605
200.0000,91.8065
203.0000,91.6345
206.0000,91.4965
209.0000,91.4055
212.0000,91.2280
214.0000,91.1465
218.0000,90.9585
220.0000,90.9565
224.0000,90.9680
227.0000,91.0090
230.0000,91.1340
233.0000,91.1850
236.0000,91.1470
240.0000,91.0575
243.0000,90.9690
247.0000,90.9065
250.0000,90.7805
254.0000,90.5550
258.0000,90.2845
262.0000,89.9255
265.0000,89.5995
269.0000,89.1710
272.0000,88.7035
276.0000,88.2105
280.0000,88.0200
285.0000,88.5565
290.0000,89.1700
295.0000,89.1770
300.0000,88.9995
304.0000,88.6635
307.0000,88.3010
311.0000,87.7395
315.0000,87.7475
320.0000,88.9640
325.0000,89.3320
330.0000,89.3265
335.0000,89.2755
340.0000,89.1630
345.0000,89.0875
350.0000,89.0775
355.0000,89.0355
360.0000,88.9660
365.0000,88.9275
370.0000,88.8850
375.0000,88.8715
382.0000,88.8400
387.0000,88.8395
395.0000,88.6680
400.0000,88.4820
406.0000,88.6195
412.0000,88.9590
418.0000,88.9405
425.0000,89.3010
431.0000,89.6335
437.0000,89.8350
444.0000,90.0020
450.0000,90.3330
455.0000,90.4560
462.0000,90.4610
468.0000,90.4965
475.0000,90.4130
482.0000,90.4910
487.0000,90.8080
494.0000,91.2735
500.0000,91.4320
508.0000,91.5540
515.0000,91.6680
522.0000,91.7475
530.0000,91.8120
538.0000,92.0015
545.0000,92.1210
552.0000,92.2895
560.0000,92.3335
570.0000,92.4490
580.0000,92.5600
590.0000,92.6305
600.0000,92.7450
608.0000,92.8655
615.0000,92.9470
622.0000,92.9660
630.0000,93.0340
640.0000,93.0635
650.0000,93.0920
660.0000,93.1875
670.0000,93.2640
680.0000,93.3485
690.0000,93.3715
700.0000,93.3955
710.0000,93.4170
720.0000,93.4255
730.0000,93.4070
740.0000,93.4265
750.0000,93.4240
762.0000,93.4485
775.0000,93.4460
788.0000,93.4515
800.0000,93.4305
812.0000,93.4090
825.0000,93.4225
838.0000,93.3845
850.0000,93.3820
862.0000,93.3445
875.0000,93.3000
885.0000,93.2710
900.0000,93.2285
912.0000,93.2340
925.0000,93.1585
938.0000,93.1725
950.0000,93.1300
962.0000,93.1425
975.0000,93.1225
988.0000,93.1205
1000.0000,93.1070
1015.0000,93.1025
1030.0000,93.0830
1044.0000,93.0860
1060.0000,93.0875
