frequency,raw
20.0000,92.1785
20.3000,92.3105
20.6000,92.4450
20.9000,92.5850
21.2000,92.7305
21.4000,92.8280
21.8000,93.0210
22.0000,93.1160
22.4000,93.3060
22.7000,93.4490
23.0000,93.5890
23.3000,93.7190
23.6000,93.8320
24.0000,93.9510
24.3000,94.0245
24.7000,94.1240
25.0000,94.2170
25.4000,94.3735
25.8000,94.5490
26.2000,94.7120
26.5000,94.8150
26.9000,94.9320
27.2000,95.0170
27.6000,95.1445
28.0000,95.2935
28.5000,95.4840
29.0000,95.6500
29.5000,95.7910
30.0000,95.9300
30.4000,96.0435
30.7000,96.1260
31.1000,96.2260
31.5000,96.3145
32.0000,96.4245
32.5000,96.5445
33.0000,96.6700
33.5000,96.7910
34.0000,96.9080
34.5000,97.0290
35.0000,97.1490
35.5000,97.2520
36.0000,97.3320
36.5000,97.4030
37.0000,97.4860
37.5000,97.5860
38.2000,97.7240
38.7000,97.8050
39.5000,97.9160
40.0000,97.9900
40.6000,98.0840
41.2000,98.1760
41.8000,98.2640
42.5000,98.3650
43.1000,98.4550
43.7000,98.5440
44.4000,98.6370
45.0000,98.7010
45.5000,98.7500
46.2000,98.8235
46.8000,98.8900
47.5000,98.9610
48.2000,99.0200
48.7000,99.0540
49.4000,99.0915
50.0000,99.1230
50.8000,99.1775
51.5000,99.2185
52.2000,99.2415
53.0000,99.2700
53.8000,99.3065
54.5000,99.3245
55.2000,99.3215
56.0000,99.2960
57.0000,99.2660
58.0000,99.2315
59.0000,99.1440
60.0000,99.0855
60.8000,99.0245
61.5000,98.9695
62.2000,98.9615
63.0000,98.9175
64.0000,98.6830
65.0000,98.5125
66.0000,98.4755
67.0000,98.3340
68.0000,98.1950
69.0000,98.1480
70.0000,98.1265
71.0000,98.2235
72.0000,98.3910
73.0000,98.4665
74.0000,98.4445
75.0000,98.4210
76.2000,98.3130
77.5000,98.0930
78.8000,97.8585
80.0000,97.5355
81.2000,97.1705
82.5000,97.1060
83.8000,96.9730
85.0000,96.6270
86.2000,96.6545
87.5000,96.4220
88.5000,96.8585
90.0000,96.6440
91.2000,96.5635
92.5000,96.5705
93.8000,96.6870
95.0000,97.1565
96.2000,97.1970
97.5000,97.2710
98.8000,97.3145
100.0000,97.3420
101.5000,97.2505
103.0000,97.2965
104.4000,97.3455
106.0000,97.4155
107.5000,97.4630
109.0000,97.3505
110.6000,97.1980
112.0000,96.9970
113.8000,96.9090
115.0000,96.7615
117.2000,96.9955
118.0000,96.9075
120.6000,97.0440
122.0000,97.3265
124.1000,97.4930
125.0000,97.5640
126.5000,97.6855
128.0000,97.7205
131.5000,97.7975
132.0000,97.8015
134.0000,97.7500
136.0000,97.6845
138.0000,97.6310
140.0000,97.5385
143.0000,97.4625
145.0000,97.4515
147.5000,97.4210
150.0000,97.3835
152.5000,97.3230
155.0000,97.1965
157.5000,97.0815
160.0000,96.8995
162.5000,96.7505
165.0000,96.5875
167.5000,96.4140
170.0000,96.2800
172.5000,96.1615
175.0000,95.9645
177.5000,95.8405
180.0000,95.6930
182.5000,95.5445
185.0000,95.3665
187.5000,95.1785
190.0000,95.0105
192.5000,94.8480
195.0000,94.7110
197.5000,94.5095
200.0000,94.3395
203.0000,94.1630
206.0000,93.9205
209.0000,93.7485
212.0000,93.5105
214.0000,93.3645
218.0000,93.0305
220.0000,92.9200
224.0000,92.5780
227.0000,92.2980
230.0000,92.0340
233.0000,91.7730
236.0000,91.5640
240.0000,91.3325
243.0000,91.2180
247.0000,91.0500
250.0000,90.9145
254.0000,90.7350
258.0000,90.5375
262.0000,90.3370
265.0000,90.2205
269.0000,90.0315
272.0000,89.9025
276.0000,89.7545
280.0000,89.5695
285.0000,89.4435
290.0000,89.3270
295.0000,89.1810
300.0000,89.0525
304.0000,88.9850
307.0000,88.8955
311.0000,88.8255
315.0000,88.7125
320.0000,88.6945
325.0000,88.6480
330.0000,88.5185
335.0000,88.4250
340.0000,88.3715
345.0000,88.3410
350.0000,88.3390
355.0000,88.3065
360.0000,88.3710
365.0000,88.3605
370.0000,88.4600
375.0000,88.4580
382.0000,88.5130
387.0000,88.6050
395.0000,88.6750
400.0000,88.7755
406.0000,88.8670
412.0000,88.9355
418.0000,89.0615
425.0000,89.1580
431.0000,89.2205
437.0000,89.3495
444.0000,89.4355
450.0000,89.5035
455.0000,89.6620
462.0000,89.7655
468.0000,89.8665
475.0000,89.9870
482.0000,90.0890
487.0000,90.1775
494.0000,90.3370
500.0000,90.3895
508.0000,90.5300
515.0000,90.6320
522.0000,90.7750
530.0000,90.9140
538.0000,91.0325
545.0000,91.1455
552.0000,91.2520
560.0000,91.3875
570.0000,91.6080
580.0000,91.8020
590.0000,91.9100
600.0000,92.0470
608.0000,92.1125
615.0000,92.2065
622.0000,92.2870
630.0000,92.3795
640.0000,92.4500
650.0000,92.5445
660.0000,92.5780
670.0000,92.5725
680.0000,92.6430
690.0000,92.6440
700.0000,92.6705
710.0000,92.6780
720.0000,92.6970
730.0000,92.7160
740.0000,92.7230
750.0000,92.7390
762.0000,92.7780
775.0000,92.7985
788.0000,92.8820
800.0000,92.9205
812.0000,92.9375
825.0000,92.9465
838.0000,92.9680
850.0000,92.9685
862.0000,92.9255
875.0000,92.9760
885.0000,92.9420
900.0000,92.9170
912.0000,92.8750
925.0000,92.8570
938.0000,92.7980
950.0000,92.7605
962.0000,92.7215
975.0000,92.6580
988.0000,92.6240
1000.0000,92.5565
1015.0000,92.4745
1030.0000,92.4260
1044.0000,92.3605
1060.0000,92.2485
1075.0000,92.1390
1090.0000,92.1970
1106.0000,92.1490
1120.0000,91.9715
1138.0000,92.1940
1150.0000,92.1910
1172.0000,92.1160
1180.0000,92.1545
1206.0000,92.1310
1220.0000,92.1070
1241.0000,92.2505
1250.0000,92.2450
1265.0000,92.3550
1280.0000,92.4600
1315.0000,92.7225
1320.0000,92.7435
1340.0000,92.7990
1360.0000,92.8710
1380.0000,92.9150
1400.0000,92.8890
1430.0000,92.9090
1450.0000,92.8775
1475.0000,92.8920
1500.0000,92.9045
1525.0000,92.9130
1550.0000,92.9890
1575.0000,93.0685
1600.0000,93.1385
1625.0000,93.2355
1650.0000,93.3475
1675.0000,93.5695
1700.0000,93.6500
1725.0000,93.7220
1750.0000,93.8320
1775.0000,93.9105
1800.0000,94.0510
1825.0000,94.1340
1850.0000,94.3240
1875.0000,94.4185
1900.0000,94.5290
1925.0000,94.6320
1950.0000,94.7655
1975.0000,94.9210
2000.0000,95.0400
2030.0000,95.2010
2060.0000,95.3195
2090.0000,95.4530
2120.0000,95.6140
2140.0000,95.6850
2180.0000,95.9000
2200.0000,95.9530
2240.0000,96.0010
2270.0000,96.0545
2300.0000,96.0695
2330.0000,96.1270
2360.0000,96.2495
2400.0000,96.7230
2430.0000,97.0945
2470.0000,97.4680
2500.0000,97.6445
2540.0000,97.8195
2580.0000,97.9955
2620.0000,98.1465
2650.0000,98.2645
2690.0000,98.4190
2720.0000,98.5660
2760.0000,98.7670
2800.0000,98.9800
2850.0000,99.2455
2900.0000,99.4805
2950.0000,99.6755
3000.0000,99.7890
3040.0000,99.8745
3070.0000,99.9010
3110.0000,99.9405
3150.0000,99.8890
3200.0000,99.7775
3250.0000,99.6110
3300.0000,99.4115
3350.0000,99.1995
3400.0000,98.9865
3450.0000,98.7915
3500.0000,98.6050
3550.0000,98.3915
3600.0000,98.1815
3650.0000,97.9745
3700.0000,97.7675
3750.0000,97.5215
3820.0000,97.0705
3870.0000,96.5360
3950.0000,95.2930
4000.0000,94.2725
4060.0000,92.3130
4120.0000,89.9840
4180.0000,87.4095
4250.0000,84.8810
4310.0000,83.7440
4370.0000,83.7950
4440.0000,85.1410
4500.0000,86.8260
4550.0000,88.1110
4620.0000,89.7890
4680.0000,91.3350
4750.0000,93.1315
4820.0000,94.5735
4870.0000,95.4820
4940.0000,96.4360
5000.0000,96.9015
5080.0000,97.0915
5150.0000,97.0220
5220.0000,96.7700
5300.0000,96.5220
5380.0000,96.3275
5450.0000,96.2225
5520.0000,96.1805
5600.0000,96.1695
5700.0000,96.1730
5800.0000,96.2620
5900.0000,96.3785
6000.0000,96.3590
6080.0000,96.4715
6150.0000,96.3900
6220.0000,96.3660
6300.0000,96.2330
6400.0000,95.8525
6500.0000,95.3505
6600.0000,94.6085
6700.0000,93.8710
6800.0000,93.1175
6900.0000,92.4090
7000.0000,91.6125
7100.0000,90.4635
7200.0000,89.2170
7300.0000,88.1300
7400.0000,87.1070
7500.0000,86.7600
7620.0000,86.6830
7750.0000,86.9730
7880.0000,87.2465
8000.0000,87.7470
8120.0000,88.6750
8250.0000,89.8170
8380.0000,91.2790
8500.0000,92.8300
8620.0000,93.9380
8750.0000,94.1470
8850.0000,93.4165
9000.0000,91.9785
9120.0000,90.7125
9250.0000,89.3815
9380.0000,88.2230
9500.0000,86.9285
9620.0000,85.6755
9750.0000,84.5295
9880.0000,83.2035
10000.0000,82.5120
10150.0000,82.5245
10300.0000,82.8040
10440.0000,84.0420
10600.0000,83.7815
10750.0000,82.6065
10900.0000,84.1305
11060.0000,86.2350
11200.0000,87.6730
11380.0000,89.0550
11500.0000,89.9610
11720.0000,90.9790
11800.0000,91.2140
12060.0000,90.3125
12200.0000,89.8155
12410.0000,90.3175
12500.0000,90.9340
12650.0000,91.1440
12800.0000,88.7560
13150.0000,85.5460
13200.0000,85.8095
13400.0000,85.6930
13600.0000,85.9700
13800.0000,85.6830
14000.0000,85.3705
14300.0000,82.6355
14500.0000,80.6980
14750.0000,77.6530
15000.0000,77.4900
15250.0000,80.5695
15500.0000,80.4665
15750.0000,79.7170
16000.0000,77.5800
16250.0000,76.5585
16500.0000,72.4620
16750.0000,72.1720
17000.0000,75.0675
17250.0000,73.0535
17500.0000,70.7890
17750.0000,68.2200
18000.0000,68.6015
18250.0000,61.5810
18500.0000,59.6255
18750.0000,63.6565
19000.0000,65.2085
19250.0000,66.3005
19500.0000,71.2755
19750.0000,72.7530
20000.0000,69.5485
