frequency,raw
2.9516,79.1195
2.9730,79.1645
2.9946,79.2260
3.0163,79.3050
3.0381,79.3905
3.0601,79.4755
3.0823,79.5620
3.1046,79.6490
3.1271,79.7355
3.1498,79.8225
3.1726,79.9085
3.1956,79.9960
3.2188,80.0840
3.2421,80.1720
3.2656,80.2600
3.2893,80.3495
3.3131,80.4400
3.3371,80.5315
3.3613,80.6230
3.3856,80.7140
3.4102,80.8050
3.4349,80.8970
3.4598,80.9890
3.4848,81.0815
3.5101,81.1740
3.5355,81.2680
3.5612,81.3625
3.5870,81.4560
3.6130,81.5510
3.6391,81.6465
3.6655,81.7420
3.6921,81.8375
3.7188,81.9330
3.7458,82.0285
3.7729,82.1245
3.8003,82.2215
3.8278,82.3185
3.8555,82.4155
3.8835,82.5140
3.9116,82.6115
3.9400,82.7095
3.9685,82.8070
3.9973,82.9045
4.0262,83.0035
4.0554,83.1040
4.0848,83.2040
4.1144,83.3025
4.1442,83.4005
4.1742,83.5005
4.2045,83.5995
4.2350,83.6985
4.2656,83.7985
4.2965,83.8985
4.3277,83.9985
4.3590,84.0980
4.3906,84.1970
4.4224,84.2970
4.4545,84.3965
4.4868,84.4950
4.5193,84.5930
4.5520,84.6935
4.5850,84.7930
4.6182,84.8910
4.6517,84.9895
4.6854,85.0880
4.7194,85.1860
4.7536,85.2840
4.7880,85.3805
4.8227,85.4765
4.8577,85.5720
4.8929,85.6685
4.9283,85.7640
4.9640,85.8590
5.0000,85.9540
5.0362,86.0470
5.0727,86.1405
5.1095,86.2340
5.1465,86.3255
5.1838,86.4155
5.2214,86.5060
5.2592,86.5955
5.2973,86.6840
5.3357,86.7715
5.3744,86.8575
5.4133,86.9430
5.4525,87.0275
5.4920,87.1110
5.5318,87.1930
5.5719,87.2730
5.6123,87.3525
5.6530,87.4310
5.6939,87.5080
5.7352,87.5825
5.7768,87.6555
5.8186,87.7265
5.8608,87.7975
5.9033,87.8680
5.9460,87.9380
5.9891,88.0080
6.0325,88.0780
6.0762,88.1470
6.1203,88.2165
6.1646,88.2855
6.2093,88.3545
6.2543,88.4245
6.2996,88.4940
6.3453,88.5640
6.3912,88.6330
6.4375,88.7020
6.4842,88.7710
6.5312,88.8395
6.5785,88.9085
6.6262,88.9780
6.6742,89.0470
6.7226,89.1155
6.7713,89.1840
6.8203,89.2525
6.8698,89.3200
6.9195,89.3885
6.9697,89.4565
7.0202,89.5240
7.0711,89.5915
7.1223,89.6590
7.1739,89.7265
7.2259,89.7930
7.2783,89.8600
7.3310,89.9265
7.3841,89.9925
7.4376,90.0585
7.4915,90.1245
7.5458,90.1900
7.6005,90.2550
7.6556,90.3195
7.7111,90.3835
7.7669,90.4475
7.8232,90.5110
7.8799,90.5745
7.9370,90.6370
7.9945,90.7005
8.0525,90.7620
8.1108,90.8235
8.1696,90.8845
8.2288,90.9455
8.2884,91.0055
8.3485,91.0650
8.4090,91.1240
8.4699,91.1830
8.5313,91.2410
8.5931,91.2990
8.6554,91.3560
8.7181,91.4125
8.7813,91.4690
8.8449,91.5260
8.9090,91.5825
8.9735,91.6400
9.0386,91.6970
9.1041,91.7550
9.1700,91.8120
9.2365,91.8695
9.3034,91.9270
9.3708,91.9840
9.4387,92.0410
9.5071,92.0980
9.5760,92.1550
9.6454,92.2125
9.7153,92.2695
9.7857,92.3260
9.8566,92.3825
9.9281,92.4395
10.0000,92.4960
10.0725,92.5520
10.1455,92.6085
10.2190,92.6645
10.2930,92.7205
10.3676,92.7765
10.4427,92.8320
10.5184,92.8875
10.5946,92.9430
10.6714,92.9975
10.7487,93.0525
10.8266,93.1070
10.9051,93.1615
10.9841,93.2160
11.0637,93.2700
11.1439,93.3230
11.2246,93.3770
11.3060,93.4300
11.3879,93.4830
11.4704,93.5350
11.5535,93.5870
11.6372,93.6400
11.7216,93.6920
11.8065,93.7440
11.8921,93.7965
11.9782,93.8485
12.0650,93.9010
12.1525,93.9530
12.2405,94.0055
12.3292,94.0570
12.4186,94.1095
12.5086,94.1615
12.5992,94.2140
12.6905,94.2660
12.7825,94.3180
12.8751,94.3695
12.9684,94.4215
13.0624,94.4735
13.1570,94.5255
13.2524,94.5765
13.3484,94.6280
13.4451,94.6795
13.5426,94.7305
13.6407,94.7820
13.7395,94.8325
13.8391,94.8835
13.9394,94.9340
14.0404,94.9845
14.1421,95.0345
14.2446,95.0850
14.3478,95.1350
14.4518,95.1850
14.5565,95.2350
14.6620,95.2855
14.7683,95.3365
14.8753,95.3880
14.9831,95.4395
15.0916,95.4910
15.2010,95.5425
15.3112,95.5930
15.4221,95.6440
15.5339,95.6950
15.6464,95.7455
15.7598,95.7950
15.8740,95.8455
15.9890,95.8950
16.1049,95.9440
16.2216,95.9930
16.3392,96.0420
16.4576,96.0900
16.5768,96.1385
16.6969,96.1855
16.8179,96.2335
16.9398,96.2805
17.0626,96.3270
17.1862,96.3735
17.3107,96.4195
17.4362,96.4635
17.5625,96.5065
17.6898,96.5475
17.8180,96.5865
17.9471,96.6235
18.0771,96.6600
18.2081,96.6950
18.3401,96.7295
18.4730,96.7630
18.6068,96.7960
18.7417,96.8285
18.8775,96.8605
19.0143,96.8925
19.1521,96.9240
19.2908,96.9555
19.4306,96.9870
19.5714,97.0185
19.7133,97.0510
19.8561,97.0835
20.0000,97.1170
20.1449,97.1510
20.2909,97.1855
20.4379,97.2210
20.5860,97.2570
20.7352,97.2940
20.8855,97.3320
21.0368,97.3700
21.1893,97.4090
21.3428,97.4485
21.4975,97.4890
21.6532,97.5290
21.8102,97.5695
21.9682,97.6100
22.1274,97.6505
22.2877,97.6900
22.4492,97.7290
22.6119,97.7675
22.7758,97.8055
22.9408,97.8420
23.1071,97.8770
23.2745,97.9100
23.4432,97.9420
23.6130,97.9725
23.7841,98.0010
23.9565,98.0290
24.1301,98.0550
24.3049,98.0805
24.4811,98.1040
24.6585,98.1270
24.8372,98.1485
25.0171,98.1690
25.1984,98.1880
25.3810,98.2060
25.5649,98.2225
25.7502,98.2375
25.9368,98.2515
26.1247,98.2635
26.3141,98.2740
26.5047,98.2825
26.6968,98.2875
26.8903,98.2890
27.0851,98.2865
27.2814,98.2800
27.4791,98.2710
27.6782,98.2600
27.8788,98.2485
28.0808,98.2365
28.2843,98.2265
28.4892,98.2185
28.6957,98.2145
28.9036,98.2160
29.1131,98.2260
29.3240,98.2480
29.5365,98.2815
29.7506,98.3285
29.9661,98.3850
30.1833,98.4510
30.4020,98.5220
30.6223,98.5970
30.8442,98.6740
31.0677,98.7505
31.2929,98.8245
31.5196,98.8930
31.7480,98.9545
31.9781,99.0080
32.2098,99.0525
32.4432,99.0890
32.6783,99.1190
32.9151,99.1435
33.1536,99.1625
33.3939,99.1770
33.6359,99.1870
33.8796,99.1910
34.1251,99.1905
34.3724,99.1845
34.6215,99.1725
34.8723,99.1515
35.1250,99.1215
35.3796,99.0805
35.6359,99.0305
35.8942,98.9740
36.1543,98.9135
36.4163,98.8515
36.6802,98.7880
36.9460,98.7240
37.2137,98.6610
37.4834,98.5975
37.7550,98.5350
38.0286,98.4735
38.3041,98.4125
38.5817,98.3515
38.8613,98.2910
39.1429,98.2310
39.4265,98.1715
39.7122,98.1140
40.0000,98.0565
40.2899,98.0055
40.5818,97.9705
40.8759,97.9655
41.1721,98.0050
41.4704,98.0900
41.7709,98.2170
42.0736,98.3710
42.3785,98.5405
42.6856,98.7130
42.9949,98.8800
43.3065,99.0330
43.6203,99.1695
43.9364,99.2870
44.2548,99.3895
44.5755,99.4780
44.8985,99.5580
45.2238,99.6295
45.5515,99.6925
45.8816,99.7480
46.2141,99.7960
46.5490,99.8370
46.8863,99.8725
47.2261,99.9020
47.5683,99.9260
47.9130,99.9420
48.2602,99.9495
48.6099,99.9465
48.9621,99.9325
49.3169,99.9050
49.6743,99.8595
50.0343,99.7945
50.3968,99.7095
50.7620,99.6075
51.1299,99.4930
51.5004,99.3710
51.8736,99.2455
52.2495,99.1170
52.6281,98.9850
53.0095,98.8500
53.3936,98.7120
53.7805,98.5715
54.1702,98.4310
54.5628,98.2950
54.9581,98.1705
55.3564,98.0685
55.7575,97.9965
56.1616,97.9590
56.5685,97.9480
56.9785,97.9565
57.3914,97.9780
57.8072,98.0080
58.2261,98.0510
58.6481,98.1090
59.0730,98.1850
59.5011,98.2785
59.9323,98.3880
60.3666,98.5080
60.8040,98.6360
61.2446,98.7685
61.6884,98.9050
62.1355,99.0425
62.5857,99.1815
63.0392,99.3195
63.4960,99.4520
63.9562,99.5765
64.4196,99.6910
64.8864,99.7940
65.3566,99.8875
65.8302,99.9725
66.3073,100.0515
66.7877,100.1235
67.2717,100.1890
67.7592,100.2475
68.2502,100.3005
68.7448,100.3490
69.2429,100.3935
69.7447,100.4345
70.2501,100.4700
70.7591,100.5020
71.2719,100.5300
71.7884,100.5545
72.3086,100.5760
72.8325,100.5950
73.3603,100.6105
73.8919,100.6235
74.4274,100.6330
74.9667,100.6385
75.5099,100.6410
76.0571,100.6395
76.6083,100.6345
77.1634,100.6255
77.7226,100.6120
78.2858,100.5945
78.8531,100.5725
79.4245,100.5460
80.0000,100.5140
80.5797,100.4770
81.1636,100.4335
81.7518,100.3820
82.3442,100.3225
82.9409,100.2540
83.5419,100.1820
84.1473,100.1080
84.7571,100.0380
85.3712,99.9735
85.9899,99.9160
86.6130,99.8690
87.2406,99.8355
87.8728,99.8190
88.5096,99.8220
89.1509,99.8415
89.7970,99.8730
90.4477,99.9115
91.1031,99.9545
91.7633,100.0010
92.4282,100.0480
93.0980,100.0915
93.7726,100.1290
94.4521,100.1580
95.1366,100.1770
95.8260,100.1855
96.5204,100.1845
97.2198,100.1745
97.9243,100.1565
98.6339,100.1330
99.3486,100.1065
100.0685,100.0800
100.7937,100.0540
101.5241,100.0295
102.2598,100.0080
103.0008,99.9885
103.7472,99.9710
104.4990,99.9535
105.2562,99.9335
106.0189,99.9090
106.7872,99.8790
