frequency,raw
20.30,53.904
20.60,54.109
20.90,54.352
21.20,54.615
21.40,54.790
21.80,55.112
22.00,55.251
22.40,55.474
22.70,55.603
23.00,55.712
23.30,55.818
23.60,55.930
24.00,56.102
24.30,56.255
24.70,56.493
25.00,56.699
25.40,57.002
25.80,57.325
26.20,57.644
26.50,57.856
26.90,58.079
27.20,58.191
27.60,58.275
28.00,58.328
28.50,58.441
29.00,58.674
29.50,58.992
30.00,59.296
30.40,59.489
30.70,59.605
31.10,59.745
31.50,59.885
32.00,60.065
32.50,60.246
33.00,60.440
33.50,60.663
34.00,60.897
34.50,61.096
35.00,61.238
35.50,61.353
36.00,61.483
36.50,61.640
37.00,61.810
37.50,61.989
38.20,62.263
38.70,62.455
39.50,62.686
40.00,62.799
40.60,62.955
41.20,63.142
41.80,63.322
42.50,63.507
43.10,63.666
43.70,63.822
44.40,63.985
45.00,64.116
45.50,64.229
46.20,64.392
46.80,64.538
47.50,64.701
48.20,64.827
48.70,64.899
49.40,65.032
50.00,65.191
50.80,65.386
51.50,65.482
52.20,65.550
53.00,65.647
53.80,65.781
54.50,65.934
55.20,66.088
56.00,66.216
57.00,66.301
58.00,66.379
59.00,66.531
60.00,66.672
60.80,66.735
61.50,66.788
62.20,66.856
63.00,66.948
64.00,67.045
65.00,67.113
66.00,67.192
67.00,67.266
68.00,67.359
69.00,67.494
70.00,67.620
71.00,67.763
72.00,67.894
73.00,67.988
74.00,68.128
75.00,68.273
76.20,68.435
77.50,68.607
78.80,68.790
80.00,68.905
81.20,69.102
82.50,69.257
83.80,69.442
85.00,69.588
86.20,69.738
87.50,69.905
88.50,70.008
90.00,70.145
91.20,70.287
92.50,70.395
93.80,70.530
95.00,70.643
96.20,70.743
97.50,70.855
98.80,70.959
100.00,71.055
101.50,71.179
103.00,71.294
104.40,71.403
106.00,71.511
107.50,71.596
109.00,71.681
110.60,71.761
112.00,71.840
113.80,71.941
115.00,72.013
117.20,72.158
118.00,72.212
120.60,72.367
122.00,72.446
124.10,72.563
125.00,72.608
126.50,72.674
128.00,72.739
131.50,72.892
132.00,72.914
134.00,73.007
136.00,73.095
138.00,73.180
140.00,73.259
143.00,73.364
145.00,73.429
147.50,73.508
150.00,73.579
152.50,73.654
155.00,73.717
157.50,73.778
160.00,73.832
162.50,73.880
165.00,73.918
167.50,73.960
170.00,73.995
172.50,74.029
175.00,74.056
177.50,74.082
180.00,74.100
182.50,74.109
185.00,74.108
187.50,74.113
190.00,74.097
192.50,74.090
195.00,74.069
197.50,74.044
200.00,74.020
203.00,73.984
206.00,73.944
209.00,73.903
212.00,73.862
214.00,73.832
218.00,73.776
220.00,73.752
224.00,73.697
227.00,73.659
230.00,73.621
233.00,73.581
236.00,73.541
240.00,73.490
243.00,73.448
247.00,73.394
250.00,73.356
254.00,73.309
258.00,73.260
262.00,73.217
265.00,73.182
269.00,73.133
272.00,73.105
276.00,73.066
280.00,73.035
285.00,73.014
290.00,73.001
295.00,72.995
300.00,72.997
304.00,73.002
307.00,73.002
311.00,73.004
315.00,73.002
320.00,72.998
325.00,72.990
330.00,72.984
335.00,72.995
340.00,73.014
345.00,73.031
350.00,73.050
355.00,73.061
360.00,73.053
365.00,73.035
370.00,73.084
375.00,73.101
382.00,73.085
387.00,73.061
395.00,73.019
400.00,72.986
406.00,72.950
412.00,72.916
418.00,72.880
425.00,72.844
431.00,72.821
437.00,72.806
444.00,72.797
450.00,72.797
455.00,72.802
462.00,72.816
468.00,72.834
475.00,72.859
482.00,72.882
487.00,72.897
494.00,72.910
500.00,72.916
508.00,72.916
515.00,72.909
522.00,72.895
530.00,72.873
538.00,72.846
545.00,72.818
552.00,72.791
560.00,72.761
570.00,72.721
580.00,72.683
590.00,72.639
600.00,72.602
608.00,72.581
615.00,72.564
622.00,72.548
630.00,72.532
640.00,72.513
650.00,72.495
660.00,72.477
670.00,72.460
680.00,72.447
690.00,72.439
700.00,72.438
710.00,72.448
720.00,72.466
730.00,72.496
740.00,72.539
750.00,72.596
762.00,72.688
775.00,72.826
788.00,73.008
800.00,73.223
812.00,73.473
