frequency,raw
20.30,62.642
20.60,62.752
20.90,62.849
21.20,62.950
21.40,63.035
21.80,63.258
22.00,63.400
22.40,63.720
22.70,63.953
23.00,64.138
23.30,64.260
23.60,64.327
24.00,64.379
24.30,64.445
24.70,64.619
25.00,64.808
25.40,65.084
25.80,65.310
26.20,65.459
26.50,65.540
26.90,65.656
27.20,65.778
27.60,65.980
28.00,66.183
28.50,66.370
29.00,66.485
29.50,66.622
30.00,66.853
30.40,67.064
30.70,67.198
31.10,67.316
31.50,67.374
32.00,67.433
32.50,67.576
33.00,67.805
33.50,68.014
34.00,68.126
34.50,68.180
35.00,68.285
35.50,68.497
36.00,68.734
36.50,68.888
37.00,68.930
37.50,68.939
38.20,69.069
38.70,69.234
39.50,69.448
40.00,69.556
40.60,69.716
41.20,69.896
41.80,70.035
42.50,70.124
43.10,70.181
43.70,70.266
44.40,70.415
45.00,70.551
45.50,70.637
46.20,70.726
46.80,70.823
47.50,70.956
48.20,71.011
48.70,71.007
49.40,71.030
50.00,71.088
50.80,71.125
51.50,71.112
52.20,71.129
53.00,71.196
53.80,71.244
54.50,71.257
55.20,71.293
56.00,71.382
57.00,71.440
58.00,71.465
59.00,71.533
60.00,71.587
60.80,71.644
61.50,71.684
62.20,71.724
63.00,71.769
64.00,71.809
65.00,71.942
66.00,72.076
67.00,72.160
68.00,72.317
69.00,72.506
70.00,72.641
71.00,72.756
72.00,72.903
73.00,73.072
74.00,73.260
75.00,73.421
76.20,73.606
77.50,73.791
78.80,73.984
80.00,74.153
81.20,74.332
82.50,74.508
83.80,74.678
85.00,74.817
86.20,74.965
87.50,75.048
88.50,75.136
90.00,75.227
91.20,75.299
92.50,75.363
93.80,75.422
95.00,75.493
96.20,75.543
97.50,75.648
98.80,75.703
100.00,75.774
101.50,75.859
103.00,75.960
104.40,76.058
106.00,76.149
107.50,76.191
109.00,76.276
110.60,76.329
112.00,76.385
113.80,76.466
115.00,76.525
117.20,76.612
118.00,76.653
120.60,76.765
122.00,76.836
124.10,76.906
125.00,76.941
126.50,76.989
128.00,77.031
131.50,77.107
132.00,77.117
134.00,77.146
136.00,77.165
138.00,77.177
140.00,77.188
143.00,77.197
145.00,77.190
147.50,77.180
150.00,77.166
152.50,77.138
155.00,77.103
157.50,77.057
160.00,77.022
162.50,76.982
165.00,76.941
167.50,76.903
170.00,76.867
172.50,76.830
175.00,76.793
177.50,76.754
180.00,76.721
182.50,76.678
185.00,76.626
187.50,76.576
190.00,76.520
192.50,76.465
195.00,76.405
197.50,76.340
200.00,76.281
203.00,76.209
206.00,76.141
209.00,76.072
212.00,76.000
214.00,75.953
218.00,75.856
220.00,75.810
224.00,75.708
227.00,75.627
230.00,75.557
233.00,75.478
236.00,75.413
240.00,75.328
243.00,75.272
247.00,75.197
250.00,75.145
254.00,75.073
258.00,74.995
262.00,74.909
265.00,74.834
269.00,74.723
272.00,74.633
276.00,74.505
280.00,74.370
285.00,74.199
290.00,74.037
295.00,73.895
300.00,73.779
