frequency,raw
2.726,80.681
2.746,80.747
2.766,80.837
2.786,80.934
2.806,81.034
2.826,81.134
2.847,81.235
2.868,81.336
2.888,81.435
2.909,81.535
2.930,81.638
2.952,81.743
2.973,81.846
2.995,81.947
3.016,82.053
3.038,82.160
3.060,82.263
3.082,82.369
3.105,82.477
3.127,82.586
3.150,82.694
3.173,82.802
3.196,82.910
3.219,83.019
3.242,83.129
3.266,83.237
3.289,83.349
3.313,83.459
3.337,83.570
3.361,83.682
3.386,83.794
3.410,83.907
3.435,84.019
3.460,84.133
3.485,84.248
3.510,84.361
3.536,84.475
3.561,84.590
3.587,84.706
3.613,84.820
3.639,84.933
3.666,85.048
3.692,85.163
3.719,85.279
3.746,85.393
3.773,85.510
3.800,85.626
3.828,85.740
3.856,85.856
3.883,85.973
3.912,86.089
3.940,86.204
3.969,86.319
3.997,86.433
4.026,86.549
4.055,86.663
4.085,86.778
4.114,86.891
4.144,87.004
4.174,87.117
4.204,87.230
4.235,87.341
4.266,87.453
4.297,87.565
4.328,87.674
4.359,87.781
4.391,87.889
4.422,87.998
4.454,88.106
4.487,88.213
4.519,88.318
4.552,88.422
4.585,88.524
4.618,88.625
4.652,88.725
4.685,88.822
4.719,88.919
4.754,89.016
4.788,89.109
4.823,89.201
4.858,89.292
4.893,89.381
4.928,89.469
4.964,89.553
5.000,89.636
5.036,89.718
5.073,89.796
5.109,89.871
5.147,89.945
5.184,90.014
5.221,90.083
5.259,90.149
5.297,90.211
5.336,90.271
5.374,90.328
5.413,90.383
5.453,90.438
5.492,90.492
5.532,90.546
5.572,90.600
5.612,90.654
5.653,90.710
5.694,90.765
5.735,90.820
5.777,90.875
5.819,90.931
5.861,90.987
5.903,91.043
5.946,91.098
5.989,91.154
6.033,91.210
6.076,91.267
6.120,91.323
6.165,91.380
6.209,91.436
6.254,91.493
6.300,91.550
6.345,91.608
6.391,91.665
6.438,91.724
6.484,91.781
6.531,91.838
6.579,91.897
6.626,91.954
6.674,92.013
6.723,92.070
6.771,92.129
6.820,92.187
6.870,92.245
6.920,92.303
6.970,92.361
7.020,92.420
7.071,92.479
7.122,92.537
7.174,92.596
7.226,92.655
7.278,92.715
7.331,92.773
7.384,92.832
7.438,92.891
7.492,92.950
7.546,93.009
7.601,93.068
7.656,93.127
7.711,93.186
7.767,93.245
7.823,93.304
7.880,93.364
7.937,93.422
7.995,93.482
8.052,93.542
8.111,93.604
8.170,93.667
8.229,93.732
8.288,93.797
8.348,93.862
8.409,93.927
8.470,93.992
8.531,94.058
8.593,94.124
8.655,94.189
8.718,94.255
8.781,94.321
8.845,94.386
8.909,94.453
8.974,94.519
9.039,94.585
9.104,94.651
9.170,94.718
9.236,94.784
9.303,94.851
9.371,94.917
9.439,94.984
9.507,95.051
9.576,95.118
9.645,95.185
9.715,95.251
9.786,95.319
9.857,95.386
9.928,95.453
10.000,95.520
10.072,95.588
10.145,95.654
10.219,95.721
10.293,95.788
10.368,95.855
10.443,95.922
10.518,95.989
10.595,96.055
10.671,96.118
10.749,96.177
10.827,96.228
10.905,96.275
10.984,96.318
11.064,96.360
11.144,96.400
11.225,96.442
11.306,96.483
11.388,96.523
11.470,96.564
11.554,96.606
11.637,96.646
11.722,96.686
11.807,96.727
11.892,96.767
11.978,96.808
12.065,96.847
12.152,96.888
12.241,96.928
12.329,96.968
12.419,97.007
12.509,97.047
12.599,97.085
12.691,97.124
12.782,97.163
12.875,97.202
12.968,97.240
13.062,97.279
13.157,97.316
13.252,97.353
13.348,97.392
13.445,97.430
13.543,97.468
13.641,97.507
13.740,97.544
13.839,97.584
13.939,97.623
14.040,97.662
14.142,97.701
14.245,97.739
14.348,97.779
14.452,97.817
14.557,97.857
14.662,97.897
14.768,97.936
14.875,97.975
14.983,98.015
15.092,98.054
15.201,98.093
15.311,98.133
15.422,98.172
15.534,98.212
15.646,98.252
15.760,98.291
15.874,98.331
15.989,98.370
16.105,98.407
16.222,98.444
16.339,98.478
16.458,98.512
16.577,98.545
16.697,98.578
16.818,98.611
16.940,98.644
17.063,98.677
17.186,98.709
17.311,98.742
17.436,98.773
17.563,98.806
17.690,98.838
17.818,98.870
17.947,98.901
18.077,98.933
18.208,98.965
18.340,98.996
18.473,99.027
18.607,99.058
18.742,99.089
18.877,99.119
19.014,99.148
19.152,99.176
19.291,99.203
19.431,99.228
19.571,99.254
19.713,99.278
19.856,99.300
20.000,99.322
20.145,99.341
20.291,99.361
20.438,99.379
20.586,99.395
20.735,99.410
20.885,99.425
21.037,99.438
21.189,99.448
21.343,99.454
21.497,99.452
21.653,99.440
21.810,99.418
21.968,99.388
22.127,99.350
22.288,99.308
22.449,99.261
22.612,99.213
22.776,99.161
22.941,99.109
23.107,99.058
23.274,99.007
23.443,98.958
23.613,98.913
23.784,98.872
23.956,98.837
24.130,98.807
24.305,98.783
24.481,98.764
24.658,98.750
24.837,98.739
25.017,98.733
