frequency,raw
20.00,101.408
20.30,101.382
20.60,101.357
20.90,101.333
21.20,101.310
21.40,101.295
21.80,101.264
22.00,101.248
22.40,101.210
22.70,101.181
23.00,101.153
23.30,101.127
23.60,101.103
24.00,101.071
24.30,101.046
24.70,101.008
25.00,100.976
25.40,100.934
25.80,100.896
26.20,100.861
26.50,100.837
26.90,100.805
27.20,100.781
27.60,100.752
28.00,100.728
28.50,100.703
29.00,100.671
29.50,100.621
30.00,100.554
30.40,100.498
30.70,100.461
31.10,100.421
31.50,100.390
32.00,100.354
32.50,100.313
33.00,100.263
33.50,100.210
34.00,100.159
34.50,100.110
35.00,100.056
35.50,99.994
36.00,99.926
36.50,99.859
37.00,99.796
37.50,99.737
38.20,99.654
38.70,99.591
39.50,99.484
40.00,99.418
40.60,99.341
41.20,99.262
41.80,99.176
42.50,99.069
43.10,98.980
43.70,98.895
44.40,98.789
45.00,98.689
45.50,98.603
46.20,98.486
46.80,98.386
47.50,98.268
48.20,98.151
48.70,98.068
49.40,97.951
50.00,97.853
50.80,97.737
51.50,97.643
52.20,97.545
53.00,97.432
53.80,97.336
54.50,97.270
55.20,97.212
56.00,97.142
57.00,97.037
58.00,96.925
59.00,96.811
60.00,96.682
60.80,96.551
61.50,96.417
62.20,96.282
63.00,96.139
64.00,95.980
65.00,95.836
66.00,95.696
67.00,95.529
68.00,95.325
69.00,95.094
70.00,94.849
71.00,94.605
72.00,94.370
73.00,94.150
74.00,93.941
75.00,93.743
76.20,93.517
77.50,93.298
78.80,93.103
80.00,92.922
81.20,92.755
82.50,92.616
83.80,92.530
85.00,92.504
86.20,92.518
87.50,92.551
88.50,92.572
90.00,92.581
91.20,92.568
92.50,92.551
93.80,92.546
95.00,92.562
96.20,92.597
97.50,92.668
98.80,92.773
100.00,92.898
101.50,93.097
103.00,93.354
104.40,93.636
106.00,93.983
107.50,94.325
109.00,94.674
110.60,95.043
112.00,95.355
113.80,95.738
115.00,95.983
117.20,96.399
118.00,96.537
120.60,96.934
122.00,97.115
124.10,97.341
125.00,97.420
126.50,97.529
128.00,97.609
131.50,97.706
132.00,97.710
134.00,97.701
136.00,97.659
138.00,97.589
140.00,97.497
143.00,97.333
145.00,97.200
147.50,97.010
150.00,96.809
152.50,96.614
155.00,96.430
157.50,96.257
160.00,96.091
162.50,95.929
165.00,95.770
167.50,95.612
170.00,95.454
172.50,95.292
175.00,95.130
177.50,94.973
180.00,94.821
182.50,94.670
185.00,94.522
187.50,94.382
190.00,94.251
192.50,94.130
195.00,94.017
197.50,93.907
200.00,93.799
203.00,93.670
206.00,93.541
209.00,93.413
212.00,93.284
214.00,93.198
218.00,93.030
220.00,92.949
224.00,92.793
227.00,92.680
230.00,92.573
233.00,92.471
236.00,92.374
240.00,92.252
243.00,92.167
247.00,92.066
250.00,91.998
254.00,91.917
258.00,91.850
262.00,91.797
265.00,91.766
269.00,91.735
272.00,91.717
276.00,91.700
280.00,91.688
285.00,91.677
290.00,91.665
295.00,91.647
300.00,91.623
304.00,91.598
307.00,91.575
311.00,91.541
315.00,91.503
320.00,91.449
325.00,91.388
330.00,91.322
335.00,91.253
340.00,91.185
345.00,91.116
350.00,91.046
355.00,90.975
360.00,90.907
365.00,90.854
370.00,90.831
375.00,90.838
382.00,90.865
387.00,90.875
395.00,90.860
400.00,90.838
406.00,90.804
412.00,90.764
418.00,90.726
425.00,90.689
431.00,90.668
437.00,90.655
444.00,90.653
450.00,90.665
455.00,90.672
462.00,90.661
468.00,90.632
475.00,90.591
482.00,90.551
487.00,90.526
494.00,90.496
500.00,90.473
508.00,90.445
515.00,90.421
522.00,90.400
530.00,90.380
538.00,90.364
545.00,90.354
552.00,90.346
560.00,90.338
570.00,90.332
580.00,90.328
590.00,90.322
600.00,90.314
608.00,90.306
615.00,90.297
622.00,90.289
630.00,90.281
640.00,90.273
650.00,90.265
660.00,90.258
670.00,90.250
680.00,90.241
690.00,90.232
700.00,90.221
710.00,90.212
720.00,90.205
730.00,90.204
740.00,90.209
750.00,90.218
762.00,90.232
775.00,90.248
788.00,90.257
800.00,90.256
812.00,90.251
825.00,90.251
838.00,90.256
850.00,90.263
862.00,90.271
875.00,90.280
885.00,90.288
900.00,90.303
912.00,90.317
925.00,90.335
938.00,90.357
950.00,90.380
962.00,90.406
975.00,90.437
988.00,90.467
1000.00,90.492
1015.00,90.519
1030.00,90.542
1044.00,90.562
1060.00,90.582
1075.00,90.598
1090.00,90.616
1106.00,90.638
1120.00,90.658
1138.00,90.684
1150.00,90.702
1172.00,90.734
1180.00,90.744
1206.00,90.774
1220.00,90.788
1241.00,90.809
1250.00,90.819
1265.00,90.838
1280.00,90.863
1315.00,90.954
1320.00,90.971
1340.00,91.050
1360.00,91.135
1380.00,91.220
1400.00,91.298
1430.00,91.403
1450.00,91.466
1475.00,91.539
1500.00,91.611
1525.00,91.682
1550.00,91.754
1575.00,91.827
1600.00,91.902
1625.00,91.983
1650.00,92.069
1675.00,92.162
1700.00,92.264
1725.00,92.376
1750.00,92.500
1775.00,92.643
1800.00,92.800
1825.00,92.960
1850.00,93.123
1875.00,93.292
1900.00,93.473
1925.00,93.668
1950.00,93.879
1975.00,94.101
2000.00,94.322
2030.00,94.582
2060.00,94.840
2090.00,95.096
2120.00,95.346
2140.00,95.508
2180.00,95.818
2200.00,95.970
2240.00,96.279
2270.00,96.535
2300.00,96.817
2330.00,97.122
2360.00,97.439
2400.00,97.844
2430.00,98.106
2470.00,98.377
2500.00,98.515
2540.00,98.614
2580.00,98.621
2620.00,98.546
2650.00,98.444
2690.00,98.259
2720.00,98.093
2760.00,97.848
2800.00,97.585
2850.00,97.229
2900.00,96.840
2950.00,96.408
3000.00,95.918
3040.00,95.477
3070.00,95.120
3110.00,94.621
3150.00,94.142
3200.00,93.724
3250.00,93.691
