frequency,raw
2.951,81.2535
2.988,81.3342
3.026,81.4639
3.064,81.5978
3.102,81.7330
3.141,81.8693
3.181,82.0069
3.221,82.1457
3.262,82.2857
3.303,82.4268
3.344,82.5691
3.386,82.7124
3.429,82.8569
3.472,83.0025
3.516,83.1491
3.560,83.2967
3.605,83.4453
3.650,83.5949
3.696,83.7454
3.743,83.8967
3.790,84.0490
3.838,84.2020
3.886,84.3559
3.935,84.5104
3.985,84.6655
4.035,84.8213
4.085,84.9776
4.137,85.1345
4.189,85.2917
4.242,85.4493
4.295,85.6072
4.349,85.7652
4.404,85.9233
4.459,86.0815
4.516,86.2396
4.572,86.3975
4.630,86.5553
4.688,86.7125
4.747,86.8693
4.807,87.0255
4.868,87.1810
4.929,87.3356
4.991,87.4891
5.054,87.6414
5.117,87.7926
5.182,87.9421
5.247,88.0900
5.313,88.2362
5.380,88.3802
5.448,88.5221
5.516,88.6614
5.586,88.7981
5.656,88.9320
5.727,89.0627
5.800,89.1902
5.873,89.3147
5.947,89.4378
6.021,89.5605
6.097,89.6831
6.174,89.8056
6.252,89.9281
6.330,90.0503
6.410,90.1724
6.491,90.2942
6.573,90.4158
6.655,90.5369
6.739,90.6577
6.824,90.7779
6.910,90.8976
6.997,91.0169
7.085,91.1354
7.174,91.2534
7.265,91.3705
7.356,91.4868
7.449,91.6021
7.542,91.7166
7.637,91.8300
7.734,91.9423
7.831,92.0533
7.930,92.1632
8.029,92.2715
8.131,92.3786
8.233,92.4840
8.337,92.5879
8.442,92.6900
8.548,92.7903
8.655,92.8888
8.764,92.9854
8.875,93.0808
8.987,93.1758
9.100,93.2707
9.214,93.3655
9.330,93.4600
9.448,93.5543
9.567,93.6484
9.687,93.7421
9.809,93.8355
9.933,93.9285
10.058,94.0210
10.184,94.1131
10.313,94.2045
10.442,94.2955
10.574,94.3858
10.707,94.4754
10.842,94.5643
10.978,94.6523
11.117,94.7396
11.257,94.8259
11.398,94.9111
11.542,94.9955
11.687,95.0791
11.834,95.1629
11.983,95.2469
12.134,95.3311
12.287,95.4150
12.442,95.4989
12.598,95.5826
12.757,95.6662
12.918,95.7494
13.080,95.8324
13.245,95.9152
13.412,95.9976
13.581,96.0797
13.752,96.1613
13.925,96.2425
14.100,96.3232
14.278,96.4034
14.457,96.4829
14.639,96.5614
14.824,96.6379
15.010,96.7118
15.199,96.7835
15.391,96.8531
15.584,96.9213
15.781,96.9884
15.979,97.0549
16.181,97.1214
16.384,97.1883
16.591,97.2564
16.800,97.3262
17.011,97.3986
17.225,97.4741
17.442,97.5512
17.662,97.6257
17.884,97.6976
18.109,97.7709
18.337,97.8487
18.568,97.9304
18.802,98.0151
19.039,98.1018
19.278,98.1894
19.521,98.2769
19.767,98.3631
20.016,98.4467
20.268,98.5256
20.523,98.5936
20.781,98.6487
21.043,98.6958
21.308,98.7415
21.576,98.7866
21.848,98.8313
22.123,98.8763
22.402,98.9220
22.684,98.9692
22.969,99.0182
23.259,99.0683
23.551,99.1173
23.848,99.1643
24.148,99.2112
24.452,99.2592
24.760,99.3079
25.072,99.3568
25.388,99.4052
25.707,99.4525
26.031,99.4981
26.359,99.5409
26.691,99.5808
27.027,99.6184
27.367,99.6543
27.712,99.6885
