frequency,raw
2.951,81.3431
2.988,81.4302
3.026,81.5703
3.064,81.7151
3.102,81.8615
3.141,82.0093
3.181,82.1587
3.221,82.3096
3.262,82.4618
3.303,82.6154
3.344,82.7705
3.386,82.9269
3.429,83.0846
3.472,83.2435
3.516,83.4038
3.560,83.5652
3.605,83.7278
3.650,83.8914
3.696,84.0561
3.743,84.2218
3.790,84.3883
3.838,84.5557
3.886,84.7238
3.935,84.8927
3.985,85.0622
4.035,85.2321
4.085,85.4025
4.137,85.5731
4.189,85.7440
4.242,85.9150
4.295,86.0859
4.349,86.2566
4.404,86.4271
4.459,86.5970
4.516,86.7663
4.572,86.9350
4.630,87.1026
4.688,87.2690
4.747,87.4342
4.807,87.5978
4.868,87.7596
4.929,87.9196
4.991,88.0772
5.054,88.2325
5.117,88.3850
5.182,88.5344
5.247,88.6806
5.313,88.8232
5.380,88.9618
5.448,89.0961
5.516,89.2259
5.586,89.3505
5.656,89.4698
5.727,89.5832
5.800,89.6905
5.873,89.7927
5.947,89.8922
6.021,89.9915
6.097,90.0913
6.174,90.1915
6.252,90.2920
6.330,90.3929
6.410,90.4943
6.491,90.5960
6.573,90.6980
6.655,90.8004
6.739,90.9031
6.824,91.0060
6.910,91.1093
6.997,91.2127
7.085,91.3164
7.174,91.4202
7.265,91.5242
7.356,91.6284
7.449,91.7327
7.542,91.8370
7.637,91.9414
7.734,92.0458
7.831,92.1502
7.930,92.2545
8.029,92.3588
8.131,92.4629
8.233,92.5669
8.337,92.6707
8.442,92.7742
8.548,92.8774
8.655,92.9805
8.764,93.0856
8.875,93.1948
8.987,93.3074
9.100,93.4211
9.214,93.5351
9.330,93.6492
9.448,93.7637
9.567,93.8784
9.687,93.9933
9.809,94.1082
9.933,94.2234
10.058,94.3386
10.184,94.4539
10.313,94.5692
10.442,94.6844
10.574,94.7996
10.707,94.9147
10.842,95.0297
10.978,95.1445
11.117,95.2591
11.257,95.3734
11.398,95.4874
11.542,95.6007
11.687,95.7048
11.834,95.7928
11.983,95.8671
12.134,95.9365
12.287,96.0037
12.442,96.0690
12.598,96.1325
12.757,96.1944
12.918,96.2552
13.080,96.3149
13.245,96.3740
13.412,96.4326
13.581,96.4915
13.752,96.5506
13.925,96.6106
14.100,96.6720
14.278,96.7351
14.457,96.8003
14.639,96.8644
14.824,96.9248
15.010,96.9833
15.199,97.0431
15.391,97.1046
15.584,97.1675
15.781,97.2318
15.979,97.2972
16.181,97.3635
16.384,97.4305
16.591,97.4981
16.800,97.5661
17.011,97.6342
17.225,97.7018
17.442,97.7688
17.662,97.8343
17.884,97.8988
18.109,97.9635
18.337,98.0288
18.568,98.0947
18.802,98.1608
19.039,98.2270
19.278,98.2930
19.521,98.3586
19.767,98.4236
20.016,98.4874
20.268,98.5500
20.523,98.6103
20.781,98.6681
21.043,98.7246
21.308,98.7803
21.576,98.8355
21.848,98.8899
22.123,98.9436
22.402,98.9964
22.684,99.0485
22.969,99.0996
23.259,99.1500
23.551,99.1998
23.848,99.2490
24.148,99.2972
24.452,99.3443
24.760,99.3903
25.072,99.4348
25.388,99.4781
25.707,99.5199
26.031,99.5602
26.359,99.5971
26.691,99.6296
27.027,99.6587
27.367,99.6859
27.712,99.7113
28.060,99.7348
28.414,99.7563
28.772,99.7759
29.134,99.7926
29.501,99.8054
29.872,99.8135
30.248,99.8182
30.629,99.8209
31.015,99.8227
31.405,99.8249
31.801,99.8287
32.201,99.8323
32.607,99.8340
33.017,99.8344
33.433,99.8350
33.854,99.8345
34.280,99.8307
34.712,99.8216
35.149,99.7986
35.591,99.7577
36.039,99.7042
36.493,99.6469
36.953,99.5875
37.418,99.5276
37.889,99.4684
38.366,99.4092
38.849,99.3495
39.338,99.2893
39.834,99.2298
40.335,99.1723
40.843,99.1241
41.357,99.0941
41.878,99.0829
42.405,99.0820
42.939,99.0831
43.480,99.0788
44.027,99.0608
44.582,99.0280
45.143,98.9861
45.711,98.9400
46.287,98.8885
46.870,98.8273
47.460,98.7519
48.058,98.6600
48.663,98.5514
49.275,98.4228
49.896,98.2611
50.524,98.0618
51.160,97.8366
51.804,97.6009
52.457,97.3561
53.117,97.0990
53.786,96.8278
54.463,96.5479
55.149,96.2748
55.843,96.0327
56.546,95.8359
57.258,95.6805
57.979,95.5609
58.709,95.4882
59.449,95.4630
60.197,95.4703
60.955,95.4955
61.722,95.5346
62.500,95.5846
63.287,95.6446
64.083,95.7221
64.890,95.8392
65.707,96.0026
66.535,96.1784
67.372,96.3042
68.221,96.3497
69.080,96.3427
69.949,96.3602
70.830,96.4572
71.722,96.6217
72.625,96.7940
73.540,96.9305
74.465,97.0255
75.403,97.0920
76.352,97.1373
77.314,97.1655
78.287,97.1856
79.273,97.2062
80.271,97.2289
81.282,97.2492
82.305,97.2617
83.342,97.2645
84.391,97.2608
85.454,97.2523
86.530,97.2396
87.619,97.2245
88.722,97.2095
89.839,97.1941
90.971,97.1782
92.116,97.1632
93.276,97.1530
94.450,97.1513
95.639,97.1547
96.844,97.1549
98.063,97.1472
99.298,97.1321
100.548,97.1111
101.814,97.0815
103.096,97.0336
104.394,96.9673
105.708,96.8989
107.039,96.8384
108.387,96.7689
109.752,96.6774
111.134,96.5633
112.533,96.4323
113.950,96.2956
115.385,96.1679
116.838,96.0279
118.309,95.8424
119.798,95.6409
121.307,95.4808
122.834,95.3423
124.381,95.1730
125.947,94.9849
127.533,94.8098
129.138,94.6333
130.764,94.4437
132.411,94.2645
134.078,94.0902
135.766,93.8723
137.476,93.5932
139.207,93.2910
140.959,93.0203
142.734,92.7826
144.531,92.5327
146.351,92.2787
148.194,92.0845
150.060,91.9582
151.949,91.8500
153.863,91.7443
155.800,91.6552
157.762,91.5973
159.748,91.5565
161.759,91.5118
163.796,91.4437
165.858,91.3551
167.947,91.2775
170.061,91.2166
172.203,91.1488
174.371,91.0727
176.566,91.0080
178.790,90.9551
181.041,90.9105
183.320,90.8676
185.628,90.8237
187.966,90.7857
190.332,90.7536
192.729,90.7284
195.156,90.7115
197.613,90.7031
200.101,90.6978
202.620,90.6991
205.172,90.7092
207.755,90.7141
210.371,90.7086
213.020,90.7099
215.702,90.7259
218.418,90.7345
221.168,90.7319
223.952,90.7425
226.772,90.7745
229.628,90.8143
232.519,90.8555
235.447,90.9118
238.411,90.9767
241.413,91.0275
244.453,91.0649
247.531,91.1091
250.647,91.1556
253.803,91.1896
256.999,91.2171
260.235,91.2371
263.511,91.2642
266.829,91.2921
270.189,91.3140
273.591,91.3223
