frequency,raw
2.951,81.3890
2.988,81.4756
3.026,81.6146
3.064,81.7583
3.102,81.9032
3.141,82.0496
3.181,82.1974
3.221,82.3464
3.262,82.4967
3.303,82.6484
3.344,82.8012
3.386,82.9554
3.429,83.1107
3.472,83.2672
3.516,83.4248
3.560,83.5836
3.605,83.7434
3.650,83.9042
3.696,84.0660
3.743,84.2288
3.790,84.3923
3.838,84.5567
3.886,84.7218
3.935,84.8877
3.985,85.0542
4.035,85.2212
4.085,85.3886
4.137,85.5565
4.189,85.7247
4.242,85.8931
4.295,86.0616
4.349,86.2301
4.404,86.3985
4.459,86.5666
4.516,86.7345
4.572,86.9017
4.630,87.0685
4.688,87.2345
4.747,87.3995
4.807,87.5635
4.868,87.7262
4.929,87.8876
4.991,88.0472
5.054,88.2051
5.117,88.3610
5.182,88.5146
5.247,88.6658
5.313,88.8143
5.380,88.9597
5.448,89.1019
5.516,89.2407
5.586,89.3756
5.656,89.5064
5.727,89.6328
5.800,89.7545
5.873,89.8722
5.947,89.9878
6.021,90.1029
6.097,90.2180
6.174,90.3332
6.252,90.4483
6.330,90.5633
6.410,90.6782
6.491,90.7931
6.573,90.9077
6.655,91.0221
6.739,91.1362
6.824,91.2500
6.910,91.3635
6.997,91.4764
7.085,91.5889
7.174,91.7010
7.265,91.8124
7.356,91.9231
7.449,92.0332
7.542,92.1424
7.637,92.2509
7.734,92.3585
7.831,92.4650
7.930,92.5706
8.029,92.6751
8.131,92.7784
8.233,92.8803
8.337,92.9810
8.442,93.0803
8.548,93.1780
8.655,93.2742
8.764,93.3705
8.875,93.4686
8.987,93.5686
9.100,93.6688
9.214,93.7689
9.330,93.8687
9.448,93.9683
9.567,94.0676
9.687,94.1665
9.809,94.2650
9.933,94.3631
10.058,94.4607
10.184,94.5577
10.313,94.6542
10.442,94.7499
10.574,94.8451
10.707,94.9394
10.842,95.0329
10.978,95.1256
11.117,95.2173
11.257,95.3080
11.398,95.3976
11.542,95.4861
11.687,95.5736
11.834,95.6602
11.983,95.7466
12.134,95.8325
12.287,95.9180
12.442,96.0032
12.598,96.0877
12.757,96.1716
12.918,96.2550
13.080,96.3377
13.245,96.4197
13.412,96.5010
13.581,96.5814
13.752,96.6610
13.925,96.7396
14.100,96.8173
14.278,96.8938
