frequency,raw
2.951,71.2113
2.988,71.2918
3.026,71.4213
3.064,71.5550
3.102,71.6900
3.141,71.8261
3.181,71.9634
3.221,72.1020
3.262,72.2417
3.303,72.3825
3.344,72.5246
3.386,72.6677
3.429,72.8120
3.472,72.9573
3.516,73.1035
3.560,73.2509
3.605,73.3992
3.650,73.5485
3.696,73.6986
3.743,73.8496
3.790,74.0015
3.838,74.1541
3.886,74.3073
3.935,74.4614
3.985,74.6160
4.035,74.7712
4.085,74.9268
4.137,75.0829
4.189,75.2393
4.242,75.3960
4.295,75.5530
4.349,75.7099
4.404,75.8670
4.459,76.0239
4.516,76.1808
4.572,76.3373
4.630,76.4934
4.688,76.6491
4.747,76.8040
4.807,76.9582
4.868,77.1116
4.929,77.2639
4.991,77.4150
5.054,77.5647
5.117,77.7129
5.182,77.8594
5.247,78.0041
5.313,78.1466
5.380,78.2869
5.448,78.4246
5.516,78.5597
5.586,78.6917
5.656,78.8205
5.727,78.9459
5.800,79.0676
5.873,79.1861
5.947,79.3030
6.021,79.4194
6.097,79.5358
6.174,79.6519
6.252,79.7679
6.330,79.8838
6.410,79.9994
6.491,80.1148
6.573,80.2297
6.655,80.3444
6.739,80.4586
6.824,80.5722
6.910,80.6855
6.997,80.7980
7.085,80.9099
7.174,81.0211
7.265,81.1315
7.356,81.2411
7.449,81.3498
7.542,81.4574
7.637,81.5640
7.734,81.6695
7.831,81.7738
7.930,81.8768
8.029,81.9784
8.131,82.0786
8.233,82.1773
8.337,82.2743
8.442,82.3696
8.548,82.4631
8.655,82.5547
8.764,82.6450
8.875,82.7352
8.987,82.8255
9.100,82.9155
9.214,83.0052
9.330,83.0944
9.448,83.1832
9.567,83.2715
9.687,83.3590
9.809,83.4460
9.933,83.5323
10.058,83.6179
10.184,83.7026
10.313,83.7865
10.442,83.8695
10.574,83.9514
10.707,84.0323
10.842,84.1121
10.978,84.1908
11.117,84.2681
11.257,84.3443
11.398,84.4189
11.542,84.4921
11.687,84.5623
11.834,84.6287
11.983,84.6925
12.134,84.7553
12.287,84.8178
12.442,84.8799
12.598,84.9414
12.757,85.0025
12.918,85.0630
13.080,85.1228
13.245,85.1821
13.412,85.2407
13.581,85.2986
13.752,85.3556
13.925,85.4120
14.100,85.4674
14.278,85.5219
14.457,85.5754
14.639,85.6287
14.824,85.6822
15.010,85.7356
15.199,85.7886
15.391,85.8409
15.584,85.8925
15.781,85.9436
15.979,85.9939
16.181,86.0434
16.384,86.0920
16.591,86.1398
16.800,86.1867
17.011,86.2327
17.225,86.2776
17.442,86.3214
17.662,86.3639
17.884,86.4053
18.109,86.4456
18.337,86.4849
18.568,86.5233
18.802,86.5605
19.039,86.5967
19.278,86.6317
19.521,86.6654
19.767,86.6979
20.016,86.7292
20.268,86.7588
20.523,86.7860
20.781,86.8105
21.043,86.8327
21.308,86.8534
21.576,86.8727
21.848,86.8905
22.123,86.9068
22.402,86.9215
22.684,86.9346
22.969,86.9458
23.259,86.9549
23.551,86.9614
23.848,86.9655
24.148,86.9680
24.452,86.9696
24.760,86.9702
25.072,86.9700
25.388,86.9685
25.707,86.9660
26.031,86.9624
26.359,86.9559
26.691,86.9457
27.027,86.9330
27.367,86.9197
27.712,86.9057
28.060,86.8914
28.414,86.8764
28.772,86.8610
29.134,86.8452
29.501,86.8294
29.872,86.8134
30.248,86.7971
30.629,86.7803
31.015,86.7629
31.405,86.7448
31.801,86.7258
32.201,86.7009
32.607,86.6666
33.017,86.6255
33.433,86.5828
33.854,86.5392
34.280,86.4950
34.712,86.4504
35.149,86.4056
35.591,86.3606
36.039,86.3154
36.493,86.2699
36.953,86.2236
37.418,86.1762
37.889,86.1253
38.366,86.0667
38.849,85.9983
39.338,85.9230
39.834,85.8447
40.335,85.7671
40.843,85.6955
41.357,85.6332
41.878,85.5773
42.405,85.5231
42.939,85.4697
43.480,85.4175
44.027,85.3684
44.582,85.3250
45.143,85.2874
45.711,85.2518
46.287,85.2120
46.870,85.1495
47.460,85.0519
48.058,84.9255
48.663,84.7896
49.275,84.6573
49.896,84.5440
50.524,84.4564
51.160,84.3855
51.804,84.3157
52.457,84.2385
53.117,84.1564
53.786,84.0766
54.463,83.9970
55.149,83.9034
55.843,83.7810
56.546,83.6252
57.258,83.4483
57.979,83.2732
58.709,83.1193
59.449,82.9899
60.197,82.8739
60.955,82.7579
61.722,82.6386
62.500,82.5172
63.287,82.3953
64.083,82.2676
64.890,82.1277
65.707,81.9752
66.535,81.8166
67.372,81.6562
68.221,81.4951
69.080,81.3347
69.949,81.1830
70.830,81.0462
71.722,80.9219
72.625,80.8055
73.540,80.7048
74.465,80.6206
75.403,80.5388
76.352,80.4435
77.314,80.3317
78.287,80.2108
79.273,80.0880
80.271,79.9638
81.282,79.8392
82.305,79.7203
83.342,79.6080
84.391,79.4959
85.454,79.3754
86.530,79.2451
87.619,79.1187
88.722,79.0118
89.839,78.9163
90.971,78.7978
92.116,78.6388
93.276,78.4674
94.450,78.3214
95.639,78.2044
96.844,78.1032
98.063,78.0084
99.298,77.8837
100.548,77.6870
101.814,77.4470
103.096,77.2442
104.394,77.1107
105.708,77.0187
107.039,76.9498
108.387,76.9023
109.752,76.8732
111.134,76.8478
112.533,76.8139
113.950,76.7792
115.385,76.7516
116.838,76.6807
118.309,76.5135
119.798,76.3584
121.307,76.3657
122.834,76.4571
124.381,76.4753
125.947,76.4574
127.533,76.4939
129.138,76.5612
130.764,76.6154
132.411,76.6605
134.078,76.7308
135.766,76.8563
137.476,76.9947
139.207,77.0951
140.959,77.1942
142.734,77.3397
144.531,77.5049
146.351,77.6501
148.194,77.7790
150.060,77.9173
151.949,78.0787
153.863,78.2580
155.800,78.4532
157.762,78.6672
159.748,78.8666
161.759,78.9606
163.796,79.0335
165.858,79.1905
167.947,79.3785
170.061,79.5439
172.203,79.7499
174.371,79.9805
176.566,80.1703
178.790,80.3387
181.041,80.4928
183.320,80.6210
185.628,80.7261
187.966,80.8764
190.332,81.0902
192.729,81.3025
195.156,81.4584
197.613,81.5742
200.101,81.6729
202.620,81.8097
205.172,81.9815
207.755,82.1345
210.371,82.2327
213.020,82.3455
215.702,82.5150
218.418,82.7071
221.168,82.8637
223.952,82.9943
226.772,83.1275
229.628,83.2646
232.519,83.4029
235.447,83.5604
238.411,83.7338
241.413,83.8976
244.453,84.0457
247.531,84.1904
