frequency,raw
2.711,79.4052
2.745,79.5011
2.780,79.6548
2.815,79.8135
2.850,79.9736
2.886,80.1351
2.923,80.2980
2.959,80.4622
2.997,80.6279
3.034,80.7949
3.073,80.9632
3.111,81.1328
3.150,81.3037
3.190,81.4758
3.230,81.6491
3.271,81.8236
3.312,81.9993
3.354,82.1761
3.396,82.3539
3.439,82.5328
3.482,82.7127
3.526,82.8935
3.570,83.0752
3.615,83.2577
3.661,83.4410
3.707,83.6249
3.754,83.8097
3.801,83.9948
3.849,84.1806
3.897,84.3667
3.946,84.5532
3.996,84.7399
4.046,84.9268
4.097,85.1137
4.149,85.3006
4.201,85.4874
4.254,85.6739
4.307,85.8599
4.362,86.0455
4.417,86.2304
4.472,86.4144
4.528,86.5975
4.585,86.7796
4.643,86.9604
4.702,87.1396
4.761,87.3173
4.821,87.4931
4.882,87.6669
4.943,87.8384
5.005,88.0076
5.068,88.1740
5.132,88.3375
5.197,88.4977
5.262,88.6546
5.328,88.8077
5.395,88.9577
5.463,89.1059
5.532,89.2536
5.602,89.4012
5.672,89.5485
5.744,89.6955
5.816,89.8422
5.889,89.9886
5.964,90.1344
6.039,90.2797
6.115,90.4245
6.192,90.5685
6.270,90.7119
6.349,90.8545
6.428,90.9963
6.509,91.1369
6.591,91.2767
6.674,91.4153
6.758,91.5527
6.843,91.6888
6.930,91.8235
7.017,91.9567
7.105,92.0884
7.195,92.2184
7.285,92.3466
7.377,92.4728
7.470,92.5971
7.564,92.7193
7.659,92.8392
7.756,92.9566
7.853,93.0717
7.952,93.1840
8.052,93.2918
8.154,93.3941
8.256,93.4930
8.360,93.5907
8.466,93.6882
8.572,93.7854
8.680,93.8823
8.789,93.9791
8.900,94.0756
9.012,94.1720
9.126,94.2682
9.241,94.3645
9.357,94.4607
9.475,94.5568
9.594,94.6531
9.715,94.7497
9.837,94.8463
9.961,94.9433
10.086,95.0406
10.213,95.1386
10.342,95.2370
10.472,95.3361
10.604,95.4359
10.738,95.5350
10.873,95.6325
11.010,95.7293
11.148,95.8276
11.289,95.9276
11.431,96.0294
11.575,96.1327
11.720,96.2376
11.868,96.3438
12.017,96.4511
12.169,96.5594
12.322,96.6686
12.477,96.7784
12.634,96.8886
12.793,96.9991
12.954,97.1095
13.118,97.2196
13.283,97.3286
13.450,97.4261
13.619,97.5050
13.791,97.5700
13.964,97.6307
14.140,97.6886
14.318,97.7443
14.499,97.7983
14.681,97.8511
14.866,97.9036
15.053,97.9565
15.243,98.0105
15.435,98.0666
15.629,98.1256
15.826,98.1885
16.025,98.2552
16.227,98.3239
16.431,98.3932
16.638,98.4641
16.847,98.5371
17.060,98.6120
17.274,98.6881
17.492,98.7648
17.712,98.8415
17.935,98.9175
18.161,98.9920
18.390,99.0642
18.621,99.1333
18.856,99.1992
19.093,99.2629
19.333,99.3253
19.577,99.3863
19.823,99.4462
20.073,99.5048
20.326,99.5619
20.582,99.6178
20.841,99.6720
21.103,99.7246
21.369,99.7751
21.638,99.8229
21.910,99.8682
22.186,99.9121
22.466,99.9555
22.748,99.9984
23.035,100.0409
23.325,100.0830
23.619,100.1249
23.916,100.1664
24.217,100.2077
24.522,100.2485
24.831,100.2888
25.143,100.3288
25.460,100.3683
25.781,100.4071
26.105,100.4451
26.434,100.4819
26.767,100.5159
27.104,100.5447
27.445,100.5680
27.791,100.5878
28.140,100.6051
28.495,100.6200
28.854,100.6322
29.217,100.6416
29.585,100.6476
29.957,100.6497
30.334,100.6488
30.716,100.6455
31.103,100.6399
31.495,100.6320
31.891,100.6216
32.293,100.6066
32.699,100.5857
33.111,100.5593
33.528,100.5287
33.950,100.4941
34.378,100.4552
34.811,100.4123
35.249,100.3641
35.693,100.3081
36.142,100.2448
36.597,100.1782
37.058,100.1146
37.525,100.0677
37.997,100.0539
38.475,100.0768
38.960,100.1217
39.450,100.1692
39.947,100.2023
40.450,100.2127
40.959,100.2009
41.475,100.1686
41.997,100.1142
42.526,100.0361
43.062,99.9163
43.604,99.7395
44.153,99.5147
44.709,99.2735
45.272,99.0421
45.842,98.8333
46.419,98.6469
47.003,98.4804
47.595,98.3379
48.195,98.2287
48.801,98.1797
49.416,98.2031
50.038,98.2649
50.668,98.2921
51.306,98.2167
51.952,98.0238
52.606,97.7560
53.268,97.4751
53.939,97.2200
54.618,96.9968
55.306,96.7899
56.002,96.5971
56.708,96.4319
57.422,96.2987
58.145,96.1976
58.877,96.1388
59.618,96.1402
60.369,96.2014
61.129,96.2936
61.898,96.3878
62.678,96.4755
63.467,96.5583
64.266,96.6377
65.075,96.7101
65.895,96.7751
66.724,96.8473
67.564,96.9565
68.415,97.1118
69.277,97.2790
70.149,97.4039
71.032,97.4700
71.926,97.5123
72.832,97.5881
73.749,97.7169
74.678,97.8511
75.618,97.9039
76.570,97.8505
77.534,97.7648
78.510,97.7340
79.499,97.7587
80.500,97.7960
81.514,97.8252
82.540,97.8490
83.579,97.8756
84.632,97.9084
85.697,97.9453
86.776,97.9849
87.869,98.0272
88.975,98.0745
90.095,98.1281
91.230,98.1768
92.378,98.2096
93.542,98.2287
94.719,98.2420
95.912,98.2498
97.120,98.2464
98.343,98.2272
99.581,98.1904
100.835,98.1391
102.104,98.0748
103.390,97.9992
104.692,97.9115
106.010,97.8085
107.345,97.6804
108.696,97.5211
110.065,97.3427
111.451,97.1626
112.854,96.9718
114.275,96.7545
115.714,96.5234
117.171,96.2992
118.646,96.0735
120.140,95.8321
121.653,95.5829
123.184,95.3325
124.735,95.0754
126.306,94.8201
127.896,94.5817
129.507,94.3428
131.137,94.1022
132.788,93.8993
134.460,93.7185
