frequency,raw
2.711,80.6916
2.745,80.7868
2.780,80.9395
2.815,81.0973
2.850,81.2565
2.886,81.4172
2.923,81.5794
2.959,81.7430
2.997,81.9081
3.034,82.0746
3.073,82.2424
3.111,82.4115
3.150,82.5820
3.190,82.7537
3.230,82.9267
3.271,83.1009
3.312,83.2762
3.354,83.4526
3.396,83.6301
3.439,83.8085
3.482,83.9880
3.526,84.1683
3.570,84.3494
3.615,84.5312
3.661,84.7137
3.707,84.8967
3.754,85.0803
3.801,85.2643
3.849,85.4485
3.897,85.6330
3.946,85.8176
3.996,86.0020
4.046,86.1865
4.097,86.3706
4.149,86.5542
4.201,86.7374
4.254,86.9198
4.307,87.1014
4.362,87.2819
4.417,87.4613
4.472,87.6392
4.528,87.8154
4.585,87.9900
4.643,88.1625
4.702,88.3327
4.761,88.5003
4.821,88.6653
4.882,88.8272
4.943,88.9858
5.005,89.1408
5.068,89.2919
5.132,89.4388
5.197,89.5811
5.262,89.7184
5.328,89.8505
5.395,89.9783
5.463,90.1037
5.532,90.2285
5.602,90.3532
5.672,90.4779
5.744,90.6025
5.816,90.7269
5.889,90.8511
5.964,90.9752
6.039,91.0990
6.115,91.2224
6.192,91.3454
6.270,91.4681
6.349,91.5901
6.428,91.7117
6.509,91.8327
6.591,91.9529
6.674,92.0725
6.758,92.1912
6.843,92.3091
6.930,92.4261
7.017,92.5420
7.105,92.6568
7.195,92.7705
7.285,92.8829
7.377,92.9940
7.470,93.1036
7.564,93.2118
7.659,93.3184
7.756,93.4231
7.853,93.5263
7.952,93.6275
8.052,93.7283
8.154,93.8304
8.256,93.9338
8.360,94.0375
8.466,94.1410
8.572,94.2442
8.680,94.3472
8.789,94.4498
8.900,94.5522
9.012,94.6540
9.126,94.7554
9.241,94.8564
9.357,94.9567
9.475,95.0565
9.594,95.1555
9.715,95.2538
9.837,95.3513
9.961,95.4480
10.086,95.5438
10.213,95.6386
10.342,95.7324
10.472,95.8250
10.604,95.9165
10.738,96.0076
10.873,96.0989
11.010,96.1907
11.148,96.2823
11.289,96.3733
11.431,96.4638
11.575,96.5538
11.720,96.6431
11.868,96.7318
12.017,96.8196
12.169,96.9067
12.322,96.9930
12.477,97.0782
12.634,97.1626
12.793,97.2459
12.954,97.3280
13.118,97.4091
13.283,97.4887
13.450,97.5648
13.619,97.6356
13.791,97.7028
13.964,97.7689
14.140,97.8339
14.318,97.8983
14.499,97.9622
14.681,98.0258
14.866,98.0896
15.053,98.1534
15.243,98.2177
15.435,98.2829
15.629,98.3494
15.826,98.4172
16.025,98.4868
16.227,98.5579
16.431,98.6304
16.638,98.7045
16.847,98.7801
17.060,98.8570
17.274,98.9348
17.492,99.0131
17.712,99.0916
17.935,99.1699
18.161,99.2475
18.390,99.3240
18.621,99.3987
18.856,99.4700
19.093,99.5371
19.333,99.6017
