frequency,raw
2.951,81.7843
2.988,81.8605
3.026,81.9830
3.064,82.1095
3.102,82.2373
3.141,82.3661
3.181,82.4960
3.221,82.6270
3.262,82.7593
3.303,82.8925
3.344,83.0268
3.386,83.1622
3.429,83.2986
3.472,83.4360
3.516,83.5745
3.560,83.7139
3.605,83.8543
3.650,83.9956
3.696,84.1377
3.743,84.2808
3.790,84.4247
3.838,84.5694
3.886,84.7148
3.935,84.8610
3.985,85.0078
4.035,85.1552
4.085,85.3033
4.137,85.4519
4.189,85.6009
4.242,85.7503
4.295,85.9001
4.349,86.0503
4.404,86.2005
4.459,86.3510
4.516,86.5015
4.572,86.6520
4.630,86.8024
4.688,86.9526
4.747,87.1025
4.807,87.2520
4.868,87.4010
4.929,87.5495
4.991,87.6971
5.054,87.8440
5.117,87.9898
5.182,88.1345
5.247,88.2781
5.313,88.4201
5.380,88.5606
5.448,88.6994
5.516,88.8362
5.586,88.9710
5.656,89.1034
5.727,89.2334
5.800,89.3607
5.873,89.4858
5.947,89.6096
6.021,89.7332
6.097,89.8568
6.174,89.9803
6.252,90.1036
6.330,90.2269
6.410,90.3500
6.491,90.4728
6.573,90.5953
6.655,90.7176
6.739,90.8394
6.824,90.9608
6.910,91.0817
6.997,91.2020
7.085,91.3218
7.174,91.4409
7.265,91.5592
7.356,91.6767
7.449,91.7934
7.542,91.9091
7.637,92.0238
7.734,92.1374
7.831,92.2499
7.930,92.3611
8.029,92.4710
8.131,92.5795
8.233,92.6865
8.337,92.7918
8.442,92.8955
8.548,92.9973
8.655,93.0974
8.764,93.1962
8.875,93.2949
8.987,93.3937
9.100,93.4922
9.214,93.5901
9.330,93.6876
9.448,93.7844
9.567,93.8807
9.687,93.9761
9.809,94.0709
9.933,94.1648
10.058,94.2578
10.184,94.3499
10.313,94.4409
10.442,94.5309
10.574,94.6197
10.707,94.7073
10.842,94.7936
10.978,94.8785
11.117,94.9620
11.257,95.0439
11.398,95.1243
11.542,95.2028
11.687,95.2807
11.834,95.3576
11.983,95.4327
12.134,95.5044
12.287,95.5729
12.442,95.6384
12.598,95.7012
12.757,95.7618
12.918,95.8209
13.080,95.8787
13.245,95.9360
13.412,95.9933
13.581,96.0511
13.752,96.1103
13.925,96.1716
14.100,96.2357
14.278,96.3037
14.457,96.3763
14.639,96.4529
14.824,96.5329
15.010,96.6170
15.199,96.7061
15.391,96.7996
15.584,96.8968
15.781,96.9971
15.979,97.0995
16.181,97.2032
16.384,97.3072
16.591,97.4107
16.800,97.5123
17.011,97.6112
17.225,97.7057
17.442,97.7948
17.662,97.8786
17.884,97.9587
18.109,98.0370
18.337,98.1141
18.568,98.1900
18.802,98.2645
19.039,98.3376
19.278,98.4092
19.521,98.4792
19.767,98.5476
20.016,98.6141
20.268,98.6788
20.523,98.7415
20.781,98.8023
21.043,98.8615
21.308,98.9195
21.576,98.9761
21.848,99.0312
22.123,99.0850
22.402,99.1372
22.684,99.1877
22.969,99.2367
23.259,99.2837
23.551,99.3286
23.848,99.3714
24.148,99.4126
24.452,99.4524
24.760,99.4913
25.072,99.5294
25.388,99.5673
25.707,99.6051
26.031,99.6431
26.359,99.6792
26.691,99.7121
27.027,99.7424
27.367,99.7722
27.712,99.8008
28.060,99.8280
28.414,99.8530
28.772,99.8755
29.134,99.8939
29.501,99.9063
29.872,99.9117
30.248,99.9111
30.629,99.9059
31.015,99.8977
31.405,99.8881
31.801,99.8789
32.201,99.8700
32.607,99.8607
33.017,99.8514
33.433,99.8434
33.854,99.8367
34.280,99.8315
34.712,99.8280
35.149,99.8282
35.591,99.8365
36.039,99.8547
36.493,99.8798
36.953,99.9066
37.418,99.9289
37.889,99.9350
