frequency,raw
10.000,93.4167
10.150,93.5285
10.300,93.6393
10.440,93.7383
10.600,93.8502
10.750,93.9548
10.900,94.0590
11.060,94.1697
11.200,94.2667
11.380,94.3897
11.500,94.4702
11.720,94.6148
11.800,94.6660
12.060,94.8262
12.200,94.9088
12.410,95.0288
12.500,95.0793
12.650,95.1617
12.800,95.2430
13.150,95.4315
13.200,95.4583
13.400,95.5657
13.600,95.6715
13.800,95.7758
14.000,95.8760
14.300,96.0185
14.500,96.1072
14.750,96.2123
15.000,96.3118
15.250,96.4098
15.500,96.5087
15.750,96.6085
16.000,96.7107
16.250,96.8113
16.500,96.9100
16.750,97.0030
17.000,97.0892
17.250,97.1688
17.500,97.2430
17.750,97.3157
18.000,97.3882
18.250,97.4627
18.500,97.5397
18.750,97.6183
19.000,97.6972
19.250,97.7737
19.500,97.8470
19.750,97.9170
20.000,97.9828
20.300,98.0592
20.600,98.1345
20.900,98.2112
21.200,98.2887
21.400,98.3403
21.800,98.4425
22.000,98.4918
22.400,98.5852
22.700,98.6512
23.000,98.7127
23.300,98.7710
23.600,98.8265
24.000,98.8967
24.300,98.9475
24.700,99.0133
25.000,99.0610
25.400,99.1218
25.800,99.1768
26.200,99.2277
26.500,99.2645
26.900,99.3148
27.200,99.3540
27.600,99.4073
28.000,99.4565
28.500,99.5065
29.000,99.5462
29.500,99.5842
30.000,99.6247
30.400,99.6552
30.700,99.6738
31.100,99.6912
31.500,99.7027
32.000,99.7128
32.500,99.7217
33.000,99.7257
33.500,99.7213
34.000,99.7100
34.500,99.6957
35.000,99.6798
35.500,99.6603
36.000,99.6355
36.500,99.6043
37.000,99.5678
37.500,99.5277
38.200,99.4717
38.700,99.4302
39.500,99.3483
40.000,99.2888
40.600,99.2265
41.200,99.1890
41.800,99.1637
42.500,99.1185
43.100,99.0635
43.700,99.0128
44.400,98.9720
45.000,98.9393
45.500,98.9048
46.200,98.8557
46.800,98.8312
47.500,98.8228
48.200,98.8123
48.700,98.8005
49.400,98.7893
50.000,98.7798
50.800,98.7390
51.500,98.6813
52.200,98.6125
53.000,98.4872
53.800,98.3052
54.500,98.1337
55.200,97.9458
56.000,97.6955
57.000,97.3712
58.000,97.0272
59.000,96.6933
60.000,96.3875
60.800,96.1247
61.500,95.9180
62.200,95.7360
63.000,95.5252
64.000,95.2928
65.000,95.0992
66.000,94.9535
67.000,94.8797
68.000,94.8165
69.000,94.8075
70.000,94.8427
71.000,94.8718
72.000,94.9232
73.000,94.9963
74.000,95.0592
75.000,95.1368
76.200,95.2508
77.500,95.3065
78.800,95.3642
80.000,95.4283
81.200,95.4613
82.500,95.4990
83.800,95.5298
85.000,95.5697
86.200,95.6067
87.500,95.6375
88.500,95.6603
90.000,95.6847
91.200,95.6783
92.500,95.6965
93.800,95.6992
95.000,95.7213
96.200,95.7452
97.500,95.7685
98.800,95.7822
100.000,95.8062
101.500,95.8295
103.000,95.8475
104.400,95.8663
106.000,95.8572
107.500,95.8572
109.000,95.8397
110.600,95.8033
112.000,95.7618
113.800,95.6837
115.000,95.6253
117.200,95.4798
118.000,95.4155
120.600,95.1688
122.000,95.0573
124.100,94.8450
125.000,94.7558
126.500,94.5720
128.000,94.4090
131.500,93.9680
132.000,93.9042
134.000,93.6497
136.000,93.4135
138.000,93.1643
140.000,92.8942
143.000,92.4565
145.000,92.1967
147.500,91.9005
150.000,91.6723
152.500,91.4867
155.000,91.3555
157.500,91.2163
160.000,91.0898
162.500,90.9718
165.000,90.9148
167.500,90.9417
170.000,91.0002
172.500,91.0435
175.000,91.0597
177.500,91.0562
180.000,91.0662
182.500,91.0178
185.000,90.9950
187.500,90.9783
190.000,90.9708
192.500,90.9640
195.000,90.9563
197.500,90.9505
200.000,90.9342
203.000,90.9323
206.000,90.9323
209.000,90.9458
212.000,90.9693
214.000,90.9833
218.000,91.0153
220.000,91.0290
224.000,91.0640
227.000,91.0853
230.000,91.1137
233.000,91.1447
236.000,91.1705
240.000,91.2052
243.000,91.2653
247.000,91.3363
250.000,91.3907
254.000,91.4527
258.000,91.4993
262.000,91.5447
265.000,91.5725
269.000,91.6060
272.000,91.6278
276.000,91.6592
280.000,91.6827
285.000,91.7160
290.000,91.7520
295.000,91.7950
300.000,91.8403
304.000,91.8572
307.000,91.8810
311.000,91.9017
315.000,91.9220
320.000,91.9472
325.000,91.9662
330.000,91.9787
335.000,91.9902
340.000,92.0102
345.000,92.0273
350.000,92.0497
355.000,92.0722
360.000,92.0952
365.000,92.1132
370.000,92.1297
375.000,92.1417
382.000,92.1535
387.000,92.1547
395.000,92.1512
400.000,92.1445
406.000,92.1337
412.000,92.1338
418.000,92.1478
425.000,92.1790
431.000,92.2222
437.000,92.2798
444.000,92.3362
450.000,92.3663
455.000,92.3810
462.000,92.4067
468.000,92.4365
475.000,92.4737
482.000,92.5157
487.000,92.5398
494.000,92.5793
500.000,92.6120
508.000,92.6580
515.000,92.6987
522.000,92.7378
530.000,92.7785
538.000,92.8147
545.000,92.8358
552.000,92.8482
560.000,92.8422
570.000,92.8123
580.000,92.7680
590.000,92.7292
600.000,92.6993
608.000,92.6835
615.000,92.6803
622.000,92.6847
630.000,92.6955
640.000,92.7047
650.000,92.7163
660.000,92.7310
670.000,92.7600
680.000,92.8072
690.000,92.8663
700.000,92.9355
710.000,93.0113
720.000,93.0868
730.000,93.1727
740.000,93.2562
750.000,93.3397
762.000,93.4350
775.000,93.5290
788.000,93.6172
800.000,93.6918
812.000,93.7617
825.000,93.8367
838.000,93.9083
850.000,93.9702
862.000,94.0245
875.000,94.0777
885.000,94.1157
900.000,94.1527
912.000,94.1880
925.000,94.2232
938.000,94.2673
950.000,94.3113
962.000,94.3582
975.000,94.4037
988.000,94.4433
1000.000,94.4718
1015.000,94.5017
1030.000,94.5220
1044.000,94.5290
1060.000,94.5160
1075.000,94.4872
1090.000,94.4638
1106.000,94.4712
1120.000,94.5068
1138.000,94.5793
1150.000,94.6355
1172.000,94.7382
1180.000,94.7712
1206.000,94.8625
1220.000,94.9040
1241.000,94.9775
1250.000,95.0058
1265.000,95.0468
1280.000,95.0847
1315.000,95.1598
1320.000,95.1672
1340.000,95.1838
1360.000,95.2297
1380.000,95.2507
1400.000,95.2675
1430.000,95.3260
1450.000,95.3735
1475.000,95.4012
1500.000,95.4138
1525.000,95.4093
1550.000,95.3998
1575.000,95.4147
1600.000,95.4632
1625.000,95.5498
1650.000,95.6718
1675.000,95.8025
1700.000,95.9137
1725.000,95.9982
1750.000,96.0648
1775.000,96.1252
1800.000,96.1957
1825.000,96.3103
1850.000,96.4713
1875.000,96.6377
1900.000,96.8260
1925.000,97.0335
1950.000,97.2497
1975.000,97.4732
2000.000,97.7283
2030.000,98.0315
2060.000,98.3325
2090.000,98.6388
2120.000,98.9492
2140.000,99.1563
2180.000,99.5708
2200.000,99.7743
2240.000,100.1808
2270.000,100.5290
2300.000,100.9795
2330.000,101.3477
2360.000,101.5195
2400.000,101.6803
2430.000,101.8053
2470.000,101.9675
2500.000,102.0768
2540.000,102.2010
2580.000,102.3005
2620.000,102.3713
2650.000,102.4080
2690.000,102.4387
2720.000,102.4550
2760.000,102.4745
2800.000,102.4950
2850.000,102.5328
2900.000,102.5757
2950.000,102.5942
3000.000,102.5645
3040.000,102.4887
3070.000,102.3925
3110.000,102.1952
3150.000,101.9232
3200.000,101.5150
3250.000,101.0725
3300.000,100.6142
3350.000,100.1528
3400.000,99.6997
3450.000,99.2752
3500.000,98.8530
3550.000,98.3625
3600.000,97.7762
3650.000,97.1098
3700.000,96.4185
3750.000,95.7543
3820.000,94.9238
3870.000,94.4138
3950.000,93.7928
4000.000,93.4762
4060.000,93.2092
4120.000,93.2623
4180.000,93.6210
4250.000,94.1158
4310.000,94.3985
4370.000,94.5307
4440.000,94.5757
4500.000,94.5707
4550.000,94.5767
4620.000,94.6613
4680.000,94.7742
4750.000,94.8377
4820.000,94.8183
4870.000,94.7587
4940.000,94.6735
5000.000,94.6218
5080.000,94.5947
5150.000,94.6012
5220.000,94.6335
5300.000,94.6927
5380.000,94.7732
5450.000,94.8575
5520.000,94.9565
5600.000,95.0865
5700.000,95.2935
5800.000,95.5123
5900.000,95.7108
6000.000,95.8662
6080.000,95.9625
6150.000,96.0283
6220.000,96.1088
6300.000,96.3530
6400.000,96.7615
6500.000,97.2697
6600.000,97.4798
6700.000,97.4050
6800.000,97.0725
6900.000,96.5670
7000.000,95.9682
7100.000,95.3425
7200.000,94.7440
7300.000,94.1923
7400.000,93.7185
7500.000,93.3523
7620.000,93.0655
7750.000,92.8792
7880.000,92.7957
8000.000,92.8308
8120.000,92.9522
8250.000,92.9412
8380.000,92.3550
8500.000,90.4255
8620.000,86.5167
8750.000,82.8618
8850.000,81.8532
9000.000,82.7007
9120.000,84.3017
9250.000,85.8218
9380.000,86.9325
9500.000,87.5508
9620.000,87.6145
9750.000,86.8422
9880.000,85.3710
10000.000,84.8392
10150.000,85.4813
10300.000,85.9195
10440.000,86.2323
10600.000,86.6497
10750.000,87.1172
10900.000,87.5502
11060.000,87.9467
11200.000,88.3202
11380.000,89.0068
11500.000,89.6605
11720.000,90.9265
11800.000,91.0570
12060.000,89.4397
12200.000,87.9048
12410.000,85.3545
12500.000,84.2338
12650.000,82.3097
12800.000,80.3382
13150.000,75.1083
13200.000,74.1825
13400.000,72.2638
13600.000,75.2220
13800.000,78.7607
14000.000,82.2363
14300.000,86.2088
14500.000,86.8425
14750.000,86.3222
15000.000,86.3520
15250.000,87.2158
15500.000,88.6842
15750.000,90.5025
16000.000,92.2075
16250.000,92.4827
16500.000,91.7328
16750.000,90.2637
17000.000,87.8143
17250.000,84.3595
17500.000,83.4133
17750.000,85.8150
18000.000,87.5000
18250.000,88.5673
18500.000,88.3293
18750.000,86.1237
19000.000,83.2350
19250.000,80.6477
19500.000,78.2353
19750.000,75.1955
