frequency,raw
20.90,77.629
21.20,77.714
21.40,77.773
21.80,77.886
22.00,77.940
22.40,78.039
22.70,78.108
23.00,78.173
23.30,78.236
23.60,78.298
24.00,78.377
24.30,78.434
24.70,78.501
25.00,78.544
25.40,78.590
25.80,78.625
26.20,78.654
26.50,78.673
26.90,78.700
27.20,78.719
27.60,78.743
28.00,78.761
28.50,78.774
29.00,78.770
29.50,78.746
30.00,78.704
30.40,78.662
30.70,78.630
31.10,78.590
31.50,78.551
32.00,78.505
32.50,78.459
33.00,78.406
33.50,78.350
34.00,78.288
34.50,78.219
35.00,78.145
35.50,78.072
36.00,78.006
36.50,77.948
37.00,77.894
37.50,77.840
38.20,77.770
38.70,77.734
39.50,77.704
40.00,77.698
40.60,77.704
41.20,77.722
41.80,77.756
42.50,77.821
43.10,77.898
43.70,77.993
44.40,78.112
45.00,78.212
45.50,78.291
46.20,78.389
46.80,78.456
47.50,78.524
48.20,78.608
48.70,78.681
49.40,78.777
50.00,78.828
50.80,78.850
51.50,78.855
52.20,78.877
53.00,78.932
53.80,79.002
54.50,79.064
55.20,79.122
56.00,79.191
57.00,79.290
58.00,79.402
59.00,79.513
60.00,79.613
60.80,79.684
61.50,79.743
62.20,79.803
63.00,79.876
64.00,79.978
65.00,80.096
66.00,80.221
67.00,80.341
68.00,80.449
69.00,80.548
70.00,80.644
71.00,80.746
72.00,80.859
73.00,80.986
74.00,81.125
75.00,81.273
76.20,81.453
77.50,81.644
78.80,81.818
80.00,81.962
81.20,82.093
82.50,82.224
83.80,82.349
85.00,82.465
86.20,82.582
87.50,82.713
88.50,82.816
90.00,82.977
91.20,83.106
92.50,83.245
93.80,83.380
95.00,83.495
96.20,83.601
97.50,83.704
98.80,83.798
100.00,83.876
101.50,83.963
103.00,84.037
104.40,84.096
106.00,84.153
107.50,84.193
109.00,84.221
110.60,84.237
112.00,84.237
113.80,84.224
115.00,84.210
117.20,84.181
118.00,84.170
120.60,84.128
122.00,84.095
124.10,84.026
125.00,83.990
126.50,83.922
128.00,83.845
131.50,83.627
132.00,83.591
134.00,83.433
136.00,83.259
138.00,83.081
140.00,82.906
143.00,82.666
145.00,82.526
147.50,82.375
150.00,82.233
152.50,82.075
155.00,81.891
157.50,81.683
160.00,81.455
162.50,81.212
165.00,80.958
167.50,80.701
170.00,80.441
172.50,80.183
175.00,79.927
177.50,79.673
180.00,79.421
182.50,79.168
185.00,78.919
187.50,78.677
190.00,78.445
192.50,78.224
195.00,78.018
197.50,77.826
200.00,77.653
203.00,77.475
206.00,77.335
209.00,77.231
212.00,77.155
214.00,77.113
218.00,77.043
220.00,77.013
224.00,76.956
227.00,76.915
230.00,76.878
233.00,76.847
236.00,76.827
240.00,76.815
243.00,76.814
247.00,76.819
250.00,76.826
254.00,76.841
258.00,76.867
262.00,76.904
265.00,76.941
269.00,77.006
272.00,77.068
276.00,77.168
280.00,77.279
285.00,77.419
290.00,77.549
295.00,77.666
