frequency,raw
20.00,97.501
20.30,97.615
20.60,97.725
20.90,97.819
21.20,97.904
21.40,97.957
21.80,98.056
22.00,98.103
22.40,98.188
22.70,98.224
23.00,98.233
23.30,98.224
23.60,98.203
24.00,98.167
24.30,98.154
24.70,98.177
25.00,98.219
25.40,98.303
25.80,98.391
26.20,98.452
26.50,98.468
26.90,98.460
27.20,98.448
27.60,98.439
28.00,98.431
28.50,98.403
29.00,98.365
29.50,98.332
30.00,98.279
30.40,98.224
30.70,98.203
31.10,98.198
31.50,98.231
32.00,98.350
32.50,98.519
33.00,98.640
33.50,98.639
34.00,98.531
34.50,98.388
35.00,98.270
35.50,98.194
36.00,98.148
36.50,98.118
37.00,98.091
37.50,98.075
38.20,98.125
38.70,98.236
39.50,98.439
40.00,98.515
40.60,98.508
41.20,98.399
41.80,98.263
42.50,98.152
43.10,98.117
43.70,98.122
44.40,98.135
45.00,98.137
45.50,98.145
46.20,98.153
46.80,98.142
47.50,98.120
48.20,98.120
48.70,98.114
49.40,98.048
50.00,97.952
50.80,97.844
51.50,97.731
52.20,97.614
53.00,97.507
53.80,97.410
54.50,97.340
55.20,97.292
56.00,97.229
57.00,97.133
58.00,97.046
59.00,96.941
60.00,96.829
60.80,96.752
61.50,96.699
62.20,96.656
63.00,96.620
64.00,96.591
65.00,96.591
66.00,96.605
67.00,96.606
68.00,96.613
69.00,96.626
70.00,96.605
71.00,96.588
72.00,96.596
73.00,96.585
74.00,96.636
75.00,96.731
76.20,96.823
77.50,96.925
78.80,97.041
80.00,97.104
81.20,97.240
82.50,97.356
83.80,97.517
85.00,97.680
86.20,97.846
87.50,98.005
88.50,98.097
90.00,98.227
91.20,98.326
92.50,98.427
93.80,98.548
95.00,98.674
96.20,98.803
97.50,98.938
98.80,99.036
100.00,99.107
101.50,99.189
103.00,99.278
104.40,99.353
106.00,99.445
107.50,99.498
109.00,99.511
110.60,99.479
112.00,99.434
113.80,99.398
115.00,99.383
117.20,99.352
118.00,99.327
120.60,99.179
122.00,99.094
124.10,98.971
125.00,98.925
126.50,98.870
128.00,98.797
131.50,98.505
132.00,98.462
134.00,98.313
136.00,98.195
138.00,98.050
140.00,97.838
143.00,97.501
145.00,97.311
147.50,97.083
150.00,96.796
152.50,96.472
155.00,96.184
157.50,95.930
160.00,95.628
162.50,95.335
165.00,95.052
167.50,94.821
170.00,94.558
172.50,94.281
175.00,94.031
177.50,93.840
180.00,93.609
182.50,93.348
185.00,93.089
187.50,92.855
190.00,92.573
192.50,92.296
195.00,92.084
197.50,91.913
200.00,91.732
203.00,91.547
206.00,91.405
209.00,91.283
212.00,91.120
214.00,91.045
218.00,90.919
220.00,90.869
224.00,90.715
227.00,90.659
230.00,90.610
233.00,90.543
236.00,90.545
240.00,90.548
243.00,90.508
247.00,90.532
250.00,90.528
254.00,90.509
258.00,90.535
262.00,90.528
265.00,90.570
269.00,90.665
272.00,90.733
276.00,90.847
