frequency,raw
20.14,65.428
20.29,65.439
20.44,65.457
20.59,65.481
20.74,65.507
20.89,65.537
21.04,65.569
21.19,65.602
21.34,65.634
21.50,65.666
21.65,65.697
21.81,65.727
21.97,65.756
22.13,65.784
22.29,65.810
22.45,65.838
22.61,65.865
22.78,65.892
22.94,65.921
23.11,65.948
23.27,65.977
23.44,66.007
23.61,66.035
23.78,66.064
23.96,66.092
24.13,66.120
24.30,66.146
24.48,66.172
24.66,66.198
24.84,66.224
25.02,66.249
25.20,66.275
25.38,66.301
25.56,66.328
25.75,66.354
25.94,66.380
26.12,66.404
26.31,66.428
26.50,66.449
26.70,66.469
26.89,66.486
27.09,66.501
27.28,66.513
27.48,66.524
27.68,66.532
27.88,66.539
28.08,66.545
28.28,66.550
28.49,66.555
28.70,66.560
28.90,66.565
29.11,66.571
29.32,66.576
29.54,66.582
29.75,66.587
29.97,66.591
30.18,66.594
30.40,66.596
30.62,66.595
30.84,66.593
31.07,66.589
31.29,66.583
31.52,66.576
31.75,66.567
31.98,66.558
32.21,66.547
32.44,66.536
32.68,66.524
32.92,66.511
33.15,66.498
33.39,66.483
33.64,66.468
33.88,66.453
34.13,66.437
34.37,66.422
34.62,66.406
34.87,66.391
35.13,66.375
35.38,66.359
35.64,66.342
35.89,66.325
36.15,66.306
36.42,66.287
36.68,66.266
36.95,66.245
37.21,66.223
37.48,66.202
37.75,66.180
38.03,66.160
38.30,66.140
38.58,66.120
38.86,66.102
39.14,66.083
39.43,66.064
39.71,66.046
40.00,66.028
40.29,66.011
40.58,65.995
40.88,65.980
41.17,65.966
41.47,65.954
41.77,65.944
42.07,65.935
42.38,65.928
42.69,65.921
42.99,65.916
43.31,65.912
43.62,65.911
43.94,65.910
44.25,65.910
44.58,65.910
44.90,65.912
45.22,65.914
45.55,65.916
45.88,65.920
46.21,65.925
46.55,65.931
46.89,65.940
47.23,65.950
47.57,65.960
47.91,65.972
48.26,65.983
48.61,65.993
48.96,66.000
49.32,66.007
49.67,66.013
50.03,66.017
50.40,66.021
50.76,66.025
