frequency,raw
2.72,71.876
2.76,72.004
2.80,72.182
2.85,72.409
2.90,72.631
2.95,72.855
3.00,73.075
3.04,73.252
3.07,73.383
3.11,73.559
3.15,73.734
3.20,73.950
3.25,74.163
3.30,74.376
3.35,74.588
3.40,74.797
3.45,75.005
3.50,75.212
3.55,75.416
3.60,75.620
3.65,75.819
3.70,76.017
3.75,76.213
3.82,76.485
3.87,76.677
3.95,76.979
4.00,77.163
4.06,77.384
4.12,77.599
4.18,77.810
4.25,78.053
4.31,78.257
4.37,78.456
4.44,78.684
4.50,78.876
4.55,79.033
4.62,79.245
4.68,79.422
4.75,79.624
4.82,79.819
4.87,79.954
4.94,80.138
5.00,80.291
5.08,80.487
5.15,80.650
5.22,80.805
5.30,80.976
5.38,81.136
5.45,81.272
5.52,81.403
5.60,81.552
5.70,81.736
5.80,81.915
5.90,82.090
6.00,82.261
6.08,82.395
6.15,82.512
6.22,82.626
6.30,82.754
6.40,82.911
6.50,83.065
6.60,83.215
6.70,83.361
6.80,83.503
6.90,83.641
7.00,83.775
7.10,83.906
7.20,84.034
7.30,84.157
7.40,84.276
7.50,84.393
7.62,84.528
7.75,84.667
7.88,84.800
8.00,84.919
8.12,85.035
8.25,85.159
8.38,85.278
8.50,85.383
8.62,85.484
8.75,85.591
8.85,85.669
9.00,85.785
9.12,85.873
9.25,85.968
9.38,86.060
9.50,86.144
9.62,86.228
9.75,86.319
9.88,86.409
10.00,86.494
10.15,86.600
10.30,86.709
10.44,86.812
10.60,86.936
10.75,87.053
10.90,87.171
11.06,87.301
11.20,87.419
11.38,87.576
11.50,87.684
11.72,87.887
11.80,87.961
12.06,88.205
12.20,88.335
12.41,88.529
12.50,88.611
12.65,88.745
12.80,88.875
13.15,89.158
13.20,89.196
13.40,89.330
13.60,89.431
13.80,89.506
14.00,89.567
14.30,89.646
14.50,89.692
14.75,89.745
15.00,89.797
15.25,89.847
15.50,89.904
15.75,89.968
16.00,90.040
16.25,90.122
16.50,90.209
16.75,90.298
17.00,90.389
17.25,90.482
17.50,90.574
17.75,90.666
18.00,90.754
18.25,90.839
18.50,90.920
18.75,90.996
19.00,91.069
19.25,91.139
19.50,91.209
19.75,91.276
20.00,91.341
20.30,91.418
20.60,91.493
20.90,91.566
21.20,91.636
21.40,91.682
21.80,91.773
22.00,91.818
22.40,91.905
22.70,91.969
23.00,92.030
23.30,92.089
23.60,92.147
24.00,92.219
24.30,92.267
24.70,92.320
25.00,92.355
25.40,92.397
25.80,92.438
26.20,92.481
26.50,92.516
26.90,92.567
27.20,92.609
27.60,92.672
28.00,92.739
28.50,92.826
29.00,92.909
29.50,92.978
30.00,93.022
30.40,93.043
30.70,93.054
31.10,93.067
31.50,93.078
32.00,93.093
32.50,93.109
33.00,93.123
33.50,93.136
34.00,93.149
34.50,93.163
35.00,93.178
35.50,93.195
36.00,93.213
36.50,93.232
37.00,93.251
37.50,93.268
38.20,93.291
38.70,93.308
39.50,93.329
40.00,93.339
40.60,93.341
41.20,93.332
41.80,93.313
42.50,93.292
43.10,93.282
43.70,93.279
44.40,93.276
45.00,93.276
45.50,93.280
46.20,93.291
46.80,93.307
47.50,93.328
48.20,93.341
48.70,93.340
49.40,93.329
50.00,93.315
50.80,93.291
51.50,93.268
52.20,93.243
53.00,93.212
53.80,93.179
54.50,93.143
55.20,93.102
56.00,93.058
57.00,93.020
58.00,93.002
59.00,92.980
60.00,92.939
60.80,92.895
61.50,92.855
62.20,92.814
63.00,92.770
64.00,92.722
65.00,92.697
66.00,92.695
67.00,92.697
68.00,92.691
69.00,92.677
70.00,92.659
71.00,92.638
72.00,92.613
73.00,92.577
74.00,92.530
75.00,92.484
76.20,92.443
77.50,92.415
78.80,92.410
80.00,92.422
81.20,92.439
82.50,92.465
83.80,92.516
85.00,92.589
86.20,92.668
87.50,92.746
88.50,92.804
90.00,92.894
91.20,92.975
92.50,93.081
93.80,93.188
95.00,93.275
96.20,93.345
97.50,93.409
98.80,93.468
100.00,93.527
101.50,93.607
103.00,93.677
104.40,93.731
106.00,93.781
107.50,93.814
109.00,93.829
110.60,93.834
112.00,93.835
113.80,93.834
115.00,93.828
117.20,93.806
118.00,93.797
120.60,93.773
122.00,93.766
124.10,93.733
125.00,93.703
126.50,93.645
128.00,93.595
131.50,93.531
132.00,93.520
134.00,93.464
136.00,93.407
138.00,93.348
140.00,93.285
143.00,93.207
145.00,93.136
147.50,93.039
150.00,92.924
152.50,92.775
155.00,92.619
157.50,92.499
160.00,92.384
162.50,92.246
165.00,92.130
167.50,92.047
170.00,91.955
172.50,91.851
175.00,91.765
177.50,91.689
180.00,91.603
182.50,91.512
185.00,91.422
187.50,91.351
190.00,91.281
192.50,91.197
195.00,91.119
197.50,91.063
200.00,91.023
203.00,90.972
206.00,90.918
209.00,90.872
212.00,90.834
214.00,90.811
218.00,90.767
220.00,90.744
224.00,90.712
227.00,90.702
230.00,90.700
233.00,90.708
236.00,90.716
240.00,90.728
243.00,90.734
247.00,90.739
250.00,90.747
254.00,90.764
258.00,90.792
262.00,90.835
265.00,90.879
269.00,90.942
272.00,90.977
276.00,91.023
280.00,91.097
285.00,91.197
290.00,91.265
295.00,91.338
300.00,91.417
304.00,91.467
307.00,91.499
311.00,91.547
315.00,91.601
320.00,91.661
325.00,91.703
330.00,91.736
335.00,91.786
340.00,91.850
345.00,91.919
350.00,92.001
355.00,92.094
360.00,92.195
365.00,92.299
370.00,92.395
375.00,92.483
382.00,92.588
387.00,92.654
395.00,92.766
400.00,92.845
406.00,92.944
412.00,93.037
418.00,93.129
425.00,93.222
431.00,93.295
437.00,93.383
444.00,93.481
450.00,93.554
455.00,93.615
462.00,93.711
468.00,93.801
475.00,93.916
482.00,94.029
487.00,94.100
494.00,94.193
500.00,94.272
508.00,94.364
515.00,94.438
522.00,94.512
530.00,94.589
538.00,94.650
545.00,94.702
552.00,94.752
560.00,94.802
570.00,94.870
580.00,94.946
590.00,95.003
600.00,95.052
608.00,95.094
615.00,95.129
622.00,95.153
630.00,95.172
640.00,95.192
650.00,95.207
660.00,95.204
670.00,95.175
680.00,95.126
690.00,95.067
700.00,94.995
710.00,94.902
720.00,94.773
730.00,94.585
740.00,94.298
750.00,93.900
762.00,93.343
775.00,92.852
788.00,92.650
800.00,92.671
812.00,92.793
825.00,92.957
838.00,93.130
850.00,93.287
862.00,93.426
875.00,93.551
885.00,93.630
900.00,93.744
912.00,93.828
925.00,93.900
938.00,93.965
950.00,94.022
962.00,94.068
975.00,94.108
988.00,94.140
1000.00,94.162
1015.00,94.187
1030.00,94.215
1044.00,94.233
1060.00,94.250
1075.00,94.270
1090.00,94.284
1106.00,94.296
1120.00,94.316
1138.00,94.349
1150.00,94.368
1172.00,94.414
1180.00,94.438
1206.00,94.526
1220.00,94.574
1241.00,94.656
1250.00,94.692
1265.00,94.752
1280.00,94.816
1315.00,94.959
1320.00,94.977
1340.00,95.044
1360.00,95.111
1380.00,95.183
1400.00,95.248
1430.00,95.344
1450.00,95.414
1475.00,95.497
1500.00,95.570
1525.00,95.635
1550.00,95.718
1575.00,95.819
1600.00,95.927
1625.00,96.060
1650.00,96.229
1675.00,96.423
1700.00,96.632
1725.00,96.845
1750.00,97.049
1775.00,97.243
1800.00,97.422
1825.00,97.586
1850.00,97.751
1875.00,97.922
1900.00,98.090
1925.00,98.261
1950.00,98.463
1975.00,98.692
2000.00,98.930
2030.00,99.219
2060.00,99.525
2090.00,99.841
2120.00,100.144
2140.00,100.329
2180.00,100.659
2200.00,100.820
2240.00,101.156
2270.00,101.430
2300.00,101.751
2330.00,102.136
2360.00,102.564
2400.00,103.148
2430.00,103.553
2470.00,104.030
2500.00,104.339
2540.00,104.660
2580.00,104.859
2620.00,104.952
2650.00,104.971
2690.00,104.954
2720.00,104.924
2760.00,104.880
2800.00,104.845
2850.00,104.829
2900.00,104.849
2950.00,104.920
3000.00,105.035
3040.00,105.138
3070.00,105.216
3110.00,105.314
3150.00,105.397
3200.00,105.476
3250.00,105.523
3300.00,105.537
3350.00,105.507
3400.00,105.417
3450.00,105.255
3500.00,104.998
3550.00,104.603
3600.00,103.975
3650.00,102.939
3700.00,101.248
3750.00,98.664
3820.00,93.162
3870.00,88.064
3950.00,87.569
4000.00,90.689
4060.00,93.234
4120.00,94.782
4180.00,95.819
4250.00,96.786
4310.00,97.493
4370.00,98.026
4440.00,98.388
4500.00,98.515
4550.00,98.558
4620.00,98.647
4680.00,98.841
4750.00,99.194
4820.00,99.545
4870.00,99.704
4940.00,99.692
5000.00,99.447
5080.00,98.945
5150.00,98.479
5220.00,97.951
5300.00,97.105
5380.00,95.874
5450.00,94.459
5520.00,92.796
5600.00,90.834
5700.00,88.775
5800.00,87.376
5900.00,88.309
6000.00,91.855
6080.00,94.511
6150.00,96.451
6220.00,98.093
6300.00,99.505
6400.00,100.405
6500.00,100.522
6600.00,100.251
6700.00,99.751
6800.00,99.069
6900.00,98.439
7000.00,98.175
7100.00,98.417
7200.00,99.113
7300.00,100.110
7400.00,101.121
7500.00,101.935
7620.00,102.656
7750.00,103.249
7880.00,103.694
8000.00,104.028
8120.00,104.363
8250.00,104.637
8380.00,104.564
8500.00,104.118
8620.00,103.439
8750.00,102.651
8850.00,102.078
9000.00,101.126
9120.00,100.062
9250.00,98.656
9380.00,97.386
9500.00,96.472
9620.00,95.679
9750.00,94.928
9880.00,94.288
10000.00,93.655
10150.00,92.488
10300.00,90.483
10440.00,87.657
10600.00,85.309
10750.00,87.590
10900.00,90.928
11060.00,92.993
11200.00,93.782
11380.00,94.026
11500.00,94.038
11720.00,93.918
11800.00,93.724
12060.00,92.268
12200.00,91.085
12410.00,88.749
12500.00,87.420
12650.00,84.558
12800.00,80.804
13150.00,81.547
13200.00,82.953
13400.00,87.514
13600.00,90.138
13800.00,91.542
14000.00,92.442
14300.00,93.651
14500.00,94.379
14750.00,94.734
15000.00,94.005
15250.00,92.304
15500.00,90.200
15750.00,88.150
16000.00,86.944
16250.00,87.609
16500.00,89.515
16750.00,90.966
17000.00,90.818
17250.00,88.746
17500.00,85.129
17750.00,82.212
18000.00,81.441
18250.00,83.306
18500.00,86.961
18750.00,89.897
19000.00,91.328
19250.00,91.385
19500.00,90.592
19750.00,89.710
20000.00,89.095
20300.00,88.501
20600.00,87.977
20900.00,87.381
21200.00,86.173
21400.00,84.894
21800.00,82.398
