frequency,raw
2.72,73.448
2.76,73.577
2.80,73.756
2.85,73.983
2.90,74.207
2.95,74.432
3.00,74.654
3.04,74.833
3.07,74.964
3.11,75.142
3.15,75.319
3.20,75.536
3.25,75.752
3.30,75.968
3.35,76.180
3.40,76.393
3.45,76.603
3.50,76.812
3.55,77.019
3.60,77.225
3.65,77.426
3.70,77.626
3.75,77.824
3.82,78.099
3.87,78.292
3.95,78.597
4.00,78.782
4.06,79.004
4.12,79.219
4.18,79.431
4.25,79.674
4.31,79.878
4.37,80.075
4.44,80.302
4.50,80.492
4.55,80.646
4.62,80.855
4.68,81.026
4.75,81.223
4.82,81.411
4.87,81.541
4.94,81.718
5.00,81.862
5.08,82.045
5.15,82.196
5.22,82.338
5.30,82.492
5.38,82.634
5.45,82.752
5.52,82.868
5.60,82.999
5.70,83.160
5.80,83.319
5.90,83.476
6.00,83.629
6.08,83.749
6.15,83.854
6.22,83.957
6.30,84.073
6.40,84.218
6.50,84.359
6.60,84.496
6.70,84.632
6.80,84.764
6.90,84.894
7.00,85.021
7.10,85.147
7.20,85.269
7.30,85.389
7.40,85.506
7.50,85.620
7.62,85.754
7.75,85.895
7.88,86.032
8.00,86.156
8.12,86.282
8.25,86.424
8.38,86.565
8.50,86.693
8.62,86.819
8.75,86.953
8.85,87.053
9.00,87.203
9.12,87.319
9.25,87.442
9.38,87.564
9.50,87.673
9.62,87.780
9.75,87.894
9.88,88.005
10.00,88.105
10.15,88.227
10.30,88.345
10.44,88.453
10.60,88.572
10.75,88.675
10.90,88.769
11.06,88.863
11.20,88.942
11.38,89.042
11.50,89.107
11.72,89.225
11.80,89.266
12.06,89.398
12.20,89.467
12.41,89.567
12.50,89.610
12.65,89.680
12.80,89.746
13.15,89.898
13.20,89.918
13.40,90.001
13.60,90.082
13.80,90.162
14.00,90.241
14.30,90.357
14.50,90.432
14.75,90.525
15.00,90.615
15.25,90.704
15.50,90.790
15.75,90.874
16.00,90.957
16.25,91.037
16.50,91.117
16.75,91.195
17.00,91.272
17.25,91.347
17.50,91.421
17.75,91.494
18.00,91.565
18.25,91.635
18.50,91.703
18.75,91.768
19.00,91.832
19.25,91.892
19.50,91.949
19.75,92.005
20.00,92.059
20.30,92.124
20.60,92.184
20.90,92.245
21.20,92.300
21.40,92.335
21.80,92.392
22.00,92.415
22.40,92.455
22.70,92.481
23.00,92.502
23.30,92.522
23.60,92.537
24.00,92.551
24.30,92.555
24.70,92.554
25.00,92.548
25.40,92.538
25.80,92.523
26.20,92.504
26.50,92.486
26.90,92.458
27.20,92.433
27.60,92.393
28.00,92.350
28.50,92.292
29.00,92.237
29.50,92.186
30.00,92.137
30.40,92.099
30.70,92.070
31.10,92.029
31.50,91.986
32.00,91.921
32.50,91.841
33.00,91.745
33.50,91.640
34.00,91.531
34.50,91.428
35.00,91.337
35.50,91.257
36.00,91.190
36.50,91.135
37.00,91.093
37.50,91.073
38.20,91.100
38.70,91.150
39.50,91.260
40.00,91.348
40.60,91.491
41.20,91.675
41.80,91.877
42.50,92.110
43.10,92.300
43.70,92.482
44.40,92.681
45.00,92.834
45.50,92.926
46.20,92.953
46.80,92.892
47.50,92.779
48.20,92.646
48.70,92.540
49.40,92.376
50.00,92.226
50.80,92.069
51.50,92.032
52.20,92.091
53.00,92.212
53.80,92.353
54.50,92.492
55.20,92.638
56.00,92.793
57.00,92.897
58.00,92.901
59.00,92.904
60.00,92.957
60.80,93.029
61.50,93.105
62.20,93.191
63.00,93.304
64.00,93.464
65.00,93.651
66.00,93.861
67.00,94.064
68.00,94.234
69.00,94.385
70.00,94.539
71.00,94.707
72.00,94.885
73.00,95.067
74.00,95.249
75.00,95.428
76.20,95.630
77.50,95.835
78.80,96.025
80.00,96.184
81.20,96.324
82.50,96.457
83.80,96.579
85.00,96.684
86.20,96.783
87.50,96.880
88.50,96.950
90.00,97.043
91.20,97.101
92.50,97.138
93.80,97.164
95.00,97.192
96.20,97.220
97.50,97.232
98.80,97.222
100.00,97.204
101.50,97.183
103.00,97.167
104.40,97.146
106.00,97.087
107.50,97.004
109.00,96.915
110.60,96.834
112.00,96.770
113.80,96.672
115.00,96.594
117.20,96.452
118.00,96.400
120.60,96.211
122.00,96.100
124.10,95.933
125.00,95.860
126.50,95.728
128.00,95.582
131.50,95.251
132.00,95.203
134.00,94.993
136.00,94.761
138.00,94.525
140.00,94.303
143.00,93.985
145.00,93.766
147.50,93.514
150.00,93.250
152.50,92.950
155.00,92.660
157.50,92.387
160.00,92.123
162.50,91.863
165.00,91.613
167.50,91.381
170.00,91.147
172.50,90.905
175.00,90.684
177.50,90.475
180.00,90.261
182.50,90.049
185.00,89.837
187.50,89.635
190.00,89.472
192.50,89.341
195.00,89.215
197.50,89.092
200.00,88.986
203.00,88.869
206.00,88.746
209.00,88.631
212.00,88.532
214.00,88.465
218.00,88.326
220.00,88.276
224.00,88.257
227.00,88.305
230.00,88.379
233.00,88.471
236.00,88.568
240.00,88.694
243.00,88.781
247.00,88.895
250.00,88.980
254.00,89.084
258.00,89.173
262.00,89.244
265.00,89.297
269.00,89.374
272.00,89.433
276.00,89.510
280.00,89.589
285.00,89.693
290.00,89.793
295.00,89.886
300.00,89.987
304.00,90.056
307.00,90.106
311.00,90.174
315.00,90.255
320.00,90.362
325.00,90.468
330.00,90.566
335.00,90.671
340.00,90.800
345.00,90.934
350.00,91.059
355.00,91.184
360.00,91.323
365.00,91.486
370.00,91.662
375.00,91.832
382.00,92.079
387.00,92.263
395.00,92.538
400.00,92.709
406.00,92.906
412.00,93.097
418.00,93.284
425.00,93.481
431.00,93.626
437.00,93.762
444.00,93.910
450.00,94.016
455.00,94.090
462.00,94.178
468.00,94.240
475.00,94.294
482.00,94.335
487.00,94.360
494.00,94.388
500.00,94.412
508.00,94.441
515.00,94.462
522.00,94.481
530.00,94.504
538.00,94.526
545.00,94.550
552.00,94.575
560.00,94.596
570.00,94.632
580.00,94.691
590.00,94.741
600.00,94.799
608.00,94.843
615.00,94.864
622.00,94.870
630.00,94.862
640.00,94.808
650.00,94.692
660.00,94.512
670.00,94.248
680.00,93.845
690.00,93.321
700.00,92.783
710.00,92.350
720.00,92.093
730.00,92.002
740.00,92.036
750.00,92.124
762.00,92.237
775.00,92.332
788.00,92.404
800.00,92.460
812.00,92.513
825.00,92.568
838.00,92.596
850.00,92.602
862.00,92.609
875.00,92.626
885.00,92.648
900.00,92.691
912.00,92.730
925.00,92.763
938.00,92.787
950.00,92.809
962.00,92.828
975.00,92.834
988.00,92.829
1000.00,92.817
1015.00,92.791
1030.00,92.761
1044.00,92.741
1060.00,92.719
1075.00,92.696
1090.00,92.669
1106.00,92.638
1120.00,92.619
1138.00,92.607
1150.00,92.605
1172.00,92.608
1180.00,92.612
1206.00,92.615
1220.00,92.614
1241.00,92.621
1250.00,92.626
1265.00,92.638
1280.00,92.653
1315.00,92.670
1320.00,92.671
1340.00,92.679
1360.00,92.695
1380.00,92.718
1400.00,92.743
1430.00,92.776
1450.00,92.788
1475.00,92.799
1500.00,92.820
1525.00,92.851
1550.00,92.903
1575.00,92.975
1600.00,93.083
1625.00,93.242
1650.00,93.446
1675.00,93.688
1700.00,93.928
1725.00,94.143
1750.00,94.340
1775.00,94.519
1800.00,94.678
1825.00,94.830
1850.00,94.979
1875.00,95.126
1900.00,95.280
1925.00,95.447
1950.00,95.636
1975.00,95.834
2000.00,96.030
2030.00,96.255
2060.00,96.465
2090.00,96.666
2120.00,96.864
2140.00,96.998
2180.00,97.286
2200.00,97.437
2240.00,97.739
2270.00,97.989
2300.00,98.314
2330.00,98.733
2360.00,99.191
2400.00,99.794
2430.00,100.231
2470.00,100.799
2500.00,101.206
2540.00,101.683
2580.00,102.043
2620.00,102.288
2650.00,102.410
2690.00,102.512
2720.00,102.559
2760.00,102.602
2800.00,102.620
2850.00,102.609
2900.00,102.597
2950.00,102.606
3000.00,102.618
3040.00,102.618
3070.00,102.603
3110.00,102.556
3150.00,102.485
3200.00,102.371
3250.00,102.210
3300.00,102.001
3350.00,101.757
3400.00,101.475
3450.00,101.136
3500.00,100.695
3550.00,100.095
3600.00,99.267
3650.00,98.135
3700.00,96.626
3750.00,94.655
3820.00,90.935
3870.00,88.401
3950.00,89.596
4000.00,92.029
4060.00,94.608
4120.00,96.562
4180.00,97.888
4250.00,98.727
4310.00,99.037
4370.00,99.167
4440.00,99.222
4500.00,99.228
4550.00,99.213
4620.00,99.168
4680.00,99.131
4750.00,99.154
4820.00,99.350
4870.00,99.614
4940.00,100.087
5000.00,100.507
5080.00,100.966
5150.00,101.141
5220.00,100.977
5300.00,100.316
5380.00,99.251
5450.00,98.235
5520.00,97.439
5600.00,97.063
5700.00,97.294
5800.00,97.748
5900.00,97.981
6000.00,97.711
6080.00,97.067
6150.00,96.230
6220.00,95.314
6300.00,94.673
6400.00,94.876
6500.00,95.307
6600.00,95.328
6700.00,95.145
6800.00,95.118
6900.00,95.428
7000.00,95.968
7100.00,96.501
7200.00,96.903
7300.00,97.253
7400.00,97.726
7500.00,98.354
7620.00,99.163
7750.00,99.950
7880.00,100.578
8000.00,101.040
8120.00,101.459
8250.00,101.776
8380.00,101.679
8500.00,101.166
8620.00,100.390
8750.00,99.466
8850.00,98.868
9000.00,98.316
