frequency,raw
10.00,85.593
10.07,85.664
10.15,85.732
10.22,85.800
10.29,85.865
10.37,85.928
10.44,85.990
10.52,86.050
10.59,86.108
10.67,86.164
10.75,86.218
10.83,86.270
10.91,86.320
10.98,86.369
11.06,86.416
11.14,86.462
11.22,86.506
11.31,86.550
11.39,86.592
11.47,86.634
11.55,86.675
11.64,86.715
11.72,86.756
11.81,86.796
11.89,86.836
11.98,86.877
12.07,86.917
12.15,86.958
12.24,86.999
12.33,87.041
12.42,87.083
12.51,87.125
12.60,87.167
12.69,87.209
12.78,87.252
12.88,87.294
12.97,87.336
13.06,87.377
13.16,87.418
13.25,87.459
13.35,87.499
13.45,87.538
13.54,87.576
13.64,87.613
13.74,87.650
13.84,87.686
13.94,87.721
14.04,87.756
14.14,87.790
14.24,87.824
14.35,87.857
14.45,87.891
14.56,87.925
14.66,87.958
14.77,87.993
14.88,88.027
14.98,88.062
15.09,88.098
15.20,88.134
15.31,88.170
15.42,88.206
15.53,88.243
15.65,88.280
15.76,88.316
15.87,88.352
15.99,88.387
16.10,88.422
16.22,88.455
16.34,88.488
16.46,88.519
16.58,88.548
16.70,88.577
16.82,88.603
16.94,88.629
17.06,88.653
17.19,88.676
17.31,88.698
17.44,88.719
17.56,88.740
17.69,88.760
17.82,88.779
17.95,88.798
18.08,88.817
18.21,88.835
18.34,88.852
18.47,88.870
18.61,88.886
18.74,88.903
18.88,88.918
19.01,88.932
19.15,88.946
19.29,88.959
19.43,88.971
19.57,88.982
19.71,88.993
19.86,89.004
20.00,89.014
20.14,89.024
20.29,89.034
20.44,89.044
20.59,89.054
20.74,89.064
20.89,89.073
21.04,89.082
21.19,89.090
21.34,89.096
21.50,89.101
21.65,89.105
21.81,89.107
21.97,89.108
22.13,89.108
22.29,89.106
22.45,89.105
22.61,89.104
22.78,89.103
22.94,89.103
23.11,89.104
23.27,89.105
23.44,89.106
23.61,89.108
23.78,89.109
23.96,89.108
24.13,89.106
24.30,89.101
24.48,89.095
24.66,89.086
24.84,89.076
25.02,89.065
25.20,89.053
25.38,89.042
25.56,89.032
25.75,89.023
25.94,89.016
26.12,89.010
26.31,89.005
26.50,89.001
26.70,88.997
26.89,88.991
27.09,88.983
27.28,88.973
27.48,88.959
27.68,88.941
27.88,88.919
28.08,88.892
28.28,88.862
28.49,88.828
28.70,88.791
28.90,88.751
29.11,88.711
29.32,88.671
29.54,88.632
29.75,88.596
29.97,88.563
30.18,88.532
30.40,88.504
30.62,88.478
30.84,88.452
31.07,88.425
31.29,88.396
31.52,88.365
31.75,88.332
31.98,88.299
32.21,88.267
32.44,88.238
32.68,88.213
32.92,88.193
33.15,88.179
33.39,88.168
33.64,88.159
33.88,88.149
34.13,88.135
34.37,88.116
34.62,88.092
34.87,88.062
35.13,88.029
35.38,87.995
35.64,87.964
35.89,87.936
36.15,87.913
36.42,87.895
36.68,87.879
36.95,87.864
37.21,87.847
37.48,87.829
37.75,87.808
38.03,87.786
38.30,87.765
38.58,87.746
38.86,87.732
39.14,87.721
39.43,87.713
39.71,87.707
40.00,87.700
40.29,87.692
40.58,87.681
40.88,87.670
41.17,87.658
41.47,87.649
41.77,87.643
42.07,87.641
42.38,87.644
42.69,87.648
42.99,87.652
43.31,87.650
43.62,87.640
43.94,87.616
44.25,87.578
44.58,87.526
44.90,87.463
45.22,87.393
45.55,87.319
45.88,87.245
46.21,87.172
46.55,87.099
46.89,87.026
47.23,86.951
47.57,86.874
47.91,86.795
48.26,86.718
48.61,86.644
48.96,86.575
