frequency,raw
20.00,98.722
20.30,98.804
20.60,98.883
20.90,98.961
21.20,99.035
21.40,99.084
21.80,99.177
22.00,99.222
22.40,99.309
22.70,99.372
23.00,99.433
23.30,99.491
23.60,99.547
24.00,99.619
24.30,99.671
24.70,99.734
25.00,99.781
25.40,99.840
25.80,99.897
26.20,99.951
26.50,99.990
26.90,100.041
27.20,100.078
27.60,100.126
28.00,100.172
28.50,100.228
29.00,100.281
29.50,100.329
30.00,100.374
30.40,100.408
30.70,100.431
31.10,100.462
31.50,100.490
32.00,100.522
32.50,100.550
33.00,100.574
33.50,100.596
34.00,100.616
34.50,100.637
35.00,100.658
35.50,100.681
36.00,100.706
36.50,100.730
37.00,100.752
37.50,100.774
38.20,100.803
38.70,100.822
39.50,100.850
40.00,100.865
40.60,100.877
41.20,100.881
41.80,100.880
42.50,100.880
43.10,100.886
43.70,100.902
44.40,100.930
45.00,100.953
45.50,100.965
46.20,100.960
46.80,100.940
47.50,100.902
48.20,100.855
48.70,100.814
49.40,100.746
50.00,100.683
50.80,100.607
51.50,100.557
52.20,100.521
53.00,100.487
53.80,100.453
54.50,100.421
55.20,100.387
56.00,100.352
57.00,100.327
58.00,100.323
59.00,100.324
60.00,100.321
60.80,100.318
61.50,100.319
62.20,100.327
63.00,100.346
64.00,100.388
65.00,100.461
66.00,100.562
67.00,100.672
68.00,100.774
69.00,100.872
70.00,100.979
71.00,101.101
72.00,101.230
73.00,101.361
74.00,101.490
75.00,101.621
76.20,101.777
77.50,101.943
78.80,102.096
80.00,102.225
81.20,102.340
82.50,102.457
83.80,102.563
85.00,102.655
86.20,102.737
87.50,102.817
88.50,102.872
90.00,102.948
91.20,103.004
92.50,103.053
93.80,103.093
95.00,103.123
96.20,103.148
97.50,103.173
98.80,103.196
100.00,103.213
101.50,103.227
103.00,103.234
104.40,103.236
106.00,103.231
107.50,103.222
109.00,103.207
110.60,103.186
112.00,103.163
113.80,103.131
115.00,103.107
117.20,103.058
118.00,103.038
120.60,102.969
122.00,102.930
124.10,102.874
125.00,102.851
126.50,102.809
128.00,102.764
131.50,102.644
132.00,102.624
134.00,102.544
136.00,102.463
138.00,102.376
140.00,102.286
143.00,102.162
145.00,102.087
147.50,101.995
150.00,101.899
152.50,101.793
155.00,101.676
157.50,101.549
160.00,101.413
162.50,101.274
165.00,101.139
167.50,101.014
170.00,100.906
172.50,100.812
175.00,100.727
177.50,100.641
180.00,100.550
182.50,100.457
185.00,100.360
187.50,100.261
190.00,100.160
192.50,100.055
195.00,99.948
197.50,99.841
200.00,99.735
203.00,99.602
206.00,99.448
209.00,99.267
212.00,99.072
214.00,98.952
218.00,98.774
220.00,98.714
224.00,98.593
227.00,98.481
230.00,98.355
233.00,98.222
236.00,98.085
240.00,97.898
243.00,97.754
247.00,97.558
250.00,97.412
254.00,97.215
