frequency,raw
20.00,98.716
20.30,98.794
20.60,98.869
20.90,98.943
21.20,99.014
21.40,99.060
21.80,99.149
22.00,99.193
22.40,99.278
22.70,99.339
23.00,99.398
23.30,99.455
23.60,99.510
24.00,99.580
24.30,99.629
24.70,99.691
25.00,99.735
25.40,99.791
25.80,99.846
26.20,99.897
26.50,99.934
26.90,99.982
27.20,100.017
27.60,100.062
28.00,100.107
28.50,100.159
29.00,100.207
29.50,100.252
30.00,100.291
30.40,100.317
30.70,100.335
31.10,100.359
31.50,100.383
32.00,100.417
32.50,100.455
33.00,100.498
33.50,100.544
34.00,100.591
34.50,100.635
35.00,100.672
35.50,100.701
36.00,100.722
36.50,100.740
37.00,100.755
37.50,100.767
38.20,100.775
38.70,100.776
39.50,100.778
40.00,100.780
40.60,100.791
41.20,100.808
41.80,100.829
42.50,100.858
43.10,100.885
43.70,100.916
44.40,100.957
45.00,100.993
45.50,101.014
46.20,101.025
46.80,101.017
47.50,100.995
48.20,100.963
48.70,100.932
49.40,100.883
50.00,100.838
50.80,100.780
51.50,100.734
52.20,100.694
53.00,100.650
53.80,100.609
54.50,100.575
55.20,100.543
56.00,100.514
57.00,100.500
58.00,100.511
59.00,100.522
60.00,100.508
60.80,100.486
61.50,100.471
62.20,100.468
63.00,100.482
64.00,100.522
65.00,100.583
66.00,100.662
67.00,100.749
68.00,100.843
69.00,100.941
70.00,101.046
71.00,101.156
72.00,101.271
73.00,101.388
74.00,101.508
75.00,101.631
76.20,101.786
77.50,101.958
78.80,102.116
80.00,102.248
81.20,102.368
82.50,102.491
83.80,102.603
85.00,102.701
86.20,102.787
87.50,102.870
88.50,102.926
90.00,102.998
91.20,103.047
92.50,103.093
93.80,103.133
95.00,103.165
96.20,103.192
97.50,103.216
98.80,103.236
100.00,103.251
101.50,103.265
103.00,103.273
104.40,103.276
106.00,103.274
107.50,103.267
109.00,103.254
110.60,103.234
112.00,103.212
113.80,103.179
115.00,103.155
117.20,103.106
118.00,103.087
120.60,103.020
122.00,102.986
124.10,102.936
125.00,102.915
126.50,102.880
128.00,102.840
131.50,102.733
132.00,102.715
134.00,102.644
136.00,102.569
138.00,102.486
140.00,102.395
143.00,102.258
145.00,102.172
147.50,102.072
150.00,101.979
152.50,101.882
155.00,101.782
157.50,101.680
160.00,101.573
162.50,101.462
165.00,101.345
167.50,101.222
170.00,101.091
172.50,100.957
175.00,100.828
177.50,100.703
180.00,100.584
182.50,100.477
185.00,100.383
187.50,100.296
190.00,100.210
192.50,100.121
195.00,100.028
197.50,99.933
200.00,99.838
203.00,99.721
206.00,99.594
209.00,99.452
212.00,99.299
214.00,99.189
218.00,98.942
220.00,98.812
224.00,98.581
227.00,98.462
230.00,98.375
233.00,98.287
236.00,98.182
240.00,98.017
243.00,97.885
247.00,97.703
250.00,97.564
254.00,97.377
258.00,97.190
262.00,97.003
265.00,96.865
269.00,96.686
272.00,96.557
276.00,96.397
280.00,96.244
285.00,96.047
290.00,95.840
295.00,95.632
300.00,95.423
304.00,95.247
307.00,95.111
311.00,94.922
315.00,94.731
320.00,94.493
325.00,94.267
330.00,94.060
335.00,93.879
340.00,93.756
345.00,93.760
350.00,93.925
355.00,94.185
360.00,94.425
365.00,94.579
370.00,94.646
375.00,94.662
382.00,94.651
387.00,94.642
395.00,94.641
400.00,94.650
406.00,94.663
412.00,94.679
418.00,94.701
425.00,94.733
431.00,94.767
437.00,94.815
444.00,94.890
450.00,94.958
455.00,95.011
462.00,95.078
468.00,95.135
475.00,95.203
482.00,95.263
487.00,95.297
494.00,95.334
500.00,95.362
508.00,95.396
515.00,95.421
522.00,95.444
530.00,95.465
538.00,95.489
545.00,95.511
552.00,95.534
560.00,95.560
570.00,95.593
580.00,95.629
590.00,95.656
600.00,95.676
608.00,95.691
615.00,95.704
622.00,95.714
630.00,95.723
640.00,95.732
650.00,95.739
660.00,95.744
670.00,95.742
680.00,95.728
690.00,95.701
700.00,95.685
710.00,95.709
720.00,95.758
730.00,95.803
740.00,95.838
750.00,95.869
762.00,95.906
775.00,95.934
788.00,95.948
800.00,95.953
812.00,95.952
825.00,95.944
838.00,95.931
850.00,95.912
862.00,95.886
875.00,95.841
885.00,95.794
900.00,95.696
912.00,95.591
925.00,95.468
938.00,95.376
950.00,95.370
962.00,95.439
975.00,95.546
988.00,95.642
1000.00,95.725
1015.00,95.843
1030.00,95.960
1044.00,96.034
1060.00,96.072
1075.00,96.083
1090.00,96.084
1106.00,96.084
1120.00,96.090
1138.00,96.104
1150.00,96.118
1172.00,96.151
1180.00,96.165
1206.00,96.215
1220.00,96.243
1241.00,96.288
1250.00,96.309
1265.00,96.346
1280.00,96.387
1315.00,96.493
1320.00,96.509
1340.00,96.579
1360.00,96.661
1380.00,96.765
1400.00,96.898
1430.00,97.107
1450.00,97.231
1475.00,97.392
1500.00,97.575
1525.00,97.766
1550.00,97.956
1575.00,98.152
1600.00,98.358
1625.00,98.564
1650.00,98.767
1675.00,98.969
1700.00,99.160
1725.00,99.344
1750.00,99.530
1775.00,99.722
1800.00,99.918
1825.00,100.120
1850.00,100.325
1875.00,100.536
1900.00,100.749
1925.00,100.955
1950.00,101.153
1975.00,101.346
2000.00,101.533
2030.00,101.750
2060.00,101.960
2090.00,102.173
2120.00,102.389
2140.00,102.535
2180.00,102.835
2200.00,102.981
2240.00,103.231
2270.00,103.409
2300.00,103.647
2330.00,103.943
2360.00,104.226
2400.00,104.535
2430.00,104.724
2470.00,104.936
2500.00,105.070
2540.00,105.209
2580.00,105.294
2620.00,105.337
2650.00,105.381
2690.00,105.530
2720.00,105.706
2760.00,105.937
2800.00,106.117
2850.00,106.250
2900.00,106.196
2950.00,105.809
3000.00,105.454
3040.00,105.721
3070.00,106.129
3110.00,106.535
3150.00,106.686
3200.00,106.680
3250.00,106.611
3300.00,106.506
3350.00,106.338
3400.00,106.102
3450.00,105.835
3500.00,105.599
3550.00,105.435
3600.00,105.330
3650.00,105.251
3700.00,105.187
3750.00,105.136
3820.00,105.084
3870.00,105.072
3950.00,105.117
4000.00,105.165
4060.00,105.188
4120.00,105.117
4180.00,104.994
4250.00,104.941
4310.00,105.013
4370.00,105.154
4440.00,105.353
4500.00,105.496
4550.00,105.550
4620.00,105.498
4680.00,105.385
4750.00,105.291
4820.00,105.287
4870.00,105.310
4940.00,105.326
5000.00,105.326
5080.00,105.353
5150.00,105.439
5220.00,105.580
5300.00,105.787
5380.00,106.041
5450.00,106.322
5520.00,106.662
5600.00,107.113
5700.00,107.734
5800.00,108.249
5900.00,108.405
6000.00,108.107
6080.00,107.799
6150.00,107.618
6220.00,107.432
6300.00,107.097
6400.00,106.584
6500.00,106.111
6600.00,105.664
6700.00,105.191
6800.00,104.710
6900.00,104.333
7000.00,104.177
7100.00,104.197
7200.00,104.237
7300.00,104.296
7400.00,104.473
7500.00,104.760
7620.00,105.010
7750.00,104.850
7880.00,104.352
8000.00,104.167
8120.00,104.308
8250.00,104.138
8380.00,103.468
8500.00,102.783
8620.00,102.200
8750.00,101.602
8850.00,101.145
9000.00,100.567
9120.00,100.223
9250.00,99.936
9380.00,99.726
9500.00,99.590
9620.00,99.524
9750.00,99.607
9880.00,99.874
10000.00,100.133
10150.00,100.319
10300.00,100.333
10440.00,100.016
10600.00,99.103
10750.00,98.033
10900.00,97.196
11060.00,96.454
11200.00,95.536
11380.00,93.718
11500.00,92.187
11720.00,89.960
11800.00,89.731
12060.00,89.692
12200.00,89.552
12410.00,89.931
12500.00,90.220
12650.00,90.595
12800.00,90.752
13150.00,90.645
13200.00,90.666
13400.00,91.002
13600.00,91.469
13800.00,91.718
14000.00,91.816
14300.00,92.102
14500.00,92.340
14750.00,92.587
15000.00,92.616
15250.00,92.204
15500.00,91.282
15750.00,90.072
16000.00,89.225
16250.00,89.443
16500.00,90.391
16750.00,90.973
17000.00,90.335
17250.00,88.548
17500.00,86.019
17750.00,82.976
18000.00,79.725
18250.00,77.637
18500.00,77.054
18750.00,76.352
19000.00,74.897
19250.00,75.135
19500.00,76.677
19750.00,77.674
20000.00,77.980
