frequency,raw
20.00,98.900
20.30,98.982
20.60,99.060
20.90,99.136
21.20,99.209
21.40,99.256
21.80,99.345
22.00,99.388
22.40,99.471
22.70,99.531
23.00,99.590
23.30,99.647
23.60,99.702
24.00,99.772
24.30,99.823
24.70,99.890
25.00,99.939
25.40,100.002
25.80,100.062
26.20,100.121
26.50,100.162
26.90,100.216
27.20,100.254
27.60,100.303
28.00,100.350
28.50,100.404
29.00,100.455
29.50,100.501
30.00,100.540
30.40,100.568
30.70,100.587
31.10,100.612
31.50,100.638
32.00,100.672
32.50,100.709
33.00,100.750
33.50,100.793
34.00,100.838
34.50,100.879
35.00,100.909
35.50,100.927
36.00,100.935
36.50,100.942
37.00,100.947
37.50,100.952
38.20,100.956
38.70,100.959
39.50,100.962
40.00,100.963
40.60,100.963
41.20,100.963
41.80,100.960
42.50,100.956
43.10,100.946
43.70,100.930
44.40,100.904
45.00,100.876
45.50,100.851
46.20,100.809
46.80,100.770
47.50,100.721
48.20,100.677
48.70,100.647
49.40,100.609
50.00,100.580
50.80,100.543
51.50,100.513
52.20,100.486
53.00,100.456
53.80,100.426
54.50,100.399
55.20,100.372
56.00,100.344
57.00,100.327
58.00,100.329
59.00,100.342
60.00,100.359
60.80,100.377
61.50,100.400
62.20,100.433
63.00,100.484
64.00,100.566
65.00,100.661
66.00,100.766
67.00,100.877
68.00,100.992
69.00,101.112
70.00,101.236
71.00,101.368
72.00,101.502
73.00,101.637
74.00,101.773
75.00,101.907
76.20,102.066
77.50,102.232
78.80,102.385
80.00,102.513
81.20,102.630
82.50,102.745
83.80,102.851
85.00,102.940
86.20,103.020
87.50,103.096
88.50,103.148
90.00,103.215
91.20,103.261
92.50,103.301
93.80,103.333
95.00,103.353
96.20,103.367
97.50,103.373
98.80,103.370
100.00,103.364
101.50,103.347
103.00,103.323
104.40,103.296
106.00,103.259
107.50,103.220
109.00,103.179
110.60,103.137
112.00,103.100
113.80,103.052
115.00,103.018
117.20,102.957
118.00,102.934
120.60,102.862
122.00,102.825
124.10,102.773
125.00,102.751
126.50,102.717
128.00,102.685
131.50,102.613
132.00,102.601
134.00,102.555
136.00,102.500
138.00,102.439
140.00,102.376
143.00,102.280
145.00,102.215
147.50,102.133
150.00,102.044
152.50,101.948
155.00,101.847
157.50,101.745
160.00,101.642
162.50,101.536
165.00,101.425
167.50,101.312
170.00,101.198
172.50,101.085
175.00,100.973
177.50,100.862
180.00,100.751
182.50,100.642
185.00,100.532
187.50,100.422
190.00,100.309
192.50,100.196
195.00,100.079
197.50,99.960
200.00,99.843
203.00,99.689
206.00,99.495
209.00,99.240
212.00,98.975
214.00,98.853
218.00,98.791
220.00,98.788
224.00,98.709
227.00,98.596
230.00,98.462
233.00,98.320
236.00,98.177
240.00,97.984
243.00,97.840
247.00,97.647
250.00,97.502
254.00,97.311
258.00,97.124
262.00,96.941
265.00,96.808
269.00,96.634
272.00,96.505
276.00,96.340
280.00,96.178
285.00,95.961
290.00,95.730
295.00,95.501
300.00,95.276
304.00,95.094
307.00,94.954
311.00,94.767
315.00,94.583
320.00,94.358
325.00,94.148
330.00,93.957
335.00,93.791
340.00,93.692
345.00,93.725
350.00,93.904
355.00,94.150
360.00,94.358
365.00,94.474
370.00,94.505
375.00,94.489
382.00,94.436
387.00,94.397
395.00,94.344
400.00,94.325
406.00,94.318
412.00,94.329
418.00,94.356
425.00,94.397
431.00,94.440
437.00,94.497
444.00,94.579
450.00,94.650
455.00,94.702
462.00,94.771
468.00,94.827
475.00,94.892
482.00,94.948
487.00,94.980
494.00,95.016
500.00,95.043
508.00,95.078
515.00,95.108
522.00,95.136
530.00,95.165
538.00,95.194
545.00,95.220
552.00,95.246
560.00,95.272
570.00,95.305
580.00,95.341
590.00,95.374
600.00,95.401
608.00,95.421
615.00,95.436
622.00,95.448
630.00,95.457
640.00,95.459
650.00,95.450
660.00,95.442
670.00,95.457
680.00,95.489
690.00,95.517
700.00,95.537
710.00,95.552
720.00,95.568
730.00,95.586
740.00,95.606
750.00,95.624
762.00,95.645
775.00,95.662
788.00,95.673
800.00,95.678
812.00,95.677
825.00,95.670
838.00,95.655
850.00,95.636
862.00,95.610
875.00,95.574
885.00,95.536
900.00,95.452
912.00,95.356
925.00,95.242
