frequency,raw
2.73,82.153
2.75,82.208
2.77,82.282
2.79,82.365
2.81,82.450
2.83,82.535
2.85,82.621
2.87,82.708
2.89,82.794
2.91,82.880
2.93,82.966
2.95,83.055
2.97,83.144
2.99,83.231
3.02,83.321
3.04,83.411
3.06,83.499
3.08,83.590
3.10,83.682
3.13,83.774
3.15,83.865
3.17,83.957
3.20,84.049
3.22,84.142
3.24,84.235
3.27,84.328
3.29,84.422
3.31,84.516
3.34,84.609
3.36,84.704
3.39,84.800
3.41,84.895
3.43,84.991
3.46,85.087
3.48,85.183
3.51,85.280
3.54,85.377
3.56,85.475
3.59,85.572
3.61,85.669
3.64,85.767
3.67,85.864
3.69,85.962
3.72,86.060
3.75,86.158
3.77,86.257
3.80,86.356
3.83,86.454
3.86,86.553
3.88,86.653
3.91,86.752
3.94,86.851
3.97,86.949
4.00,87.047
4.03,87.147
4.06,87.245
4.08,87.344
4.11,87.442
4.14,87.540
4.17,87.638
4.20,87.736
4.23,87.834
4.27,87.931
4.30,88.030
4.33,88.125
4.36,88.221
4.39,88.317
4.42,88.412
4.45,88.508
4.49,88.603
4.52,88.698
4.55,88.792
4.59,88.885
4.62,88.977
4.65,89.068
4.69,89.157
4.72,89.248
4.75,89.337
4.79,89.425
4.82,89.513
4.86,89.599
4.89,89.684
4.93,89.769
4.96,89.853
5.00,89.935
5.04,90.016
5.07,90.095
5.11,90.174
5.15,90.250
5.18,90.325
5.22,90.399
5.26,90.471
5.30,90.542
5.34,90.612
5.37,90.679
5.41,90.745
5.45,90.811
5.49,90.877
5.53,90.942
5.57,91.008
5.61,91.074
5.65,91.139
5.69,91.205
5.74,91.270
5.78,91.336
5.82,91.402
5.86,91.468
5.90,91.532
5.95,91.597
5.99,91.662
6.03,91.727
6.08,91.793
6.12,91.857
6.16,91.922
6.21,91.987
6.25,92.052
6.30,92.115
6.35,92.180
6.39,92.244
6.44,92.308
6.48,92.372
6.53,92.435
6.58,92.499
6.63,92.561
6.67,92.625
6.72,92.686
6.77,92.749
6.82,92.811
6.87,92.873
6.92,92.934
6.97,92.994
7.02,93.055
7.07,93.116
7.12,93.176
7.17,93.236
7.23,93.295
7.28,93.354
7.33,93.412
7.38,93.471
7.44,93.528
7.49,93.585
7.55,93.641
7.60,93.697
7.66,93.754
7.71,93.809
7.77,93.864
7.82,93.918
7.88,93.971
7.94,94.024
7.99,94.077
8.05,94.130
8.11,94.184
8.17,94.237
8.23,94.292
8.29,94.347
8.35,94.403
8.41,94.457
8.47,94.511
8.53,94.566
8.59,94.621
8.66,94.675
8.72,94.730
8.78,94.784
8.84,94.838
8.91,94.892
8.97,94.946
9.04,94.999
9.10,95.052
9.17,95.105
9.24,95.158
9.30,95.211
9.37,95.264
9.44,95.316
9.51,95.368
9.58,95.421
9.65,95.472
9.72,95.524
9.79,95.575
9.86,95.626
9.93,95.677
10.00,95.727
10.07,95.777
10.15,95.827
10.22,95.876
10.29,95.925
10.37,95.974
10.44,96.022
10.52,96.070
10.59,96.117
10.67,96.163
10.75,96.210
10.83,96.255
10.91,96.302
10.98,96.347
11.06,96.392
11.14,96.438
11.22,96.483
11.31,96.528
11.39,96.572
11.47,96.617
11.55,96.662
11.64,96.707
11.72,96.751
11.81,96.796
11.89,96.840
11.98,96.885
12.07,96.928
12.15,96.972
12.24,97.016
12.33,97.059
12.42,97.103
12.51,97.147
12.60,97.189
12.69,97.232
12.78,97.275
12.88,97.317
12.97,97.359
13.06,97.401
13.16,97.443
13.25,97.484
13.35,97.526
13.45,97.568
13.54,97.610
13.64,97.652
13.74,97.694
13.84,97.737
13.94,97.779
14.04,97.821
14.14,97.862
14.24,97.904
14.35,97.945
14.45,97.987
14.56,98.027
14.66,98.069
14.77,98.109
14.88,98.150
14.98,98.191
15.09,98.230
15.20,98.270
15.31,98.310
15.42,98.349
15.53,98.388
15.65,98.427
15.76,98.466
15.87,98.505
15.99,98.542
16.10,98.579
16.22,98.616
16.34,98.653
16.46,98.688
16.58,98.723
16.70,98.758
16.82,98.793
16.94,98.828
17.06,98.863
17.19,98.897
17.31,98.931
17.44,98.965
17.56,98.999
17.69,99.032
17.82,99.065
17.95,99.098
18.08,99.131
18.21,99.163
