frequency,raw
20,102.825
20.3,102.819
20.6,102.841
20.9,102.919
21.2,103.054
21.4,103.164
21.8,103.385
22,103.478
22.4,103.608
22.7,103.662
23,103.698
23.3,103.737
23.6,103.790
24,103.877
24.3,103.936
24.7,103.980
25,103.987
25.4,103.990
25.8,104.030
26.2,104.139
26.5,104.260
26.9,104.442
27.2,104.571
27.6,104.716
28,104.839
28.5,104.986
29,105.138
29.5,105.272
30,105.356
30.4,105.388
30.7,105.399
31.1,105.414
31.5,105.440
32,105.490
32.5,105.543
33,105.585
33.5,105.609
34,105.621
34.5,105.624
35,105.619
35.5,105.610
36,105.604
36.5,105.614
37,105.648
37.5,105.704
38.2,105.800
38.7,105.868
39.5,105.959
40,106.003
40.6,106.042
41.2,106.075
41.8,106.110
42.5,106.155
43.1,106.190
43.7,106.208
44.4,106.199
45,106.168
45.5,106.130
46.2,106.072
46.8,106.032
47.5,106.013
48.2,106.021
48.7,106.035
49.4,106.055
50,106.066
50.8,106.070
51.5,106.065
52.2,106.052
53,106.027
53.8,105.991
54.5,105.954
55.2,105.917
56,105.877
57,105.834
58,105.800
59,105.776
60,105.760
60.8,105.747
61.5,105.733
62.2,105.713
63,105.680
64,105.622
65,105.543
66,105.450
67,105.355
68,105.270
69,105.199
70,105.136
71,105.083
72,105.047
73,105.031
74,105.023
75,105.012
76.2,104.980
77.5,104.920
78.8,104.833
80,104.725
81.2,104.588
82.5,104.410
83.8,104.214
85,104.041
86.2,103.897
87.5,103.787
88.5,103.731
90,103.679
91.2,103.649
92.5,103.621
93.8,103.599
95,103.582
96.2,103.566
97.5,103.541
98.8,103.502
100,103.451
101.5,103.374
103,103.297
104.4,103.238
106,103.192
107.5,103.168
109,103.157
110.6,103.150
112,103.140
113.8,103.119
115,103.101
117.2,103.061
118,103.041
120.6,102.945
122,102.880
124.1,102.790
125,102.759
126.5,102.712
128,102.667
131.5,102.540
132,102.519
134,102.428
136,102.330
138,102.226
140,102.116
143,101.941
145,101.822
147.5,101.670
150,101.505
152.5,101.320
155,101.114
157.5,100.895
160,100.675
162.5,100.459
165,100.240
167.5,100.010
170,99.772
172.5,99.541
175,99.318
177.5,99.088
180,98.834
182.5,98.558
185,98.275
187.5,98.001
190,97.738
192.5,97.481
195,97.230
197.5,96.990
200,96.773
203,96.548
206,96.358
209,96.195
212,96.063
214,96.001
218,95.966
220,96.001
224,96.160
227,96.326
230,96.512
233,96.718
236,96.955
240,97.305
243,97.570
247,97.890
250,98.099
254,98.344
258,98.552
262,98.716
265,98.805
269,98.878
272,98.905
276,98.917
280,98.911
285,98.894
290,98.866
295,98.827
300,98.778
304,98.736
307,98.706
311,98.672
315,98.649
320,98.640
325,98.653
330,98.677
335,98.703
340,98.725
345,98.739
350,98.749
355,98.755
360,98.760
365,98.766
370,98.773
375,98.781
382,98.793
387,98.802
395,98.812
400,98.812
406,98.807
412,98.801
418,98.802
425,98.826
431,98.862
437,98.904
444,98.948
450,98.978
455,98.999
462,99.027
468,99.052
475,99.081
482,99.106
487,99.122
494,99.140
500,99.154
508,99.173
515,99.190
522,99.207
530,99.228
538,99.251
545,99.273
552,99.297
560,99.327
570,99.365
580,99.402
590,99.435
600,99.462
608,99.479
615,99.493
622,99.506
630,99.522
640,99.544
650,99.568
660,99.593
670,99.619
680,99.645
690,99.671
700,99.697
710,99.717
720,99.730
730,99.736
740,99.737
750,99.730
762,99.712
775,99.680
788,99.642
800,99.609
812,99.587
825,99.578
838,99.586
850,99.603
862,99.625
875,99.654
885,99.677
900,99.713
912,99.743
925,99.776
938,99.810
950,99.843
962,99.877
975,99.917
988,99.958
1000,99.996
1015,100.044
1030,100.093
1044,100.142
1060,100.204
1075,100.268
1090,100.341
1106,100.428
1120,100.514
1138,100.637
