frequency,raw
20.00,83.291
20.30,83.502
20.60,83.707
20.90,83.904
21.20,84.094
21.40,84.218
21.80,84.458
22.00,84.576
22.40,84.808
22.70,84.980
23.00,85.149
23.30,85.316
23.60,85.481
24.00,85.697
24.30,85.856
24.70,86.065
25.00,86.219
25.40,86.421
25.80,86.619
26.20,86.812
26.50,86.955
26.90,87.142
27.20,87.279
27.60,87.458
28.00,87.633
28.50,87.846
29.00,88.054
29.50,88.254
30.00,88.449
30.40,88.600
30.70,88.710
31.10,88.854
31.50,88.993
32.00,89.163
32.50,89.333
33.00,89.503
33.50,89.671
34.00,89.834
34.50,89.994
35.00,90.150
35.50,90.303
36.00,90.452
36.50,90.597
37.00,90.737
37.50,90.874
38.20,91.060
38.70,91.188
39.50,91.384
40.00,91.502
40.60,91.638
41.20,91.769
41.80,91.895
42.50,92.035
43.10,92.147
43.70,92.255
44.40,92.374
45.00,92.471
45.50,92.551
46.20,92.656
46.80,92.743
47.50,92.840
48.20,92.930
48.70,92.992
49.40,93.073
50.00,93.139
50.80,93.221
51.50,93.288
52.20,93.349
53.00,93.412
53.80,93.465
54.50,93.503
55.20,93.532
56.00,93.558
57.00,93.584
58.00,93.603
59.00,93.619
60.00,93.634
60.80,93.648
61.50,93.662
62.20,93.679
63.00,93.704
64.00,93.745
65.00,93.798
66.00,93.861
67.00,93.928
68.00,93.997
69.00,94.070
70.00,94.146
71.00,94.225
72.00,94.306
73.00,94.391
74.00,94.480
75.00,94.572
76.20,94.700
77.50,94.862
78.80,95.046
80.00,95.226
81.20,95.411
82.50,95.607
83.80,95.792
85.00,95.944
86.20,96.068
87.50,96.168
88.50,96.227
90.00,96.296
91.20,96.335
92.50,96.361
93.80,96.370
95.00,96.364
96.20,96.343
97.50,96.296
98.80,96.216
100.00,96.117
101.50,95.967
103.00,95.807
104.40,95.666
106.00,95.535
107.50,95.468
109.00,95.463
110.60,95.501
112.00,95.546
113.80,95.608
115.00,95.647
117.20,95.705
118.00,95.719
120.60,95.750
122.00,95.761
124.10,95.775
125.00,95.781
126.50,95.791
128.00,95.799
131.50,95.821
132.00,95.824
134.00,95.837
136.00,95.847
138.00,95.855
140.00,95.856
143.00,95.840
145.00,95.819
147.50,95.781
150.00,95.730
152.50,95.659
155.00,95.575
157.50,95.487
160.00,95.398
162.50,95.309
165.00,95.219
167.50,95.129
170.00,95.037
172.50,94.941
175.00,94.838
177.50,94.728
180.00,94.610
182.50,94.480
185.00,94.328
187.50,94.160
190.00,93.983
192.50,93.800
195.00,93.613
197.50,93.422
200.00,93.228
203.00,92.995
206.00,92.762
209.00,92.529
212.00,92.295
214.00,92.138
218.00,91.819
220.00,91.656
224.00,91.332
227.00,91.093
230.00,90.860
233.00,90.638
236.00,90.445
240.00,90.280
243.00,90.221
247.00,90.188
250.00,90.195
254.00,90.238
258.00,90.252
262.00,90.200
265.00,90.139
269.00,90.076
272.00,90.050
276.00,90.036
280.00,90.029
285.00,90.026
290.00,90.028
295.00,90.043
300.00,90.066
304.00,90.078
307.00,90.083
311.00,90.113
315.00,90.205
320.00,90.419
325.00,90.727
330.00,91.077
335.00,91.350
340.00,91.514
345.00,91.636
350.00,91.756
355.00,91.885
360.00,92.022
365.00,92.166
370.00,92.314
375.00,92.464
382.00,92.662
387.00,92.794
395.00,92.989
400.00,93.096
406.00,93.209
412.00,93.311
418.00,93.405
425.00,93.499
431.00,93.570
437.00,93.636
444.00,93.713
450.00,93.777
455.00,93.831
462.00,93.904
468.00,93.970
475.00,94.047
482.00,94.120
487.00,94.172
494.00,94.244
500.00,94.305
508.00,94.386
515.00,94.452
522.00,94.513
530.00,94.582
538.00,94.647
545.00,94.697
552.00,94.737
560.00,94.768
570.00,94.778
580.00,94.769
590.00,94.775
600.00,94.762
608.00,94.732
615.00,94.703
622.00,94.670
630.00,94.630
640.00,94.577
650.00,94.528
660.00,94.478
670.00,94.425
680.00,94.370
690.00,94.317
700.00,94.267
710.00,94.217
720.00,94.171
730.00,94.133
740.00,94.106
750.00,94.084
762.00,94.064
775.00,94.050
788.00,94.042
800.00,94.041
812.00,94.046
825.00,94.063
838.00,94.089
850.00,94.109
862.00,94.117
875.00,94.105
885.00,94.083
900.00,94.033
912.00,93.987
925.00,93.957
938.00,93.957
950.00,93.972
962.00,93.981
975.00,93.971
988.00,93.944
1000.00,93.907
1015.00,93.853
1030.00,93.793
1044.00,93.730
1060.00,93.661
1075.00,93.605
1090.00,93.559
1106.00,93.518
1120.00,93.493
1138.00,93.479
1150.00,93.477
1172.00,93.485
1180.00,93.488
1206.00,93.497
1220.00,93.503
1241.00,93.519
1250.00,93.532
1265.00,93.561
1280.00,93.603
1315.00,93.746
