frequency,raw
20.00,77.490
20.30,77.727
20.60,77.961
20.90,78.189
21.20,78.412
21.40,78.559
21.80,78.847
22.00,78.989
22.40,79.271
22.70,79.480
23.00,79.685
23.30,79.889
23.60,80.090
24.00,80.355
24.30,80.551
24.70,80.808
25.00,80.999
25.40,81.250
25.80,81.496
26.20,81.738
26.50,81.916
26.90,82.152
27.20,82.326
27.60,82.553
28.00,82.776
28.50,83.050
29.00,83.317
29.50,83.579
30.00,83.833
30.40,84.032
30.70,84.178
31.10,84.370
31.50,84.558
32.00,84.785
32.50,85.007
33.00,85.224
33.50,85.435
34.00,85.644
34.50,85.850
35.00,86.051
35.50,86.249
36.00,86.444
36.50,86.635
37.00,86.822
37.50,87.006
38.20,87.257
38.70,87.433
39.50,87.707
40.00,87.873
40.60,88.068
41.20,88.258
41.80,88.443
42.50,88.653
43.10,88.834
43.70,89.018
44.40,89.232
45.00,89.411
45.50,89.556
46.20,89.754
46.80,89.918
47.50,90.102
48.20,90.281
48.70,90.404
49.40,90.571
50.00,90.708
50.80,90.882
51.50,91.029
52.20,91.168
53.00,91.318
53.80,91.445
54.50,91.526
55.20,91.587
56.00,91.642
57.00,91.693
58.00,91.731
59.00,91.757
60.00,91.776
60.80,91.787
61.50,91.795
62.20,91.803
63.00,91.814
64.00,91.831
65.00,91.847
66.00,91.855
67.00,91.851
68.00,91.838
69.00,91.820
70.00,91.800
71.00,91.785
72.00,91.778
73.00,91.782
74.00,91.803
75.00,91.850
76.20,91.954
77.50,92.107
78.80,92.276
80.00,92.440
81.20,92.607
82.50,92.784
83.80,92.954
85.00,93.101
86.20,93.234
87.50,93.371
88.50,93.472
90.00,93.614
91.20,93.721
92.50,93.829
93.80,93.930
95.00,94.017
96.20,94.093
97.50,94.153
98.80,94.191
100.00,94.215
101.50,94.239
103.00,94.255
104.40,94.262
106.00,94.262
107.50,94.255
109.00,94.243
110.60,94.226
112.00,94.209
113.80,94.181
115.00,94.161
117.20,94.121
118.00,94.105
120.60,94.047
122.00,94.013
