frequency,raw
20.00,4.59
20.56,4.65
21.13,4.68
21.72,4.74
22.32,4.80
22.97,4.86
23.60,4.89
24.26,4.95
24.93,5.01
25.63,5.07
26.34,5.10
27.07,5.13
27.82,5.13
28.59,5.16
29.42,5.19
30.24,5.19
31.08,5.19
31.94,5.22
32.83,5.22
33.74,5.25
34.68,5.28
35.64,5.28
36.63,5.28
37.65,5.28
38.74,5.31
39.82,5.34
40.93,5.34
42.06,5.37
43.23,5.40
44.43,5.43
45.67,5.46
46.93,5.46
48.24,5.49
49.64,5.52
51.02,5.52
52.43,5.52
53.89,5.55
55.39,5.55
56.92,5.55
58.51,5.55
60.13,5.55
61.80,5.52
63.59,5.52
65.36,5.55
67.18,5.55
69.04,5.58
70.96,5.64
72.93,5.73
74.96,5.82
77.04,5.91
79.18,6.00
81.38,6.12
83.74,6.21
86.06,6.30
88.45,6.36
90.91,6.42
93.44,6.45
96.03,6.51
98.70,6.54
101.44,6.57
104.26,6.60
107.28,6.63
110.26,6.66
113.32,6.69
116.47,6.69
119.71,6.72
123.03,6.72
126.45,6.72
129.96,6.72
133.57,6.72
137.44,6.69
141.26,6.69
145.19,6.66
149.22,6.66
153.36,6.63
157.62,6.63
162.00,6.63
166.50,6.63
171.13,6.63
175.88,6.66
180.98,6.66
186.01,6.66
191.17,6.66
196.48,6.63
201.94,6.63
207.55,6.60
213.32,6.57
219.24,6.54
225.33,6.51
231.87,6.48
238.31,6.42
244.92,6.39
251.73,6.36
258.72,6.33
265.91,6.27
273.29,6.27
280.88,6.24
288.68,6.18
297.06,6.15
305.31,6.09
313.79,6.03
322.50,5.97
331.46,5.91
340.67,5.85
350.13,5.79
359.86,5.73
369.85,5.70
380.58,5.64
391.15,5.58
402.01,5.49
413.18,5.43
424.66,5.34
436.45,5.22
448.58,5.13
461.04,5.01
473.84,4.89
487.00,4.77
501.13,4.68
515.05,4.56
529.35,4.41
544.06,4.29
559.17,4.14
574.70,4.02
590.66,3.87
607.07,3.72
623.93,3.57
642.03,3.39
659.86,3.21
678.19,3.00
697.03,2.82
716.39,2.61
736.29,2.40
756.74,2.19
777.76,1.98
799.36,1.80
822.54,1.62
845.39,1.44
868.87,1.23
893.00,1.05
917.81,0.84
943.30,0.63
969.50,0.39
996.43,0.15
1024.11,-0.12
1052.56,-0.42
1083.08,-0.72
1113.17,-1.05
1144.09,-1.41
1175.86,-1.77
1208.52,-2.19
1242.09,-2.67
1276.59,-3.15
1312.05,-3.66
1348.50,-4.23
1387.61,-4.83
1426.15,-5.46
1465.76,-6.12
1506.47,-6.81
1548.32,-7.50
1591.33,-8.22
1635.53,-8.91
1680.96,-9.57
1727.65,-10.14
1777.75,-10.53
1827.13,-10.74
1877.88,-10.77
1930.04,-10.59
1983.65,-10.32
2038.75,-10.02
2095.38,-9.69
2153.58,-9.33
2213.40,-8.97
2277.59,-8.61
2340.85,-8.22
2405.87,-7.80
2472.70,-7.41
2541.38,-7.05
2611.97,-6.75
2684.52,-6.54
2759.09,-6.39
2835.73,-6.30
2914.49,-6.30
2999.02,-6.36
3082.32,-6.45
3167.93,-6.54
3255.93,-6.60
3346.36,-6.57
3439.31,-6.48
3534.85,-6.33
3633.03,-6.12
3733.94,-5.91
3842.23,-5.70
3948.95,-5.52
4058.64,-5.43
4171.38,-5.58
4287.24,-5.94
4406.33,-6.42
4528.72,-6.81
4654.51,-7.05
4783.79,-7.05
4922.53,-6.72
5059.26,-5.94
5199.79,-4.71
5344.22,-3.36
5492.66,-2.07
5645.23,-0.90
5802.03,0.12
5963.19,0.93
6128.82,1.44
6299.06,1.56
6481.74,1.41
6661.78,1.05
6846.82,0.54
7037.00,-0.18
7232.46,-1.20
7433.35,-2.58
7639.82,-4.23
7852.03,-5.58
8070.13,-6.03
8304.17,-5.61
8534.83,-5.10
8771.90,-4.65
9015.55,-4.20
9265.97,-3.78
9523.34,-3.42
9787.87,-3.09
10059.74,-2.91
10339.16,-2.97
10639.01,-3.24
10934.52,-3.63
11238.24,-4.11
11550.40,-4.65
11871.23,-5.22
12200.97,-5.94
12539.86,-6.75
12888.17,-7.59
13246.16,-8.40
13614.09,-9.24
14008.92,-10.02
14398.03,-10.74
14797.96,-11.25
15208.99,-11.55
15631.44,-11.91
16065.62,-12.36
16511.87,-12.72
16970.51,-12.69
17441.88,-12.60
17947.72,-12.66
18446.24,-12.90
18958.61,-13.29
19485.21,-13.74
