frequency,raw
20.00,86.58
20.30,86.67
20.60,86.78
20.90,86.93
21.20,87.07
21.40,87.16
21.80,87.29
22.00,87.33
22.40,87.33
22.70,87.31
23.00,87.29
23.30,87.32
23.60,87.38
24.00,87.50
24.30,87.59
24.70,87.64
25.00,87.64
25.40,87.62
25.80,87.62
26.20,87.69
26.50,87.78
26.90,87.91
27.20,87.98
27.60,88.03
28.00,88.04
28.50,88.03
29.00,88.04
29.50,88.09
30.00,88.14
30.40,88.17
30.70,88.19
31.10,88.20
31.50,88.22
32.00,88.24
32.50,88.27
33.00,88.30
33.50,88.30
34.00,88.26
34.50,88.23
35.00,88.24
35.50,88.30
36.00,88.38
36.50,88.45
37.00,88.49
37.50,88.52
38.20,88.50
38.70,88.43
39.50,88.28
40.00,88.23
40.60,88.22
41.20,88.24
41.80,88.24
42.50,88.23
43.10,88.24
43.70,88.23
44.40,88.17
45.00,88.05
45.50,87.93
46.20,87.82
46.80,87.79
47.50,87.80
48.20,87.78
48.70,87.73
49.40,87.60
50.00,87.47
50.80,87.29
51.50,87.16
52.20,87.05
53.00,86.93
53.80,86.77
54.50,86.59
55.20,86.44
56.00,86.32
57.00,86.20
58.00,86.08
59.00,86.00
60.00,85.96
60.80,85.91
61.50,85.86
62.20,85.79
63.00,85.74
64.00,85.75
65.00,85.82
66.00,85.93
67.00,86.02
68.00,86.13
69.00,86.27
70.00,86.42
71.00,86.58
72.00,86.76
73.00,86.96
74.00,87.16
75.00,87.33
76.20,87.53
77.50,87.73
78.80,87.94
80.00,88.14
81.20,88.31
82.50,88.44
83.80,88.55
85.00,88.63
86.20,88.69
87.50,88.72
88.50,88.71
90.00,88.64
91.20,88.54
92.50,88.41
93.80,88.25
95.00,88.06
96.20,87.86
97.50,87.63
98.80,87.41
100.00,87.22
101.50,87.00
103.00,86.81
104.40,86.70
106.00,86.68
107.50,86.74
109.00,86.82
110.60,86.91
112.00,86.96
113.80,86.97
115.00,86.96
117.20,86.92
118.00,86.90
120.60,86.80
122.00,86.73
124.10,86.60
125.00,86.53
126.50,86.41
128.00,86.27
131.50,85.93
132.00,85.89
134.00,85.69
136.00,85.48
138.00,85.24
