frequency,raw
20.00,93.62
20.30,93.70
20.60,93.74
20.90,93.75
21.20,93.74
21.40,93.74
21.80,93.78
22.00,93.83
22.40,93.99
22.70,94.15
23.00,94.32
23.30,94.46
23.60,94.56
24.00,94.61
24.30,94.59
24.70,94.52
25.00,94.47
25.40,94.45
25.80,94.51
26.20,94.62
26.50,94.71
26.90,94.80
27.20,94.84
27.60,94.86
28.00,94.86
28.50,94.89
29.00,94.97
29.50,95.05
30.00,95.11
30.40,95.15
30.70,95.16
31.10,95.17
31.50,95.17
32.00,95.15
32.50,95.12
33.00,95.10
33.50,95.10
34.00,95.10
34.50,95.11
35.00,95.14
35.50,95.18
36.00,95.19
36.50,95.16
37.00,95.09
37.50,95.02
38.20,95.03
38.70,95.11
39.50,95.23
40.00,95.27
40.60,95.29
41.20,95.30
41.80,95.29
42.50,95.28
43.10,95.27
43.70,95.26
44.40,95.23
45.00,95.20
45.50,95.17
46.20,95.12
46.80,95.06
47.50,94.97
48.20,94.88
48.70,94.81
49.40,94.72
50.00,94.65
50.80,94.56
51.50,94.47
52.20,94.38
53.00,94.30
53.80,94.23
54.50,94.17
55.20,94.10
56.00,94.02
57.00,93.94
58.00,93.93
59.00,93.94
60.00,93.95
60.80,93.96
61.50,93.98
62.20,94.03
63.00,94.11
64.00,94.20
65.00,94.28
66.00,94.40
67.00,94.56
68.00,94.72
69.00,94.87
70.00,95.01
71.00,95.15
72.00,95.29
73.00,95.42
74.00,95.54
75.00,95.67
76.20,95.81
77.50,95.94
78.80,96.06
80.00,96.16
81.20,96.25
82.50,96.32
83.80,96.40
85.00,96.47
86.20,96.54
87.50,96.59
88.50,96.63
90.00,96.67
91.20,96.68
92.50,96.67
93.80,96.65
95.00,96.61
96.20,96.57
97.50,96.51
98.80,96.44
100.00,96.37
101.50,96.28
103.00,96.20
104.40,96.16
106.00,96.14
107.50,96.15
109.00,96.18
110.60,96.21
112.00,96.23
113.80,96.27
115.00,96.28
117.20,96.31
118.00,96.32
120.60,96.30
122.00,96.30
124.10,96.30
125.00,96.30
126.50,96.30
128.00,96.27
131.50,96.19
132.00,96.17
134.00,96.12
136.00,96.09
138.00,96.06
140.00,96.00
143.00,95.89
145.00,95.80
147.50,95.64
150.00,95.45
152.50,95.21
155.00,94.93
157.50,94.67
160.00,94.45
162.50,94.33
165.00,94.26
167.50,94.23
170.00,94.18
172.50,94.09
175.00,93.97
177.50,93.80
180.00,93.60
182.50,93.38
185.00,93.14
187.50,92.88
190.00,92.61
192.50,92.31
195.00,92.00
197.50,91.68
200.00,91.39
203.00,91.11
206.00,90.94
209.00,90.88
212.00,90.86
214.00,90.82
218.00,90.62
220.00,90.47
224.00,90.11
227.00,89.78
230.00,89.43
233.00,89.07
236.00,88.68
240.00,88.14
243.00,87.72
247.00,87.13
250.00,86.67
254.00,86.04
258.00,85.37
262.00,84.68
265.00,84.16
269.00,83.48
272.00,82.95
276.00,82.25
280.00,81.59
285.00,80.82
290.00,80.04
295.00,79.17
300.00,78.29
304.00,77.58
307.00,77.03
311.00,76.33
315.00,75.70
320.00,75.02
325.00,74.47
330.00,74.18
335.00,74.11
340.00,74.14
345.00,74.30
350.00,74.58
355.00,74.99
360.00,75.40
365.00,75.83
370.00,76.28
375.00,76.70
382.00,77.23
387.00,77.60
395.00,78.15
400.00,78.45
406.00,78.79
412.00,79.12
418.00,79.44
425.00,79.76
431.00,80.03
437.00,80.28
444.00,80.54
450.00,80.73
455.00,80.89
462.00,81.12
468.00,81.31
475.00,81.50
482.00,81.68
487.00,81.81
494.00,81.99
500.00,82.13
508.00,82.30
515.00,82.46
522.00,82.61
530.00,82.78
538.00,82.95
545.00,83.09
552.00,83.22
560.00,83.37
570.00,83.56
580.00,83.75
590.00,83.93
600.00,84.11
608.00,84.25
615.00,84.37
622.00,84.49
630.00,84.63
640.00,84.81
650.00,84.98
660.00,85.15
670.00,85.33
680.00,85.51
690.00,85.68
700.00,85.86
710.00,86.02
720.00,86.18
730.00,86.33
740.00,86.48
750.00,86.63
762.00,86.80
775.00,86.97
788.00,87.14
800.00,87.29
812.00,87.44
825.00,87.61
838.00,87.81
850.00,88.00
862.00,88.22
875.00,88.46
885.00,88.62
900.00,88.78
912.00,88.78
925.00,88.70
938.00,88.57
950.00,88.46
962.00,88.38
975.00,88.33
988.00,88.29
1000.00,88.27
