frequency,raw
20,95.547
20.3,95.625
20.6,95.665
20.9,95.676
21.2,95.678
21.4,95.685
21.8,95.728
22,95.766
22.4,95.861
22.7,95.931
23,95.982
23.3,96.008
23.6,96.011
24,96.002
24.3,96.008
24.7,96.059
25,96.131
25.4,96.255
25.8,96.375
26.2,96.464
26.5,96.510
26.9,96.553
27.2,96.582
27.6,96.626
28,96.681
28.5,96.762
29,96.841
29.5,96.899
30,96.930
30.4,96.946
30.7,96.959
31.1,96.981
31.5,97.005
32,97.029
32.5,97.048
33,97.079
33.5,97.133
34,97.196
34.5,97.241
35,97.265
35.5,97.292
36,97.347
36.5,97.420
37,97.481
37.5,97.507
38.2,97.513
38.7,97.529
39.5,97.601
40,97.649
40.6,97.684
41.2,97.695
41.8,97.706
42.5,97.737
43.1,97.769
43.7,97.793
44.4,97.806
45,97.808
45.5,97.808
46.2,97.813
46.8,97.827
47.5,97.840
48.2,97.840
48.7,97.843
49.4,97.868
50,97.894
50.8,97.909
51.5,97.915
52.2,97.942
53,97.997
53.8,98.059
54.5,98.113
55.2,98.165
56,98.216
57,98.262
58,98.288
59,98.313
60,98.350
60.8,98.383
61.5,98.412
62.2,98.434
63,98.443
64,98.441
65,98.456
66,98.475
67,98.469
68,98.451
69,98.440
70,98.431
71,98.405
72,98.372
73,98.340
74,98.294
75,98.243
76.2,98.179
77.5,98.091
78.8,97.998
80,97.917
81.2,97.830
82.5,97.734
83.8,97.638
85,97.562
86.2,97.504
87.5,97.453
88.5,97.409
90,97.338
91.2,97.290
92.5,97.258
93.8,97.236
95,97.230
96.2,97.239
97.5,97.264
98.8,97.287
100,97.320
101.5,97.377
103,97.438
104.4,97.503
106,97.580
107.5,97.651
109,97.723
110.6,97.795
112,97.855
113.8,97.933
115,97.982
117.2,98.053
118,98.074
120.6,98.127
122,98.149
124.1,98.169
125,98.173
126.5,98.175
128,98.173
131.5,98.157
132,98.154
134,98.146
136,98.133
138,98.112
140,98.084
143,98.032
145,97.992
147.5,97.940
150,97.890
152.5,97.840
155,97.796
157.5,97.759
160,97.724
162.5,97.691
165,97.660
167.5,97.636
170,97.615
172.5,97.587
175,97.550
177.5,97.504
180,97.451
182.5,97.398
185,97.344
187.5,97.288
190,97.227
192.5,97.158
195,97.081
197.5,96.996
200,96.909
203,96.811
206,96.727
209,96.657
212,96.603
214,96.572
218,96.512
220,96.480
224,96.406
227,96.342
230,96.273
233,96.199
236,96.120
240,96.008
243,95.921
247,95.800
250,95.706
254,95.579
258,95.451
262,95.319
265,95.218
269,95.082
272,94.978
276,94.838
280,94.694
285,94.510
290,94.324
295,94.129
300,93.925
304,93.754
307,93.623
311,93.440
315,93.249
320,93.006
325,92.758
330,92.503
335,92.244
340,91.982
345,91.722
350,91.469
355,91.223
360,90.984
