frequency,raw
2.951,68.3984
2.988,68.4835
3.026,68.6200
3.064,68.7611
3.102,68.9035
3.141,69.0473
3.181,69.1923
3.221,69.3387
3.262,69.4862
3.303,69.6351
3.344,69.7853
3.386,69.9368
3.429,70.0894
3.472,70.2433
3.516,70.3983
3.560,70.5545
3.605,70.7117
3.650,70.8701
3.696,71.0297
3.743,71.1902
3.790,71.3517
3.838,71.5141
3.886,71.6774
3.935,71.8417
3.985,72.0068
4.035,72.1726
4.085,72.3391
4.137,72.5062
4.189,72.6740
4.242,72.8423
4.295,73.0111
4.349,73.1803
4.404,73.3497
4.459,73.5193
4.516,73.6891
4.572,73.8589
4.630,74.0286
4.688,74.1983
4.747,74.3675
4.807,74.5365
4.868,74.7048
4.929,74.8726
4.991,75.0396
5.054,75.2056
5.117,75.3706
5.182,75.5343
5.247,75.6967
5.313,75.8575
5.380,76.0164
5.448,76.1736
5.516,76.3285
5.586,76.4810
5.656,76.6309
5.727,76.7781
5.800,76.9223
5.873,77.0639
5.947,77.2044
6.021,77.3447
6.097,77.4853
6.174,77.6261
6.252,77.7670
6.330,77.9082
6.410,78.0494
6.491,78.1906
6.573,78.3319
6.655,78.4732
6.739,78.6143
6.824,78.7554
6.910,78.8963
6.997,79.0369
7.085,79.1773
7.174,79.3174
7.265,79.4571
7.356,79.5963
7.449,79.7351
7.542,79.8731
7.637,80.0107
7.734,80.1475
7.831,80.2835
7.930,80.4186
8.029,80.5529
8.131,80.6861
8.233,80.8183
8.337,80.9493
8.442,81.0790
8.548,81.2073
8.655,81.3344
8.764,81.4614
8.875,81.5903
8.987,81.7207
9.100,81.8514
9.214,81.9821
9.330,82.1125
9.448,82.2427
9.567,82.3726
9.687,82.5021
9.809,82.6312
9.933,82.7599
10.058,82.8880
10.184,83.0155
10.313,83.1424
10.442,83.2687
10.574,83.3940
10.707,83.5186
10.842,83.6423
10.978,83.7649
11.117,83.8865
11.257,84.0070
11.398,84.1261
11.542,84.2439
11.687,84.3575
11.834,84.4650
11.983,84.5686
12.134,84.6718
12.287,84.7756
12.442,84.8802
12.598,84.9855
12.757,85.0915
12.918,85.1985
13.080,85.3062
13.245,85.4148
13.412,85.5245
13.581,85.6350
13.752,85.7467
13.925,85.8594
14.100,85.9735
14.278,86.0888
14.457,86.2054
14.639,86.3238
14.824,86.4442
15.010,86.5666
15.199,86.6904
15.391,86.8159
15.584,86.9427
15.781,87.0708
15.979,87.2002
16.181,87.3309
16.384,87.4627
16.591,87.5954
16.800,87.7292
17.011,87.8637
17.225,87.9988
17.442,88.1325
17.662,88.2609
17.884,88.3833
18.109,88.5029
