frequency,raw
2.95,70.278
2.99,70.376
3.03,70.535
3.06,70.699
3.10,70.865
3.14,71.032
3.18,71.201
3.22,71.371
3.26,71.543
3.30,71.717
3.34,71.892
3.39,72.068
3.43,72.246
3.47,72.425
3.52,72.606
3.56,72.788
3.60,72.971
3.65,73.156
3.70,73.341
3.74,73.528
3.79,73.716
3.84,73.904
3.89,74.094
3.94,74.284
3.98,74.475
4.04,74.667
4.08,74.859
4.14,75.051
4.19,75.244
4.24,75.437
4.29,75.631
4.35,75.824
4.40,76.016
4.46,76.209
4.52,76.401
4.57,76.592
4.63,76.783
4.69,76.972
4.75,77.161
4.81,77.347
4.87,77.533
4.93,77.716
4.99,77.897
5.05,78.076
5.12,78.252
5.18,78.426
5.25,78.596
5.31,78.762
5.38,78.925
5.45,79.084
5.52,79.238
5.59,79.388
5.66,79.532
5.73,79.670
5.80,79.802
5.87,79.929
5.95,80.054
6.02,80.178
6.10,80.302
6.17,80.426
6.25,80.550
6.33,80.674
6.41,80.797
6.49,80.921
6.57,81.045
6.66,81.169
6.74,81.293
6.82,81.416
6.91,81.540
7.00,81.664
7.08,81.787
7.17,81.910
7.26,82.033
7.36,82.156
7.45,82.279
7.54,82.402
7.64,82.524
7.73,82.647
7.83,82.769
7.93,82.891
8.03,83.013
8.13,83.135
8.23,83.256
8.34,83.378
8.44,83.499
8.55,83.621
8.65,83.742
8.76,83.861
8.88,83.977
8.99,84.089
9.10,84.201
9.21,84.313
9.33,84.424
9.45,84.536
9.57,84.648
9.69,84.761
9.81,84.874
9.93,84.987
10.06,85.102
10.18,85.218
10.31,85.335
10.44,85.453
10.57,85.574
10.71,85.696
10.84,85.821
10.98,85.949
11.12,86.080
11.26,86.214
11.40,86.352
11.54,86.494
11.69,86.631
11.83,86.757
11.98,86.876
12.13,86.996
12.29,87.119
12.44,87.245
12.60,87.375
12.76,87.507
12.92,87.642
13.08,87.779
13.24,87.919
13.41,88.059
13.58,88.201
13.75,88.344
13.93,88.487
14.10,88.630
14.28,88.772
14.46,88.914
14.64,89.054
14.82,89.193
15.01,89.331
15.20,89.470
15.39,89.609
15.58,89.748
15.78,89.886
15.98,90.024
16.18,90.161
16.38,90.297
16.59,90.431
16.80,90.564
17.01,90.696
17.23,90.825
17.44,90.950
17.66,91.067
17.88,91.173
18.11,91.270
18.34,91.362
18.57,91.448
18.80,91.531
19.04,91.613
19.28,91.694
19.52,91.778
19.77,91.865
20.02,91.958
20.27,92.060
20.52,92.171
20.78,92.292
21.04,92.419
21.31,92.550
21.58,92.684
21.85,92.821
22.12,92.960
22.40,93.100
22.68,93.240
22.97,93.381
23.26,93.521
23.55,93.661
23.85,93.803
24.15,93.947
24.45,94.092
24.76,94.238
25.07,94.385
25.39,94.530
25.71,94.674
26.03,94.816
26.36,94.952
26.69,95.079
27.03,95.201
27.37,95.322
27.71,95.444
28.06,95.566
28.41,95.689
28.77,95.813
29.13,95.939
29.50,96.066
29.87,96.195
30.25,96.324
30.63,96.455
31.02,96.587
31.41,96.719
31.80,96.853
32.20,96.987
32.61,97.123
33.02,97.262
33.43,97.405
33.85,97.549
34.28,97.693
34.71,97.834
35.15,97.962
35.59,98.069
36.04,98.163
36.49,98.253
36.95,98.344
37.42,98.438
37.89,98.539
38.37,98.648
38.85,98.764
39.34,98.886
39.83,99.011
40.34,99.135
40.84,99.253
41.36,99.362
41.88,99.460
42.41,99.552
42.94,99.641
43.48,99.732
44.03,99.832
44.58,99.946
45.14,100.072
45.71,100.204
46.29,100.333
46.87,100.445
47.46,100.534
48.06,100.605
48.66,100.670
49.27,100.743
49.90,100.833
50.52,100.941
51.16,101.063
51.80,101.188
52.46,101.300
53.12,101.388
53.79,101.457
54.46,101.519
55.15,101.582
55.84,101.648
56.55,101.717
57.26,101.787
57.98,101.853
58.71,101.903
59.45,101.935
60.20,101.959
60.95,101.978
61.72,101.985
62.50,101.977
63.29,101.959
64.08,101.944
64.89,101.937
65.71,101.932
66.53,101.918
67.37,101.886
68.22,101.829
69.08,101.745
69.95,101.635
70.83,101.494
71.72,101.319
72.62,101.113
73.54,100.869
74.47,100.586
75.40,100.277
76.35,99.988
77.31,99.752
78.29,99.575
79.27,99.460
80.27,99.396
81.28,99.352
82.31,99.304
83.34,99.251
84.39,99.194
85.45,99.131
86.53,99.063
87.62,99.008
88.72,98.996
89.84,99.040
90.97,99.134
92.12,99.266
93.28,99.425
94.45,99.603
95.64,99.788
96.84,99.960
98.06,100.116
99.30,100.262
100.55,100.403
101.81,100.531
103.10,100.634
104.39,100.707
105.71,100.760
107.04,100.800
108.39,100.819
109.75,100.812
111.13,100.787
112.53,100.757
113.95,100.721
115.39,100.670
116.84,100.592
118.31,100.473
119.80,100.323
121.31,100.165
122.83,100.003
124.38,99.839
125.95,99.713
127.53,99.657
129.14,99.633
130.76,99.598
132.41,99.576
134.08,99.589
135.77,99.612
137.48,99.618
139.21,99.605
140.96,99.581
142.73,99.557
144.53,99.533
146.35,99.477
148.19,99.377
150.06,99.255
151.95,99.153
153.86,99.069
155.80,98.969
157.76,98.828
159.75,98.656
161.76,98.467
163.80,98.282
165.86,98.109
167.95,97.932
170.06,97.739
172.20,97.554
174.37,97.390
176.57,97.227
178.79,97.057
181.04,96.878
183.32,96.689
185.63,96.503
187.97,96.331
190.33,96.181
192.73,96.042
195.16,95.886
197.61,95.681
200.10,95.452
202.62,95.220
205.17,95.019
207.75,94.814
210.37,94.615
213.02,94.462
215.70,94.437
218.42,94.480
221.17,94.528
223.95,94.578
226.77,94.618
229.63,94.553
232.52,94.356
235.45,94.138
238.41,93.932
241.41,93.687
244.45,93.417
247.53,93.212
250.65,93.068
253.80,92.937
257.00,92.794
260.24,92.675
263.51,92.577
266.83,92.489
270.19,92.399
273.59,92.304
277.04,92.213
280.52,92.172
284.06,92.173
287.63,92.157
291.25,92.113
294.92,92.115
298.63,92.264
302.39,92.549
306.20,92.854
310.06,93.121
313.96,93.295
317.92,93.365
321.92,93.343
325.97,93.298
330.07,93.258
334.23,93.215
338.44,93.153
342.70,93.107
347.02,93.097
351.38,93.119
355.81,93.156
360.29,93.165
364.83,93.136
369.42,93.142
374.07,93.166
378.78,93.170
383.55,93.144
388.38,93.116
393.27,93.062
398.22,93.036
403.24,93.043
408.31,93.103
413.45,93.179
418.66,93.271
423.93,93.354
429.27,93.425
434.67,93.451
440.15,93.448
445.69,93.426
451.30,93.408
456.98,93.413
462.74,93.430
468.56,93.448
474.46,93.484
480.44,93.535
486.49,93.571
492.61,93.601
498.81,93.632
505.09,93.647
511.45,93.661
517.89,93.684
524.41,93.703
531.02,93.712
537.70,93.731
544.47,93.762
551.33,93.800
558.27,93.825
565.30,93.846
572.42,93.868
579.63,93.888
586.92,93.906
594.31,93.933
601.80,93.957
609.37,93.981
617.05,94.011
624.82,94.041
632.68,94.069
640.65,94.097
648.72,94.123
656.88,94.139
665.15,94.158
673.53,94.182
682.01,94.211
690.60,94.237
699.29,94.264
708.10,94.300
717.01,94.344
726.04,94.386
735.18,94.430
744.44,94.481
753.81,94.534
763.30,94.582
772.91,94.624
782.65,94.671
792.50,94.723
802.48,94.781
812.58,94.835
822.82,94.882
833.18,94.923
843.67,94.965
854.29,95.007
865.04,95.050
875.94,95.092
886.97,95.131
898.13,95.168
909.44,95.199
920.89,95.228
932.49,95.252
944.23,95.265
956.12,95.259
968.16,95.228
980.35,95.167
992.69,95.081
1005.19,94.998
1017.85,94.961
1030.66,94.983
1043.64,95.043
1056.78,95.122
1070.09,95.204
1083.56,95.270
1097.20,95.315
1111.02,95.343
1125.01,95.365
1139.17,95.388
1153.52,95.420
1168.04,95.466
1182.75,95.541
1197.64,95.647
1212.72,95.779
1227.99,95.927
1243.45,96.079
1259.11,96.223
1274.96,96.358
1291.01,96.492
1307.27,96.627
1323.73,96.769
1340.39,96.923
1357.27,97.092
1374.36,97.273
1391.66,97.457
1409.19,97.635
1426.93,97.805
1444.90,97.968
1463.09,98.125
1481.51,98.276
1500.17,98.415
1519.05,98.546
1538.18,98.673
1557.55,98.800
1577.16,98.928
1597.02,99.057
1617.13,99.179
1637.49,99.298
1658.11,99.423
1678.98,99.555
1700.12,99.696
1721.53,99.841
1743.20,99.994
1765.15,100.149
1787.38,100.299
1809.88,100.441
1832.67,100.575
1855.75,100.699
1879.11,100.814
1902.77,100.925
1926.73,101.037
1950.99,101.148
1975.56,101.256
2000.43,101.363
2025.62,101.469
2051.12,101.576
2076.95,101.680
2103.10,101.781
2129.58,101.880
2156.39,101.982
2183.55,102.086
2211.04,102.194
2238.88,102.308
2267.07,102.429
2295.61,102.556
2324.52,102.687
2353.78,102.825
2383.42,102.971
2413.43,103.107
2443.82,103.214
2474.59,103.325
2505.75,103.501
2537.30,103.731
2569.24,103.961
2601.59,104.172
2634.35,104.372
2667.52,104.546
2701.11,104.648
2735.12,104.716
2769.56,104.856
2804.43,105.089
2839.74,105.390
2875.49,105.757
2911.70,106.158
2948.36,106.547
2985.48,106.933
3023.07,107.319
3061.14,107.674
3099.68,108.016
3138.71,108.367
3178.23,108.713
3218.25,109.013
3258.77,109.256
3299.80,109.445
3341.35,109.577
3383.42,109.647
3426.02,109.647
3469.16,109.571
3512.84,109.419
3557.07,109.195
3601.86,108.904
3647.21,108.542
3693.13,108.110
3739.63,107.611
3786.72,107.045
3834.39,106.416
3882.67,105.733
3931.56,105.003
3981.06,104.223
4031.19,103.410
4081.95,102.587
4133.34,101.790
4185.39,101.043
4238.08,100.374
4291.45,99.864
4345.48,99.547
4400.19,99.487
4455.60,99.799
4511.70,100.480
4568.51,101.277
4626.03,101.995
4684.27,102.573
4743.26,103.022
4802.98,103.309
4863.45,103.391
4924.69,103.219
4986.70,102.766
5049.48,102.061
5113.06,101.267
5177.44,100.662
5242.63,100.539
5308.64,101.009
5375.48,101.842
5443.17,102.691
5511.70,103.492
5581.10,104.335
5651.37,105.251
5722.53,106.260
5794.58,107.201
5867.54,107.898
5941.42,108.338
6016.23,108.495
6091.98,108.245
6168.69,107.538
6246.36,106.507
6325.01,105.355
6404.64,104.210
6485.28,103.122
6566.94,102.276
6649.63,101.816
6733.35,101.560
6818.13,101.371
6903.98,101.265
6990.91,101.320
7078.93,101.593
7168.06,102.047
7258.32,102.660
7349.71,103.404
7442.25,104.063
7535.95,104.522
7630.84,104.864
7726.92,105.139
7824.21,105.296
7922.73,105.395
8022.48,105.562
8123.49,105.785
8225.78,106.064
8329.35,106.462
8434.23,106.897
8540.42,107.203
8647.95,107.394
8756.84,107.604
8867.10,107.817
8978.75,107.855
9091.80,107.636
9206.27,107.259
9322.19,106.801
9439.57,106.264
9558.42,105.699
9678.77,105.204
9800.64,104.861
9924.04,104.720
10048.99,104.737
10175.52,104.797
10303.64,104.836
10433.38,104.793
10564.74,104.530
10697.77,103.944
10832.46,103.054
10968.85,101.903
11106.97,100.570
11246.81,99.305
11388.42,98.265
11531.82,97.161
11677.01,95.552
11824.04,93.193
11972.92,90.271
12123.67,88.721
12276.32,90.733
12430.89,93.754
12587.41,96.368
12745.90,98.324
12906.39,99.654
13068.89,100.571
13233.44,101.288
13400.07,101.696
13568.79,101.490
13739.63,100.535
13912.63,99.010
14087.81,97.439
14265.19,96.008
14444.80,94.855
14626.67,94.140
14810.84,93.499
14997.33,92.959
15186.16,92.845
15377.37,92.803
15570.99,92.475
15767.04,92.132
15965.57,92.079
16166.59,91.839
16370.15,90.615
16576.26,87.910
16784.98,85.204
16996.32,84.678
17210.32,83.909
17427.02,82.315
17646.44,80.804
17868.63,79.676
18093.62,78.347
18321.43,76.916
18552.12,76.947
18785.71,76.979
19022.24,76.156
19261.75,74.972
19504.28,73.554
19749.86,71.284
19998.53,68.276
20250.34,65.124
20505.31,66.686
20763.49,71.999
21024.93,75.801
21289.66,77.943
21557.72,78.688
21829.15,78.890
22104.00,79.455
22382.32,80.515
22664.13,81.410
22949.50,81.289
23238.46,79.253
23531.06,74.657
23827.34,69.641
