frequency,raw
1.360,48.585
1.380,48.618
1.400,48.663
1.430,48.738
1.450,48.790
1.475,48.855
1.500,48.923
1.525,48.995
1.550,49.068
1.575,49.143
1.600,49.219
1.625,49.301
1.650,49.383
1.675,49.466
1.700,49.552
1.725,49.642
1.750,49.734
1.775,49.827
1.800,49.923
1.825,50.022
1.850,50.121
1.875,50.223
1.900,50.326
1.925,50.434
1.950,50.541
1.975,50.653
2.000,50.766
2.030,50.904
2.060,51.044
2.090,51.192
2.120,51.338
2.140,51.439
2.180,51.641
2.200,51.745
2.240,51.958
2.270,52.120
2.300,52.285
2.330,52.453
2.360,52.623
2.400,52.858
2.430,53.034
2.470,53.275
2.500,53.459
2.540,53.708
2.580,53.962
2.620,54.221
2.650,54.422
2.690,54.693
2.720,54.901
2.760,55.193
2.800,55.499
2.850,55.907
2.900,56.343
2.950,56.790
3.000,57.257
3.040,57.641
3.070,57.937
3.110,58.337
3.150,58.745
3.200,59.263
3.250,59.782
3.300,60.310
3.350,60.839
3.400,61.373
3.450,61.900
3.500,62.424
3.550,62.944
3.600,63.451
3.650,63.950
3.700,64.439
3.750,64.914
3.820,65.553
3.870,65.982
3.950,66.621
4.000,66.982
4.060,67.344
4.120,67.633
4.180,67.887
4.250,68.160
4.310,68.374
4.370,68.573
4.440,68.784
4.500,68.952
4.550,69.083
4.620,69.255
4.680,69.393
4.750,69.549
4.820,69.698
4.870,69.803
4.940,69.949
5.000,70.075
5.080,70.248
5.150,70.405
5.220,70.573
5.300,70.779
5.380,70.998
5.450,71.196
5.520,71.406
5.600,71.664
5.700,72.009
5.800,72.377
5.900,72.763
6.000,73.156
6.080,73.474
6.150,73.749
6.220,74.021
6.300,74.328
6.400,74.696
6.500,75.041
6.600,75.357
6.700,75.627
6.800,75.835
6.900,75.999
7.000,76.147
7.100,76.286
7.200,76.418
7.300,76.547
7.400,76.675
7.500,76.803
7.620,76.958
7.750,77.133
7.880,77.321
8.000,77.500
8.120,77.663
8.250,77.804
8.380,77.923
8.500,78.022
8.620,78.114
8.750,78.209
8.850,78.282
9.000,78.397
9.120,78.495
9.250,78.613
9.380,78.747
9.500,78.887
9.620,79.041
9.750,79.222
9.880,79.413
10.000,79.594
10.150,79.824
10.300,80.050
10.440,80.255
10.600,80.474
10.750,80.660
10.900,80.828
11.060,80.985
11.200,81.106
11.380,81.246
11.500,81.337
11.720,81.512
11.800,81.582
12.060,81.853
12.200,82.040
12.410,82.387
12.500,82.558
12.650,82.862
12.800,83.177
13.150,83.876
13.200,83.962
13.400,84.236
13.600,84.380
13.800,84.428
14.000,84.438
14.300,84.436
14.500,84.447
14.750,84.484
15.000,84.535
15.250,84.593
15.500,84.668
15.750,84.770
16.000,84.910
16.250,85.111
16.500,85.382
16.750,85.696
17.000,86.017
17.250,86.311
17.500,86.551
17.750,86.739
18.000,86.900
18.250,87.052
18.500,87.198
18.750,87.342
19.000,87.480
19.250,87.614
19.500,87.746
19.750,87.877
20.000,88.007
20.300,88.162
20.600,88.316
20.900,88.469
21.200,88.619
21.400,88.720
21.800,88.921
22.000,89.023
22.400,89.226
22.700,89.380
23.000,89.537
23.300,89.694
23.600,89.854
24.000,90.064
24.300,90.210
24.700,90.386
25.000,90.510
25.400,90.677
25.800,90.847
26.200,91.016
26.500,91.143
26.900,91.319
27.200,91.459
27.600,91.650
28.000,91.833
28.500,92.031
29.000,92.197
29.500,92.352
30.000,92.507
30.400,92.632
30.700,92.728
31.100,92.863
31.500,93.004
32.000,93.171
32.500,93.313
33.000,93.432
33.500,93.543
34.000,93.653
34.500,93.766
35.000,93.894
35.500,94.045
36.000,94.204
36.500,94.346
37.000,94.459
37.500,94.543
38.200,94.607
38.700,94.644
39.500,94.797
40.000,94.928
40.600,95.013
41.200,95.015
41.800,95.038
42.500,95.155
43.100,95.267
43.700,95.346
44.400,95.398
45.000,95.409
45.500,95.429
46.200,95.539
46.800,95.706
47.500,95.941
48.200,96.156
48.700,96.261
49.400,96.344
50.000,96.404
50.800,96.487
51.500,96.534
52.200,96.553
53.000,96.575
53.800,96.576
54.500,96.541
55.200,96.506
56.000,96.507
57.000,96.492
58.000,96.393
59.000,96.241
60.000,96.078
60.800,95.992
61.500,95.951
62.200,95.913
63.000,95.817
64.000,95.571
65.000,95.243
66.000,94.935
67.000,94.703
68.000,94.590
69.000,94.617
70.000,94.776
71.000,95.007
72.000,95.242
73.000,95.466
74.000,95.681
75.000,95.840
76.200,95.925
77.500,96.026
78.800,96.254
80.000,96.418
81.200,96.546
82.500,96.757
83.800,96.951
85.000,97.054
86.200,97.064
87.500,96.995
88.500,96.981
90.000,97.062
91.200,97.134
92.500,97.205
93.800,97.256
95.000,97.277
96.200,97.303
97.500,97.349
98.800,97.385
100.000,97.386
101.500,97.367
103.000,97.382
104.400,97.420
106.000,97.423
107.500,97.385
109.000,97.355
110.600,97.353
112.000,97.359
113.800,97.362
115.000,97.363
117.200,97.332
118.000,97.315
120.600,97.285
122.000,97.244
124.100,97.135
125.000,97.105
126.500,97.072
128.000,97.013
131.500,96.880
132.000,96.874
134.000,96.842
136.000,96.772
138.000,96.653
140.000,96.580
143.000,96.530
145.000,96.431
147.500,96.316
150.000,96.222
152.500,96.126
155.000,96.037
157.500,95.933
160.000,95.823
162.500,95.711
165.000,95.629
167.500,95.553
170.000,95.406
172.500,95.263
175.000,95.181
177.500,95.143
180.000,95.140
182.500,95.132
185.000,95.096
187.500,95.038
190.000,94.983
192.500,94.946
195.000,94.917
197.500,94.891
200.000,94.868
203.000,94.818
206.000,94.745
209.000,94.703
212.000,94.671
214.000,94.638
218.000,94.578
220.000,94.560
224.000,94.499
227.000,94.411
230.000,94.327
233.000,94.255
236.000,94.193
240.000,94.120
243.000,94.043
247.000,93.916
250.000,93.822
254.000,93.695
258.000,93.564
262.000,93.446
265.000,93.361
269.000,93.248
272.000,93.165
276.000,93.052
280.000,92.917
285.000,92.719
290.000,92.517
295.000,92.340
300.000,92.169
304.000,92.031
307.000,91.926
311.000,91.782
315.000,91.643
320.000,91.517
325.000,91.468
330.000,91.477
335.000,91.523
340.000,91.576
345.000,91.636
350.000,91.702
355.000,91.757
360.000,91.805
365.000,91.856
370.000,91.907
375.000,91.972
382.000,92.085
387.000,92.173
395.000,92.308
400.000,92.393
406.000,92.492
412.000,92.576
418.000,92.661
425.000,92.778
431.000,92.892
437.000,93.023
444.000,93.203
450.000,93.362
455.000,93.492
462.000,93.661
468.000,93.796
475.000,93.934
482.000,94.047
487.000,94.114
494.000,94.197
500.000,94.258
508.000,94.332
515.000,94.399
522.000,94.474
530.000,94.564
538.000,94.654
545.000,94.739
552.000,94.835
560.000,94.954
570.000,95.110
580.000,95.269
590.000,95.423
600.000,95.569
608.000,95.675
615.000,95.760
622.000,95.840
630.000,95.931
640.000,96.041
650.000,96.143
660.000,96.245
670.000,96.338
680.000,96.419
690.000,96.493
700.000,96.561
710.000,96.624
720.000,96.684
730.000,96.740
740.000,96.796
750.000,96.845
762.000,96.894
775.000,96.937
788.000,96.970
800.000,96.993
812.000,97.010
