frequency,raw
20.00,92.52
20.14,92.56
20.29,92.59
20.44,92.63
20.59,92.67
20.74,92.70
20.89,92.74
21.04,92.78
21.19,92.81
21.34,92.85
21.50,92.89
21.65,92.92
21.81,92.95
21.97,92.99
22.13,93.02
22.29,93.05
22.45,93.08
22.61,93.11
22.78,93.15
22.94,93.18
23.11,93.21
23.27,93.24
23.44,93.27
23.61,93.29
23.78,93.32
23.96,93.35
24.13,93.38
24.30,93.41
24.48,93.44
24.66,93.47
24.84,93.49
25.02,93.52
25.20,93.55
25.38,93.57
25.56,93.59
25.75,93.62
25.94,93.64
26.12,93.67
26.31,93.69
26.50,93.71
26.70,93.73
26.89,93.75
27.09,93.78
27.28,93.80
27.48,93.82
27.68,93.84
27.88,93.86
28.08,93.87
28.28,93.89
28.49,93.90
28.70,93.92
28.90,93.93
29.11,93.94
29.32,93.95
29.54,93.96
29.75,93.97
29.97,93.98
30.18,93.99
30.40,94.00
30.62,94.01
30.84,94.02
31.07,94.03
31.29,94.03
31.52,94.04
31.75,94.05
31.98,94.05
32.21,94.06
32.44,94.06
32.68,94.06
32.92,94.06
33.15,94.07
33.39,94.07
33.64,94.06
33.88,94.06
34.13,94.06
34.37,94.06
34.62,94.05
34.87,94.04
35.13,94.03
35.38,94.02
35.64,94.01
35.89,94.00
36.15,93.99
36.42,93.97
36.68,93.96
36.95,93.94
37.21,93.92
37.48,93.90
37.75,93.88
38.03,93.86
38.30,93.83
38.58,93.80
38.86,93.78
39.14,93.75
39.43,93.72
39.71,93.69
40.00,93.66
40.29,93.64
40.58,93.61
40.88,93.57
41.17,93.54
41.47,93.51
41.77,93.48
42.07,93.45
42.38,93.42
42.69,93.38
42.99,93.35
43.31,93.32
43.62,93.29
43.94,93.25
44.25,93.22
44.58,93.19
44.90,93.15
45.22,93.12
45.55,93.08
45.88,93.04
46.21,93.00
46.55,92.95
46.89,92.91
47.23,92.86
47.57,92.82
47.91,92.77
48.26,92.72
48.61,92.67
48.96,92.62
49.32,92.57
49.67,92.53
50.03,92.48
50.40,92.43
50.76,92.39
51.13,92.35
51.50,92.31
51.87,92.27
52.25,92.24
52.63,92.21
53.01,92.18
53.39,92.16
53.78,92.14
54.17,92.12
54.56,92.11
54.96,92.10
55.36,92.09
55.76,92.09
56.16,92.10
56.57,92.11
56.98,92.12
57.39,92.14
57.81,92.16
58.23,92.19
58.65,92.22
59.07,92.26
59.50,92.30
59.93,92.34
60.37,92.39
60.80,92.43
61.24,92.47
61.69,92.51
62.14,92.54
62.59,92.58
63.04,92.61
63.50,92.64
63.96,92.69
64.42,92.73
64.89,92.78
65.36,92.83
65.83,92.89
66.31,92.94
66.79,93.00
67.27,93.05
67.76,93.10
68.25,93.16
68.74,93.21
69.24,93.26
69.74,93.31
70.25,93.37
70.76,93.42
71.27,93.47
71.79,93.52
72.31,93.56
72.83,93.61
73.36,93.66
73.89,93.71
74.43,93.75
74.97,93.80
