frequency,raw
10.000000,75.175
10.072464,75.280
10.145453,75.384
10.218971,75.488
10.293022,75.591
10.367610,75.695
10.442738,75.797
10.518411,75.899
10.594631,76.001
10.671404,76.102
10.748734,76.203
10.826623,76.304
10.905077,76.404
10.984100,76.504
11.063695,76.603
11.143867,76.702
11.224621,76.800
11.305959,76.898
11.387886,76.996
11.470407,77.093
11.553527,77.189
11.637249,77.285
11.721577,77.381
11.806517,77.476
11.892071,77.570
11.978246,77.665
12.065045,77.758
12.152473,77.852
12.240536,77.944
12.329235,78.036
12.418578,78.128
12.508568,78.220
12.599211,78.310
12.690510,78.401
12.782471,78.491
12.875097,78.581
12.968395,78.671
13.062370,78.761
13.157025,78.851
13.252366,78.941
13.348398,79.030
13.445127,79.121
13.542556,79.212
13.640691,79.303
13.739536,79.394
13.839099,79.486
13.939383,79.578
14.040393,79.671
14.142136,79.764
14.244616,79.858
14.347837,79.952
14.451808,80.047
14.556532,80.141
14.662014,80.236
14.768262,80.330
14.875278,80.424
14.983070,80.519
15.091644,80.614
15.201005,80.707
15.311157,80.801
15.422109,80.894
15.533863,80.987
15.646428,81.079
15.759809,81.171
15.874010,81.263
15.989040,81.355
16.104904,81.446
16.221605,81.537
16.339155,81.629
16.457554,81.721
16.576813,81.812
16.696936,81.904
16.817928,81.996
16.939798,82.089
17.062551,82.181
17.186193,82.274
17.310732,82.368
17.436172,82.460
17.562521,82.553
17.689787,82.645
17.817974,82.738
17.947090,82.829
18.077143,82.920
18.208138,83.011
18.340080,83.102
18.472980,83.192
18.606844,83.282
18.741676,83.373
18.877487,83.464
19.014280,83.555
19.152065,83.647
19.290850,83.739
19.430639,83.833
19.571442,83.928
19.713264,84.022
19.856115,84.118
20.000000,84.216
20.144928,84.312
20.290907,84.410
20.437943,84.506
20.586044,84.602
20.735220,84.698
20.885475,84.791
21.036821,84.883
21.189262,84.974
21.342808,85.062
21.497467,85.148
21.653246,85.233
21.810154,85.316
21.968201,85.399
22.127390,85.480
22.287735,85.560
22.449242,85.641
22.611917,85.722
22.775772,85.803
22.940815,85.886
23.107054,85.968
23.274498,86.051
23.443153,86.136
23.613033,86.219
23.784142,86.303
23.956491,86.388
24.130091,86.471
24.304947,86.554
24.481071,86.636
24.658470,86.716
24.837156,86.797
25.017136,86.874
25.198421,86.952
25.381020,87.029
25.564941,87.105
25.750195,87.180
25.936790,87.255
26.124741,87.330
26.314051,87.404
26.504732,87.478
26.696796,87.550
26.890253,87.623
27.085112,87.692
27.281382,87.762
27.479073,87.829
27.678198,87.896
27.878765,87.960
28.080786,88.025
28.284271,88.087
28.489231,88.148
28.695675,88.208
28.903616,88.267
29.113064,88.325
29.324028,88.381
29.536524,88.435
29.750557,88.488
29.966141,88.539
30.183289,88.587
30.402010,88.633
30.622314,88.678
30.844217,88.721
31.067726,88.762
31.292856,88.802
31.519617,88.841
31.748020,88.881
31.978081,88.920
32.209808,88.959
32.443211,88.997
32.678310,89.034
32.915108,89.070
33.153625,89.105
33.393871,89.138
33.635857,89.167
33.879597,89.195
34.125103,89.221
34.372387,89.247
34.621464,89.273
34.872345,89.299
35.125042,89.327
35.379574,89.358
35.635948,89.392
35.894180,89.429
36.154285,89.468
36.416275,89.508
36.680161,89.550
36.945961,89.591
37.213688,89.632
37.483353,89.670
37.754974,89.707
38.028561,89.743
38.304131,89.777
38.581699,89.811
38.861279,89.844
39.142883,89.877
39.426529,89.910
39.712231,89.942
40.000000,89.973
40.289856,90.002
40.581814,90.029
40.875885,90.053
41.172089,90.075
41.470440,90.093
41.770950,90.108
42.073643,90.120
42.378525,90.130
42.685616,90.136
42.994934,90.138
43.306492,90.136
43.620308,90.130
43.936401,90.119
44.254780,90.102
44.575470,90.081
44.898483,90.054
45.223835,90.024
45.551544,89.989
45.881630,89.952
46.214108,89.913
46.548996,89.872
46.886307,89.829
47.226067,89.786
47.568283,89.741
47.912983,89.695
48.260181,89.647
48.609894,89.594
48.962143,89.540
49.316940,89.480
49.674313,89.418
50.034271,89.353
50.396843,89.286
50.762039,89.218
51.129883,89.149
51.500389,89.083
51.873581,89.017
52.249481,88.954
52.628101,88.894
53.009464,88.838
53.393593,88.787
53.780506,88.740
54.170223,88.697
54.562763,88.658
54.958145,88.623
55.356396,88.593
55.757530,88.570
56.161572,88.556
56.568542,88.553
56.978462,88.562
57.391350,88.581
57.807232,88.606
58.226128,88.638
58.648056,88.676
59.073048,88.717
59.501114,88.763
59.932281,88.815
60.366577,88.871
60.804020,88.932
61.244629,88.998
61.688435,89.069
62.135452,89.146
62.585712,89.227
63.039234,89.308
63.496040,89.387
63.956161,89.462
64.419617,89.533
64.886421,89.604
65.356621,89.677
65.830215,89.752
66.307251,89.829
66.787743,89.906
67.271713,89.981
