frequency,raw
20.0000,96.0220
20.3000,96.0648
20.6000,96.1038
20.9000,96.1397
21.2000,96.1740
21.4000,96.1960
21.8000,96.2372
22.0000,96.2567
22.4000,96.2919
22.7000,96.3145
23.0000,96.3353
23.3000,96.3547
23.6000,96.3730
24.0000,96.3953
24.3000,96.4102
24.7000,96.4256
25.0000,96.4356
25.4000,96.4490
25.8000,96.4564
26.2000,96.4590
26.5000,96.4594
26.9000,96.4575
27.2000,96.4534
27.6000,96.4441
28.0000,96.4365
28.5000,96.4215
29.0000,96.3904
29.5000,96.3541
30.0000,96.3168
30.4000,96.2998
30.7000,96.2925
31.1000,96.2673
31.5000,96.2207
32.0000,96.1578
32.5000,96.0968
33.0000,96.0256
33.5000,95.9534
34.0000,95.8932
34.5000,95.8124
35.0000,95.7095
35.5000,95.6120
36.0000,95.5339
36.5000,95.4773
37.0000,95.4387
37.5000,95.4200
38.2000,95.4296
38.7000,95.4452
39.5000,95.5082
40.0000,95.5535
40.6000,95.5667
41.2000,95.5665
41.8000,95.5900
42.5000,95.6363
43.1000,95.6908
43.7000,95.7528
44.4000,95.8052
45.0000,95.8360
45.5000,95.8479
46.2000,95.8210
46.8000,95.7597
47.5000,95.6561
48.2000,95.5094
48.7000,95.3815
49.4000,95.1792
50.0000,94.9820
50.8000,94.7003
51.5000,94.4497
52.2000,94.1976
53.0000,93.9188
53.8000,93.6824
54.5000,93.5179
55.2000,93.4094
56.0000,93.3602
57.0000,93.3776
58.0000,93.3827
59.0000,93.2944
60.0000,93.1509
60.8000,93.0345
61.5000,92.9317
62.2000,92.8269
63.0000,92.7413
64.0000,92.7378
65.0000,92.8019
66.0000,92.8919
67.0000,93.0232
68.0000,93.1623
69.0000,93.2896
70.0000,93.4421
71.0000,93.6465
72.0000,93.8832
73.0000,94.1371
74.0000,94.4053
75.0000,94.6685
76.2000,94.9583
77.5000,95.2361
78.8000,95.4856
80.0000,95.7097
81.2000,95.9277
82.5000,96.1399
83.8000,96.3257
85.0000,96.4765
86.2000,96.6063
87.5000,96.7322
88.5000,96.8239
90.0000,96.9494
91.2000,97.0395
92.5000,97.1250
93.8000,97.1958
95.0000,97.2518
96.2000,97.3017
97.5000,97.3477
98.8000,97.3868
100.0000,97.4194
101.5000,97.4564
103.0000,97.4890
104.4000,97.5152
106.0000,97.5407
107.5000,97.5580
109.0000,97.5682
110.6000,97.5726
112.0000,97.5712
113.8000,97.5587
115.0000,97.5407
117.2000,97.4920
118.0000,97.4699
120.6000,97.3859
122.0000,97.3351
124.1000,97.2485
125.0000,97.2069
126.5000,97.1347
128.0000,97.0617
131.5000,96.8621
132.0000,96.8297
134.0000,96.6928
136.0000,96.5431
138.0000,96.3748
140.0000,96.1980
143.0000,95.9681
