frequency,raw
20.0000,96.4500
20.3000,96.4900
20.6000,96.5275
20.9000,96.5630
21.2000,96.5980
21.4000,96.6205
21.8000,96.6630
22.0000,96.6825
22.4000,96.7170
22.7000,96.7410
23.0000,96.7640
23.3000,96.7870
23.6000,96.8100
24.0000,96.8385
24.3000,96.8585
24.7000,96.8810
25.0000,96.8980
25.4000,96.9205
25.8000,96.9400
26.2000,96.9515
26.5000,96.9520
26.9000,96.9460
27.2000,96.9420
27.6000,96.9415
28.0000,96.9430
28.5000,96.9235
29.0000,96.8780
29.5000,96.8215
30.0000,96.7675
30.4000,96.7520
30.7000,96.7565
31.1000,96.7500
31.5000,96.7140
32.0000,96.6525
32.5000,96.5895
33.0000,96.5300
33.5000,96.4765
34.0000,96.4095
34.5000,96.3270
35.0000,96.2385
35.5000,96.1550
36.0000,96.0790
36.5000,96.0105
37.0000,95.9500
37.5000,95.9100
38.2000,95.9000
38.7000,95.9150
39.5000,95.9560
40.0000,95.9905
40.6000,96.0320
41.2000,96.0680
41.8000,96.1000
42.5000,96.1295
43.1000,96.1485
43.7000,96.1630
44.4000,96.1685
45.0000,96.1555
45.5000,96.1275
46.2000,96.0585
46.8000,95.9750
47.5000,95.8540
48.2000,95.7060
48.7000,95.5790
49.4000,95.3680
50.0000,95.1615
50.8000,94.8635
51.5000,94.5995
52.2000,94.3450
53.0000,94.0880
53.8000,93.8910
54.5000,93.7605
55.2000,93.6600
56.0000,93.5850
57.0000,93.5330
58.0000,93.4680
59.0000,93.3630
60.0000,93.2580
60.8000,93.1915
61.5000,93.1475
62.2000,93.1185
63.0000,93.1120
64.0000,93.1360
65.0000,93.2000
66.0000,93.2805
67.0000,93.3525
68.0000,93.4305
69.0000,93.5225
70.0000,93.6500
71.0000,93.8630
72.0000,94.1455
73.0000,94.4525
74.0000,94.7525
75.0000,95.0285
76.2000,95.3160
77.5000,95.5855
78.8000,95.8305
80.0000,96.0480
81.2000,96.2570
82.5000,96.4645
83.8000,96.6540
85.0000,96.8160
86.2000,96.9525
87.5000,97.0670
88.5000,97.1455
90.0000,97.2585
91.2000,97.3425
92.5000,97.4285
93.8000,97.5085
95.0000,97.5770
96.2000,97.6380
97.5000,97.6920
98.8000,97.7335
100.0000,97.7635
101.5000,97.7950
103.0000,97.8225
104.4000,97.8430
106.0000,97.8630
107.5000,97.8740
109.0000,97.8770
110.6000,97.8710
112.0000,97.8580
113.8000,97.8290
115.0000,97.8005
117.2000,97.7280
118.0000,97.6950
120.6000,97.5620
122.0000,97.4825
124.1000,97.3605
125.0000,97.3075
126.5000,97.2185
128.0000,97.1245
131.5000,96.8545
132.0000,96.8120
134.0000,96.6325
136.0000,96.4400
138.0000,96.2360
140.0000,96.0415
143.0000,95.8325
145.0000,95.7770
147.5000,95.8080
150.0000,95.8995
152.5000,95.9905
155.0000,96.0560
157.5000,96.0825
160.0000,96.0660
162.5000,96.0130
165.0000,95.9300
167.5000,95.8225
170.0000,95.6955
172.5000,95.5605
175.0000,95.4165
177.5000,95.2630
180.0000,95.1055
182.5000,94.9450
185.0000,94.7780
187.5000,94.6080
190.0000,94.4360
192.5000,94.2625
195.0000,94.0880
197.5000,93.9150
200.0000,93.7505
203.0000,93.5660
206.0000,93.3765
209.0000,93.1745
212.0000,92.9720
214.0000,92.8355
218.0000,92.5650
220.0000,92.4360
224.0000,92.1855
227.0000,91.9940
230.0000,91.8020
233.0000,91.6200
236.0000,91.4515
240.0000,91.2430
243.0000,91.0985
247.0000,90.9180
250.0000,90.7865
254.0000,90.6180
258.0000,90.4650
262.0000,90.3260
265.0000,90.2315
269.0000,90.1165
272.0000,90.0415
276.0000,89.9590
280.0000,89.8885
285.0000,89.7925
290.0000,89.6865
295.0000,89.5985
300.0000,89.5545
304.0000,89.5445
307.0000,89.5420
311.0000,89.5320
315.0000,89.5070
320.0000,89.4615
325.0000,89.4165
330.0000,89.3805
335.0000,89.3565
340.0000,89.3520
345.0000,89.3740
350.0000,89.4175
355.0000,89.4740
360.0000,89.5465
365.0000,89.6375
370.0000,89.7425
375.0000,89.8565
382.0000,90.0295
387.0000,90.1635
395.0000,90.3900
400.0000,90.5360
406.0000,90.7095
412.0000,90.8810
418.0000,91.0480
425.0000,91.2365
431.0000,91.3955
437.0000,91.5575
444.0000,91.7650
450.0000,91.9560
455.0000,92.1150
462.0000,92.3285
468.0000,92.5020
475.0000,92.6940
482.0000,92.8715
487.0000,92.9855
494.0000,93.1345
500.0000,93.2605
508.0000,93.4205
515.0000,93.5435
522.0000,93.6480
530.0000,93.7625
538.0000,93.8875
545.0000,94.0015
552.0000,94.1115
560.0000,94.2310
570.0000,94.3770
580.0000,94.5250
590.0000,94.6745
600.0000,94.8210
608.0000,94.9315
615.0000,95.0235
622.0000,95.1135
630.0000,95.2110
640.0000,95.3265
650.0000,95.4390
660.0000,95.5500
670.0000,95.6565
680.0000,95.7555
690.0000,95.8445
700.0000,95.9255
710.0000,96.0010
720.0000,96.0725
730.0000,96.1415
740.0000,96.2070
750.0000,96.2720
762.0000,96.3580
775.0000,96.4520
788.0000,96.5270
800.0000,96.5830
812.0000,96.6350
825.0000,96.6865
838.0000,96.7340
850.0000,96.7730
862.0000,96.8085
875.0000,96.8425
885.0000,96.8655
900.0000,96.9010
912.0000,96.9330
925.0000,96.9705
938.0000,97.0075
950.0000,97.0410
962.0000,97.0755
975.0000,97.1150
988.0000,97.1530
1000.0000,97.1835
1015.0000,97.2185
1030.0000,97.2540
1044.0000,97.2855
1060.0000,97.3175
1075.0000,97.3445
1090.0000,97.3680
1106.0000,97.3895
1120.0000,97.4035
1138.0000,97.4130
1150.0000,97.4125
1172.0000,97.3965
1180.0000,97.3850
1206.0000,97.3345
1220.0000,97.2985
1241.0000,97.2455
1250.0000,97.2270
1265.0000,97.2005
1280.0000,97.1725
1315.0000,97.0525
1320.0000,97.0275
1340.0000,96.9200
1360.0000,96.8115
1380.0000,96.7325
1400.0000,96.7295
1430.0000,96.9185
1450.0000,97.0845
1475.0000,97.1980
1500.0000,97.2490
1525.0000,97.3305
1550.0000,97.4310
1575.0000,97.5130
1600.0000,97.5725
1625.0000,97.6160
1650.0000,97.6505
1675.0000,97.6835
1700.0000,97.7185
1725.0000,97.7550
1750.0000,97.7910
1775.0000,97.8270
1800.0000,97.8675
1825.0000,97.9170
1850.0000,97.9715
1875.0000,98.0250
1900.0000,98.0765
1925.0000,98.1255
